class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.bcel.generic.ElementValueGen,194,998.4660165505494,14,10,6,6,15,2,23,18,5,6,-0.047619047619047616,0,0.14166666666666666,0,0,0.0,8,15,13,0,21
org.apache.bcel.classfile.LocalVariableTypeTable,150,682.8175102061091,26,4,15,15,1,1,19,0,36,37,0.6,2,0.8181818181818182,0,0,0.0,11,1,0,1,25
org.apache.bcel.util.InstructionFinder,419,3660.503018519913,50,12,38,38,6,5,53,40,13,23,0.21818181818181817,2,0.18055555555555555,0,0,0.0,12,6,0,6,49
org.apache.bcel.generic.BranchHandle,111,655.551010939929,16,0,7,7,1,1,8,0,28,28,0.7142857142857143,1,0.8888888888888888,0,0,0.0,9,1,0,1,15
org.apache.bcel.generic.MethodGen,1315,10274.057077144465,304,24,226,226,18,15,2760,2517,243,289,0.07245386192754613,4,0.06837606837606838,0,0,0.0,78,18,0,18,209
org.apache.bcel.generic.InstructionHandle,315,2580.484508430015,46,6,20,20,4,4,275,225,50,53,0.09333333333333334,4,0.17307692307692307,0,0,0.0,26,6,0,5,57
org.apache.bcel.generic.Type,404,2925.9262381838894,89,5,64,64,19,7,220,140,80,108,0.30434782608695654,1,0.074,0,0,0.0,25,20,17,1,79
org.apache.bcel.classfile.Utility,1655,10366.73960801269,226,18,175,175,6,5,1254,1233,21,80,0.024489795918367346,10,0.026143790849673203,0,0,0.0,51,6,0,6,199
org.apache.bcel.classfile.LocalVariable,303,2119.8275894219432,43,5,19,19,7,2,204,132,72,81,0.22924901185770752,3,0.23809523809523808,0,0,0.0,24,7,0,7,46
org.apache.bcel.classfile.ConstantPool,376,2428.602852671159,56,4,40,40,1,1,75,30,45,55,0.38095238095238093,6,0.625,0,0,0.0,16,1,0,1,50
org.apache.bcel.classfile.CodeException,217,1470.5542015242006,28,5,11,11,4,1,94,52,42,48,0.26666666666666666,3,0.35294117647058826,0,0,0.0,17,4,0,4,39
org.apache.bcel.verifier.Verifier,246,2278.13504562093,49,9,39,39,5,5,33,21,12,20,0.3055555555555556,1,0.3,0,0,0.0,10,5,0,5,36
org.apache.bcel.verifier.structurals.UninitializedObjectType,69,532.3009979138409,7,4,3,3,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,9
org.apache.bcel.verifier.statics.Pass2Verifier,1574,11481.004078974036,68,53,53,53,2,2,89,73,16,20,0.06593406593406594,11,0.26666666666666666,0,0,0.0,15,2,0,2,63
org.apache.bcel.util.Class2HTML,237,2216.1129895261233,35,14,29,29,6,4,8,1,7,7,0.2,0,0.4166666666666667,0,0,0.0,6,6,0,6,22
org.apache.bcel.util.LruCacheClassPathRepository,79,553.3449017831031,15,3,9,9,2,2,5,0,10,10,0.5,3,0.5,0,0,0.0,6,2,0,2,11
org.apache.bcel.util.ClassPath,806,4054.503349715554,89,22,66,66,4,3,225,197,28,51,0.12554112554112554,4,0.12318840579710146,0,0,0.0,23,6,1,5,91
org.apache.bcel.util.ClassPathRepository,71,477.75203028189935,12,3,7,7,1,1,4,0,6,6,0.3333333333333333,1,0.8,0,0,0.0,5,1,0,1,6
org.apache.bcel.util.BCELifier,302,2899.1299506648056,88,16,74,74,6,5,65,39,26,38,0.32051282051282054,2,0.23809523809523808,0,0,0.0,14,6,1,5,41
org.apache.bcel.util.ModularRuntimeImage,152,840.7635473134619,28,17,19,19,4,3,26,16,10,16,0.2857142857142857,2,0.2777777777777778,0,0,0.0,9,4,0,2,26
org.apache.bcel.ElementValueGenTestCase,228,948.7525701742211,86,12,73,73,0,0,78,78,0,22,0.15151515151515152,0,0.0,0,0,0.0,13,0,0,0,29
org.apache.bcel.LocalVariableTypeTableTestCase,147,858.8661908677578,42,16,36,36,0,0,15,15,0,5,0.0,0,0.0,0,0,0.0,6,0,0,0,22
org.apache.bcel.InstructionFinderTestCase,62,319.86142855130083,13,6,12,12,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,6
org.apache.bcel.generic.BranchHandleTestCase,54,104.73916850681243,14,2,10,10,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4
org.apache.bcel.generic.MethodGenTestCase,140,750.9201105459167,55,8,48,48,0,0,21,21,0,4,-0.13333333333333333,0,0.0,0,0,0.0,7,0,0,0,18
org.apache.bcel.generic.InstructionHandleTestCase,63,155.5139969395735,16,2,11,11,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,5
org.apache.bcel.generic.TypeTestCase,33,53.876733279783586,4,1,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
org.apache.bcel.classfile.UtilityTestCase,70,288.9725481971038,3,1,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.bcel.classfile.LocalVariableTestCase,33,94.40570415959496,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.bcel.classfile.ConstantPoolTestCase,54,257.8685360727637,14,7,12,12,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,6
org.apache.bcel.classfile.CodeExceptionTestCase,33,94.40570415959496,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.bcel.verifier.VerifierTestCase,41,120.15090706535445,8,2,7,7,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.bcel.verifier.structurals.UninitializedObjectTypeTestCase,33,94.40570415959496,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.bcel.verifier.statics.Pass2VerifierTestCase,33,94.40570415959496,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.apache.bcel.util.Class2HTMLTestCase,55,228.73554892516916,7,6,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
org.apache.bcel.util.LruCacheClassPathRepositoryTestCase,75,262.4668867744863,13,6,10,10,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,6
org.apache.bcel.util.ClassPathTestCase,43,88.55773719617329,9,4,6,6,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,5
org.apache.bcel.util.ClassPathRepositoryTestCase,114,480.5118601832889,25,4,16,16,0,0,36,36,0,3,-0.17857142857142858,0,0.0,0,0,0.0,9,0,0,0,22
org.apache.bcel.util.BCELifierTestCase,102,524.3466758329961,27,9,22,22,0,0,10,10,0,3,-0.16666666666666666,0,0.0,0,0,0.0,5,0,0,0,14
org.apache.bcel.util.ModularRuntimeImageTestCase,84,271.5700909083727,33,13,27,27,2,2,5,0,10,10,0.5,3,0.5,0,0,0.0,6,2,0,2,12
