class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.cli.BasicParser,51,395.26308837961307,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.apache.commons.cli.PatternOptionBuilder,207,1427.5605198986052,14,4,11,11,9,9,3,3,0,2,0.0,0,0.3333333333333333,0,0,0.0,3,9,9,0,12
org.apache.commons.cli.Options,367,2152.1070759359577,62,8,45,45,5,4,106,76,30,45,0.24166666666666667,3,0.21176470588235294,0,0,0.0,17,5,0,5,53
org.apache.commons.cli.Option,1015,5848.930497032128,87,3,39,39,13,7,926,724,202,211,0.1517113783533765,3,0.11378205128205128,0,0,0.0,48,13,2,11,133
org.apache.commons.cli.CommandLine,425,2501.483755265995,67,7,47,47,3,3,166,142,24,41,0.1286549707602339,8,0.16666666666666666,0,0,0.0,20,3,0,3,54
org.apache.commons.cli.OptionGroup,179,907.5771325072664,23,5,15,15,4,4,23,18,5,6,-0.047619047619047616,2,0.21875,0,0,0.0,8,4,0,4,23
org.apache.commons.cli.GnuParser,115,936.3359899995495,10,2,9,9,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,6
org.apache.commons.cli.DefaultParser,707,3942.9762436257915,145,4,122,122,7,6,135,17,118,131,0.47186147186147187,3,0.2484472049689441,0,0,0.0,23,7,0,0,99
org.apache.commons.cli.OptionBuilder,396,2120.8478825868806,34,0,13,13,8,5,71,0,139,142,0.6421052631578947,2,0.26455026455026454,0,0,0.0,21,9,0,9,54
org.apache.commons.cli.Util,72,469.2455965326555,10,0,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,8
org.apache.commons.cli.PosixParser,294,2476.3171386116383,47,4,41,41,4,4,0,0,15,15,1.0,0,0.7083333333333334,0,0,0.0,6,4,0,4,24
org.apache.commons.cli.HelpFormatter,1094,5997.675482889142,145,12,104,104,18,3,805,790,15,81,0.052564102564102565,2,0.02981029810298103,0,0,0.0,41,18,16,1,116
org.apache.commons.cli.BasicParserTest,153,306.5746258946122,25,3,0,0,0,0,300,300,0,0,-0.08695652173913043,0,0.0,0,0,0.0,25,0,0,0,50
org.apache.commons.cli.PatternOptionBuilderTest,188,1018.1682974716356,61,11,52,52,0,0,36,36,0,0,-0.2857142857142857,0,0.0,0,0,0.0,9,0,0,0,20
org.apache.commons.cli.OptionsTest,185,751.8361455285252,66,7,56,56,0,0,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,0,0,0,15
org.apache.commons.cli.OptionTest,219,858.7758344723544,70,5,60,60,0,0,45,45,0,1,-0.2222222222222222,0,0.0,0,0,0.0,10,0,0,0,10
org.apache.commons.cli.CommandLineTest,93,398.4526346463926,38,4,34,34,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,8
org.apache.commons.cli.OptionGroupTest,259,1118.7999528068315,86,7,72,72,2,2,25,0,66,66,0.6794871794871795,3,0.8214285714285714,0,0,0.0,14,2,0,2,30
org.apache.commons.cli.GnuParserTest,138,282.5329935096075,22,3,0,0,0,0,231,231,0,0,-0.1,0,0.0,0,0,0.0,22,0,0,0,44
org.apache.commons.cli.DefaultParserTest,29,43.274594347016425,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.commons.cli.OptionBuilderTest,200,565.2356255064176,70,5,61,61,0,0,36,36,0,0,-0.2857142857142857,0,0.0,0,0,0.0,9,0,0,0,14
org.apache.commons.cli.UtilTest,45,103.17835962612729,7,3,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
org.apache.commons.cli.PosixParserTest,81,227.50129578167866,10,3,0,0,0,0,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,0,0,0,20
org.apache.commons.cli.HelpFormatterTest,610,3525.76040920851,175,7,149,149,1,1,154,0,171,171,0.4866666666666667,7,0.7307692307692307,0,0,0.0,26,1,0,1,49
