class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.codec.Charsets,162,1224.9881138828305,5,2,3,3,6,1,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,6,6,0,7
org.apache.commons.codec.StringEncoderComparator,90,772.9668483580607,5,1,2,2,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,7
org.apache.commons.codec.net.QCodec,357,2656.5513791291896,33,8,17,17,5,4,113,106,7,14,-0.009523809523809525,3,0.1375,0,0,0.0,16,5,0,5,67
org.apache.commons.codec.net.URLCodec,373,2423.0824402525077,40,11,26,26,4,3,86,81,5,20,0.08974358974358974,4,0.125,0,0,0.0,14,4,0,1,61
org.apache.commons.codec.net.Utils,64,537.1301193782658,5,1,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,8
org.apache.commons.codec.net.RFC1522Codec,185,1600.9010971317075,24,5,18,18,3,2,14,13,1,6,0.1,2,0.3333333333333333,0,0,0.0,6,3,0,0,25
org.apache.commons.codec.net.QuotedPrintableCodec,602,4285.817044723997,63,15,39,39,9,5,261,246,15,47,0.09486166007905138,2,0.09259259259259259,0,0,0.0,24,9,0,9,99
org.apache.commons.codec.net.PercentCodec,263,2482.07806545181,42,6,27,27,4,4,84,63,21,32,0.1978021978021978,4,0.25,0,0,0.0,15,4,0,4,59
org.apache.commons.codec.net.BCodec,250,1568.6866627681675,31,8,17,17,1,1,88,85,3,10,-0.038461538461538464,11,0.21428571428571427,0,0,0.0,14,1,0,1,55
org.apache.commons.codec.language.DaitchMokotoffSoundex,552,4763.675467513196,60,14,50,50,9,5,44,43,1,7,-0.05555555555555555,1,0.08888888888888889,0,0,0.0,10,9,0,9,42
org.apache.commons.codec.language.Caverphone2,130,823.8427176098871,5,0,4,4,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,4
org.apache.commons.codec.language.Metaphone,429,3114.746182868008,40,2,28,28,4,2,65,64,1,10,-0.01818181818181818,3,0.10416666666666667,0,0,0.0,12,4,0,4,38
org.apache.commons.codec.language.Nysiis,317,3292.800981302437,25,3,17,17,19,5,27,26,1,6,-0.047619047619047616,0,0.13157894736842105,0,0,0.0,8,19,0,19,29
org.apache.commons.codec.language.DoubleMetaphone,1008,5519.403651195216,159,3,121,121,6,3,702,701,1,78,0.06156156156156156,7,0.03070175438596491,0,0,0.0,38,6,0,6,176
org.apache.commons.codec.language.MatchRatingApproachEncoder,423,3572.3985378611865,51,3,40,40,6,3,45,35,10,18,0.17777777777777778,1,0.18181818181818182,0,0,0.0,11,6,0,6,47
org.apache.commons.codec.language.ColognePhonetic,448,3839.9479184237534,21,3,15,15,10,2,15,15,0,5,0.0,0,0.16666666666666666,0,0,0.0,6,10,0,10,25
org.apache.commons.codec.language.RefinedSoundex,218,2230.9051330912807,21,2,13,13,3,2,22,16,6,9,0.09523809523809523,2,0.15625,0,0,0.0,8,4,2,2,25
org.apache.commons.codec.language.Caverphone1,126,801.263612808305,5,0,4,4,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,4
org.apache.commons.codec.language.Soundex,333,3426.7357873515316,24,2,12,12,6,5,50,34,16,21,0.18181818181818182,1,0.1388888888888889,0,0,0.0,12,9,5,4,38
org.apache.commons.codec.language.bm.BeiderMorseEncoder,183,2745.939111188344,26,2,17,17,1,1,8,0,28,29,0.75,1,0.8888888888888888,0,0,0.0,9,1,0,1,24
org.apache.commons.codec.language.bm.PhoneticEngine,525,4742.476814007061,64,15,53,53,7,6,35,15,20,22,0.26666666666666666,1,0.2727272727272727,0,0,0.0,11,7,0,7,37
org.apache.commons.codec.language.bm.Rule,706,5712.912090904304,125,15,94,94,12,6,444,423,21,55,0.05747126436781609,2,0.05913978494623656,0,0,0.0,31,12,2,9,98
org.apache.commons.codec.binary.BinaryCodec,300,1711.0183113913365,22,4,11,11,11,4,42,29,13,21,0.24444444444444444,1,0.08264462809917356,0,0,0.0,11,11,0,11,40
org.apache.commons.codec.binary.Base32,582,4832.006836249095,21,0,9,9,20,3,56,46,10,11,0.0,0,0.12916666666666668,0,0,0.0,12,20,0,20,49
org.apache.commons.codec.binary.BaseNCodec,616,5988.119994952048,53,5,27,27,14,2,315,305,10,40,0.05,1,0.06318681318681318,0,0,0.0,26,14,2,6,82
org.apache.commons.codec.binary.StringUtils,420,2332.330653090887,42,6,22,22,0,0,190,190,0,23,0.023391812865497075,0,0.0,0,0,0.0,20,0,0,0,94
org.apache.commons.codec.binary.Hex,498,2933.9723508522497,69,9,43,43,5,3,314,303,11,81,0.18666666666666668,6,0.07692307692307693,0,0,0.0,26,5,2,3,97
org.apache.commons.codec.binary.Base64,808,7155.0966767118325,59,2,32,32,15,2,340,329,11,50,0.07384615384615385,1,0.07160493827160494,0,0,0.0,27,15,0,14,95
org.apache.commons.codec.digest.DigestUtils,1737,4445.136419690123,342,15,218,218,2,2,7472,7318,154,785,0.08823137411701985,114,0.08064516129032258,0,0,0.0,124,2,0,2,337
org.apache.commons.codec.digest.PureJavaCrc32C,640,995.3580727283546,6,1,1,1,10,2,4,0,6,7,0.5,0,0.3,0,0,0.0,5,10,0,10,9
