class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.configuration2.PropertiesConfiguration,1929,14311.008257210926,101,33,70,70,18,8,451,437,14,30,0.0,1,0.03942652329749104,0,0,0.0,31,18,3,13,92
org.apache.commons.configuration2.MapConfiguration,287,2991.9930904854573,36,7,21,21,2,2,24,0,81,82,0.7472527472527473,7,0.5333333333333333,0,0,0.0,15,2,0,1,38
org.apache.commons.configuration2.SystemConfiguration,116,930.6024954015135,22,5,17,17,1,1,10,10,0,3,-0.16666666666666666,4,0.2,0,0,0.0,5,1,0,1,15
org.apache.commons.configuration2.ConfigurationMap,214,1158.49392198151,10,5,5,5,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,1,13
org.apache.commons.configuration2.StrictConfigurationComparator,80,468.0609387029322,7,1,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7
org.apache.commons.configuration2.INIConfiguration,1146,9636.864392398333,152,22,123,123,8,1,403,400,3,28,0.0,4,0.04310344827586207,0,0,0.0,29,8,0,6,112
org.apache.commons.configuration2.XMLDocumentHelper,382,2928.814697540257,53,19,35,35,4,3,149,145,4,20,0.022058823529411766,5,0.1111111111111111,0,0,0.0,18,4,0,4,65
org.apache.commons.configuration2.XMLConfiguration,1418,11008.32302922602,198,47,159,159,16,6,719,697,22,53,0.021337126600284494,2,0.05128205128205128,0,0,0.0,39,16,0,14,128
org.apache.commons.configuration2.BaseConfiguration,212,1573.5899400211963,28,7,18,18,1,1,9,0,36,37,0.7777777777777778,1,0.9,0,0,0.0,10,1,0,1,28
org.apache.commons.configuration2.DatabaseConfiguration,862,6229.668912024121,125,18,91,91,12,3,397,233,164,167,0.2537878787878788,2,0.14215686274509803,0,0,0.0,34,12,0,12,110
org.apache.commons.configuration2.ConfigurationConverter,153,940.4484865637843,17,6,11,11,1,1,15,15,0,2,-0.3,5,0.16666666666666666,0,0,0.0,6,1,0,1,18
org.apache.commons.configuration2.AbstractConfiguration,1905,12909.287581067161,368,30,257,257,7,7,6072,6039,33,207,0.016180150125104254,18,0.028314028314028315,0,0,0.0,111,7,0,7,331
org.apache.commons.configuration2.CombinedConfiguration,1186,8886.22540760769,154,25,119,119,9,8,512,429,83,130,0.1711229946524064,4,0.09206349206349207,0,0,0.0,35,9,1,8,103
org.apache.commons.configuration2.resolver.CatalogResolver,557,3843.6143345639744,39,17,27,27,7,5,34,2,32,34,0.41818181818181815,1,0.21428571428571427,0,0,0.0,12,7,0,7,26
org.apache.commons.configuration2.YAMLConfiguration,178,1042.155292893953,31,14,20,20,0,0,55,55,0,6,-0.08888888888888889,0,0.0,0,0,0.0,11,0,0,0,29
org.apache.commons.configuration2.JNDIConfiguration,488,2485.892775798133,74,16,55,55,4,3,126,81,45,51,0.21568627450980393,4,0.2631578947368421,0,0,0.0,19,4,0,4,58
org.apache.commons.configuration2.HierarchicalConfigurationXMLReader,207,1499.0267583214847,13,5,7,7,1,1,14,13,1,4,-0.1,4,0.3333333333333333,0,0,0.0,6,1,0,1,8
org.apache.commons.configuration2.DataConfiguration,1757,5661.736481947736,205,17,108,108,13,12,4593,4530,63,120,0.005263157894736842,7,0.023790642347343377,0,0,0.0,97,13,2,11,385
org.apache.commons.configuration2.JSONConfiguration,115,593.8791401360845,17,10,12,12,2,2,7,4,3,3,-0.16666666666666666,3,0.5,0,0,0.0,5,2,0,2,12
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,976,8019.360387515772,155,24,118,118,2,2,662,658,4,40,0.006349206349206349,35,0.06756756756756757,0,0,0.0,37,2,0,2,100
org.apache.commons.configuration2.BaseConfigurationXMLReader,133,862.3723238422575,13,0,7,7,1,1,14,13,1,4,-0.1,4,0.3333333333333333,0,0,0.0,6,1,0,1,8
org.apache.commons.configuration2.XMLPropertiesConfiguration,423,2987.7149792808273,67,20,53,53,4,2,89,87,2,21,0.10256410256410256,4,0.10714285714285714,0,0,0.0,14,4,1,3,40
org.apache.commons.configuration2.PropertiesConfigurationLayout,1020,7309.690427665037,158,16,121,121,10,5,628,590,38,84,0.0761904761904762,3,0.07837837837837838,0,0,0.0,37,10,0,10,122
org.apache.commons.configuration2.CompositeConfiguration,664,4627.174472646584,107,10,80,80,3,3,181,11,170,176,0.46153846153846156,8,0.3950617283950617,0,0,0.0,27,3,0,3,75
org.apache.commons.configuration2.SubnodeConfiguration,269,3174.398957501957,31,6,20,20,2,2,53,51,2,12,0.044444444444444446,9,0.18181818181818182,0,0,0.0,11,2,0,2,27
org.apache.commons.configuration2.DynamicCombinedConfiguration,1122,6719.619496760092,290,22,205,205,8,7,3494,3418,76,186,0.029259896729776247,11,0.04852941176470588,0,0,0.0,85,8,0,8,187
org.apache.commons.configuration2.ConfigurationUtils,666,5172.649051714032,77,18,51,51,5,4,324,323,1,24,-0.0033333333333333335,6,0.046153846153846156,0,0,0.0,26,5,0,5,88
org.apache.commons.configuration2.ConfigurationLookup,78,706.2339707474825,5,1,2,2,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,8
org.apache.commons.configuration2.SubsetConfiguration,331,1911.0147610136446,47,2,27,27,3,2,73,0,117,125,0.6198830409356725,6,0.43333333333333335,0,0,0.0,20,3,0,0,48
org.apache.commons.configuration2.io.BasePathLocationStrategy,62,459.1559216300931,7,3,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.apache.commons.configuration2.io.FileLocator,377,2614.9498831884052,36,5,25,25,6,4,47,39,8,26,0.35555555555555557,1,0.19696969696969696,0,0,0.0,11,6,0,6,32
org.apache.commons.configuration2.io.ClasspathLocationStrategy,48,328.39435175604007,4,2,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.commons.configuration2.io.CombinedLocationStrategy,112,1138.2268739326014,7,4,4,4,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,10
org.apache.commons.configuration2.io.FileHandler,1573,9841.153537120832,303,23,215,215,6,5,3785,3742,43,243,0.04170008019246191,17,0.03598484848484849,0,0,0.0,88,6,0,6,265
org.apache.commons.configuration2.io.AbsoluteNameLocationStrategy,58,458.9879785041779,6,3,5,5,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4
org.apache.commons.configuration2.io.DefaultFileSystem,334,1579.2415984015302,41,11,32,32,0,0,36,36,0,5,-0.10714285714285714,0,0.0,0,0,0.0,9,0,0,0,41
org.apache.commons.configuration2.io.ProvidedURLLocationStrategy,47,387.53496691668727,2,1,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.commons.configuration2.io.HomeDirectoryLocationStrategy,169,1384.5393521699118,21,3,13,13,3,2,26,24,2,6,-0.047619047619047616,3,0.20833333333333334,0,0,0.0,8,3,0,3,21
org.apache.commons.configuration2.io.FileSystemLocationStrategy,47,334.37664429317573,4,1,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.commons.configuration2.io.ConfigurationLogger,243,1879.5344836012514,36,3,20,20,1,1,119,118,1,15,0.0,14,0.125,0,0,0.0,16,1,0,1,43
org.apache.commons.configuration2.io.FileLocatorUtils,683,6048.730124039927,102,11,78,78,10,4,275,274,1,24,0.003952569169960474,2,0.06666666666666667,0,0,0.0,24,10,2,8,94
org.apache.commons.configuration2.spring.ConfigurationPropertySource,60,228.96861288863337,11,5,7,7,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,7
org.apache.commons.configuration2.spring.ConfigurationPropertiesFactoryBean,201,1322.6700356596314,26,11,12,12,4,4,76,61,15,19,0.07692307692307693,3,0.23214285714285715,0,0,0.0,14,4,0,4,32
org.apache.commons.configuration2.event.EventType,157,1566.049385001267,13,3,7,7,4,3,13,11,2,5,0.0,1,0.20833333333333334,0,0,0.0,6,4,0,4,20
org.apache.commons.configuration2.event.EventListenerList,436,3465.310758541316,33,9,20,20,1,1,50,22,28,33,0.3181818181818182,5,0.6153846153846154,0,0,0.0,13,1,0,1,43
org.apache.commons.configuration2.event.Event,120,1209.6533170925393,14,1,10,10,4,4,5,4,1,3,0.0,1,0.25,0,0,0.0,4,4,1,3,10
org.apache.commons.configuration2.interpol.SystemPropertiesLookup,53,373.07512752896537,3,1,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.commons.configuration2.interpol.ExprLookup,397,2756.0768944116767,30,12,15,15,10,6,97,89,8,15,0.01098901098901099,1,0.09333333333333334,0,0,0.0,15,10,0,10,33
org.apache.commons.configuration2.interpol.EnvironmentLookup,58,468.7750236474157,2,0,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4
org.apache.commons.configuration2.interpol.ConfigurationInterpolator,557,4781.919769980185,61,12,36,36,9,6,257,214,43,57,0.11956521739130435,2,0.1,0,0,0.0,25,10,0,10,78
org.apache.commons.configuration2.interpol.InterpolatorSpecification,311,2141.5356330213904,7,6,2,2,4,3,6,2,4,4,0.0,1,0.4,0,0,0.0,5,4,0,4,12
org.apache.commons.configuration2.interpol.ConstantLookup,167,1665.060650519909,15,6,11,11,3,3,5,4,1,3,0.0,1,0.3333333333333333,0,0,0.0,4,3,0,3,15
org.apache.commons.configuration2.beanutils.CombinedBeanDeclaration,192,1477.9783409006777,22,7,15,15,1,1,0,0,21,21,1.0,0,1.0,0,0,0.0,7,1,0,1,28
org.apache.commons.configuration2.beanutils.ConstructorArg,228,2018.969817784482,26,1,15,15,3,3,42,29,13,20,0.2222222222222222,4,0.3333333333333333,0,0,0.0,11,3,0,3,39
org.apache.commons.configuration2.beanutils.DefaultBeanFactory,352,2726.628201855372,44,8,29,29,2,2,104,103,1,12,-0.02197802197802198,7,0.08888888888888889,0,0,0.0,15,3,1,2,51
org.apache.commons.configuration2.beanutils.BeanHelper,691,5041.3767077739785,76,19,53,53,3,3,236,219,17,35,0.05627705627705628,6,0.13043478260869565,0,0,0.0,23,4,1,3,90
org.apache.commons.configuration2.beanutils.ConfigurationDynaBean,249,1755.2829595353385,56,11,45,45,2,2,51,47,4,12,0.044444444444444446,9,0.22727272727272727,0,0,0.0,11,2,0,2,36
org.apache.commons.configuration2.beanutils.XMLBeanDeclaration,728,5615.691135534939,84,13,59,59,12,3,290,280,10,36,0.043478260869565216,2,0.06,0,0,0.0,25,12,5,7,77
org.apache.commons.configuration2.convert.DisabledListDelimiterHandler,88,919.9109816870084,4,3,1,1,1,1,3,3,0,0,-2.0,3,0.0,0,0,0.0,3,1,1,0,7
org.apache.commons.configuration2.convert.PropertyConverter,921,5105.572040912633,123,24,96,96,6,3,349,347,2,33,0.021538461538461538,5,0.04938271604938271,0,0,0.0,27,6,0,6,137
org.apache.commons.configuration2.convert.DefaultListDelimiterHandler,202,2132.600299382736,21,4,16,16,3,2,8,6,2,5,0.16666666666666666,2,0.3333333333333333,0,0,0.0,5,3,0,3,16
org.apache.commons.configuration2.convert.DefaultConversionHandler,419,3743.895874932881,65,7,48,48,4,3,135,134,1,29,0.10833333333333334,4,0.058823529411764705,0,0,0.0,17,5,2,3,58
org.apache.commons.configuration2.plist.XMLPropertyListConfiguration,895,5118.493848499875,75,41,63,63,3,3,64,62,2,5,-0.10909090909090909,5,0.1388888888888889,0,0,0.0,12,3,0,3,35
org.apache.commons.configuration2.plist.PropertyListConfiguration,694,5352.231714539807,79,23,65,65,10,5,89,87,2,9,-0.05128205128205128,1,0.02857142857142857,0,0,0.0,14,10,0,10,46
org.apache.commons.configuration2.reloading.VFSFileHandlerReloadingDetector,156,1128.4373310671272,27,9,21,21,1,1,14,13,1,2,-0.3,4,0.3333333333333333,0,0,0.0,6,1,0,1,16
org.apache.commons.configuration2.reloading.CombinedReloadingController,206,1982.8265162588214,9,3,4,4,3,2,8,6,2,4,0.0,2,0.3333333333333333,0,0,0.0,5,3,0,3,16
org.apache.commons.configuration2.reloading.FileHandlerReloadingDetector,278,2504.388705663857,35,5,22,22,6,4,73,68,5,14,0.030303030303030304,2,0.1282051282051282,0,0,0.0,13,6,0,6,40
org.apache.commons.configuration2.reloading.ManagedReloadingDetector,72,481.3819251293661,4,2,1,1,2,2,0,0,3,3,1.0,1,0.6666666666666666,0,0,0.0,3,2,0,2,5
org.apache.commons.configuration2.reloading.ReloadingController,191,2161.389942411404,16,5,9,9,3,3,11,1,10,12,0.4,2,0.42857142857142855,0,0,0.0,7,3,0,3,18
org.apache.commons.configuration2.reloading.PeriodicReloadingTrigger,229,1957.9216443255182,25,6,15,15,6,6,40,35,5,11,0.05555555555555555,1,0.18333333333333332,0,0,0.0,10,6,0,6,25
org.apache.commons.configuration2.sync.ReadWriteSynchronizer,102,828.8268787565154,16,2,9,9,1,1,11,1,10,11,0.3333333333333333,2,0.7142857142857143,0,0,0.0,7,1,0,1,9
org.apache.commons.configuration2.tree.NodeTreeWalker,184,1857.5300701111107,20,2,15,15,0,0,10,10,0,4,0.0,5,0.0,0,0,0.0,5,1,1,0,21
org.apache.commons.configuration2.tree.NodeHandlerDecorator,140,778.2387606869769,46,2,30,30,0,0,120,120,0,16,0.009523809523809525,0,0.0,0,0,0.0,16,0,0,0,32
org.apache.commons.configuration2.tree.TrackedNodeHandler,93,878.3837851544438,6,0,2,2,2,2,4,2,2,3,0.0,2,0.5,0,0,0.0,4,2,0,2,9
org.apache.commons.configuration2.tree.NodeSelector,198,1764.2261140533574,26,6,18,18,1,1,13,0,15,16,0.42857142857142855,2,0.75,0,0,0.0,8,1,0,1,24
org.apache.commons.configuration2.tree.DefaultConfigurationKey,958,6233.332661110063,124,3,96,96,3,3,341,304,37,86,0.16809116809116809,12,0.14285714285714285,0,0,0.0,28,3,0,3,94
org.apache.commons.configuration2.tree.NodeAddData,152,1427.2927606191986,9,4,3,3,4,4,11,7,4,5,0.0,1,0.3333333333333333,0,0,0.0,6,4,0,4,15
org.apache.commons.configuration2.tree.TreeData,244,1809.2705765730955,26,3,13,13,6,4,57,36,21,26,0.21212121212121213,2,0.28205128205128205,0,0,0.0,13,6,0,6,35
org.apache.commons.configuration2.tree.TrackedNodeModel,273,2599.2953249533953,50,3,34,34,4,4,116,112,4,27,0.11428571428571428,4,0.125,0,0,0.0,16,4,0,4,31
org.apache.commons.configuration2.tree.NodeUpdateData,160,1465.6190070207638,13,5,6,6,4,4,17,13,4,6,0.0,1,0.2857142857142857,0,0,0.0,7,4,0,4,18
org.apache.commons.configuration2.tree.OverrideCombiner,146,1457.9642866816569,25,0,22,22,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,13
org.apache.commons.configuration2.tree.ImmutableNode,670,4150.076471497634,56,7,37,37,4,4,79,0,92,103,0.5555555555555556,4,0.40789473684210525,0,0,0.0,19,4,0,4,56
org.apache.commons.configuration2.tree.DefaultExpressionEngine,501,4701.216701734114,62,4,49,49,2,2,74,70,4,10,-0.030303030303030304,6,0.1282051282051282,0,0,0.0,13,3,1,2,47
org.apache.commons.configuration2.tree.QueryResult,200,1608.112014620366,29,4,19,19,2,2,43,41,2,13,0.1111111111111111,8,0.2,0,0,0.0,10,2,0,2,29
org.apache.commons.configuration2.tree.DefaultExpressionEngineSymbols,387,2141.2343820453125,42,3,31,31,12,1,49,43,6,24,0.3111111111111111,0,0.1258741258741259,0,0,0.0,11,13,7,6,25
org.apache.commons.configuration2.tree.MergeCombiner,174,1377.25237556694,39,6,35,35,0,0,6,6,0,3,0.0,0,0.0,0,0,0.0,4,0,0,0,18
org.apache.commons.configuration2.tree.InMemoryNodeModel,1385,8709.351448943984,263,12,206,206,2,2,1491,1386,105,153,0.06298701298701298,49,0.14035087719298245,0,0,0.0,57,2,0,2,196
org.apache.commons.configuration2.tree.UnionCombiner,207,2025.5448603082166,18,2,16,16,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,11
org.apache.commons.configuration2.tree.xpath.ConfigurationAttributePointer,225,1419.5604818625507,24,7,10,10,2,2,85,79,6,9,-0.05128205128205128,12,0.14285714285714285,0,0,0.0,14,2,0,2,34
org.apache.commons.configuration2.tree.xpath.XPathExpressionEngine,560,5011.590169752298,74,12,58,58,8,4,109,98,11,24,0.08571428571428572,2,0.109375,0,0,0.0,16,8,0,6,56
org.apache.commons.configuration2.tree.xpath.XPathContextFactory,49,337.77704752049834,4,2,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointerFactory,174,1215.5548764085406,8,5,4,4,1,1,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,1,1,0,14
org.apache.commons.configuration2.tree.xpath.ConfigurationNodeIteratorChildren,211,1397.0517128923634,38,10,31,31,1,1,18,15,3,8,0.13333333333333333,4,0.42857142857142855,0,0,0.0,7,1,0,1,24
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointer,299,1845.436529167197,29,8,11,11,3,3,115,77,38,43,0.19117647058823528,7,0.2222222222222222,0,0,0.0,18,3,0,3,48
org.apache.commons.configuration2.builder.JndiBuilderParametersImpl,63,558.3929648607128,4,1,2,2,2,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,2,0,2,4
org.apache.commons.configuration2.builder.DefaultParametersManager,274,2666.1384890520185,13,3,7,7,1,1,9,3,6,8,0.3,2,0.6666666666666666,0,0,0.0,6,1,0,1,19
org.apache.commons.configuration2.builder.DatabaseBuilderParametersImpl,110,586.0139559130834,15,1,8,8,7,1,21,21,0,0,-0.4,1,0.14285714285714285,0,0,0.0,7,7,0,7,14
org.apache.commons.configuration2.builder.XMLBuilderParametersImpl,124,799.4130866519151,18,3,10,10,6,1,22,16,6,6,-0.047619047619047616,1,0.22916666666666666,0,0,0.0,8,6,0,6,16
org.apache.commons.configuration2.builder.PropertiesBuilderParametersImpl,101,692.1973969839484,11,5,6,6,4,1,7,4,3,3,-0.16666666666666666,1,0.35,0,0,0.0,5,4,0,4,9
org.apache.commons.configuration2.builder.BasicBuilderParameters,644,5042.075834857243,89,13,60,60,12,2,347,288,59,80,0.13756613756613756,2,0.11206896551724138,0,0,0.0,29,12,0,12,99
org.apache.commons.configuration2.builder.BasicConfigurationBuilder,795,6497.724308342521,121,20,79,79,6,6,818,775,43,82,0.05,7,0.07936507936507936,0,0,0.0,42,6,0,6,126
org.apache.commons.configuration2.builder.FileBasedConfigurationBuilder,399,3166.125509831527,50,11,32,32,4,4,144,135,9,18,0.007352941176470588,5,0.1388888888888889,0,0,0.0,18,4,0,4,55
org.apache.commons.configuration2.builder.HierarchicalBuilderParametersImpl,64,367.3379849963183,4,2,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
org.apache.commons.configuration2.builder.ReloadingBuilderSupportListener,112,913.6324393110518,9,4,6,6,2,2,2,1,1,1,-1.0,1,0.6666666666666666,0,0,0.0,3,2,0,2,8
org.apache.commons.configuration2.builder.ReloadingFileBasedConfigurationBuilder,254,2409.0592508679424,27,7,15,15,3,3,54,42,12,18,0.12727272727272726,4,0.25,0,0,0.0,12,3,0,3,39
org.apache.commons.configuration2.builder.BuilderConfigurationWrapperFactory,309,2302.504190454652,12,6,6,6,2,2,5,0,10,12,0.7,3,0.5833333333333334,0,0,0.0,6,2,1,1,16
org.apache.commons.configuration2.builder.AutoSaveListener,162,1438.9338595759762,14,7,7,7,4,4,15,9,6,8,0.13333333333333333,1,0.32142857142857145,0,0,0.0,7,4,0,4,20
org.apache.commons.configuration2.builder.CopyObjectDefaultHandler,109,1182.5899651118516,6,2,3,3,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,9
org.apache.commons.configuration2.builder.DefaultReloadingDetectorFactory,54,297.7167274301121,3,4,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.apache.commons.configuration2.builder.EventListenerParameters,118,948.0568017234649,8,7,3,3,1,1,4,0,6,6,0.3333333333333333,1,0.8,0,0,0.0,5,1,0,1,13
org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilder,1655,11265.215456404449,164,40,122,122,50,14,805,749,56,88,0.05731707317073171,0,0.02,0,0,0.0,42,50,1,23,135
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean,186,1262.7012125725064,37,8,25,25,2,2,64,62,2,15,0.07272727272727272,10,0.16666666666666666,0,0,0.0,12,2,0,2,27
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder,550,4286.245890954063,82,21,61,61,6,6,205,200,5,23,0.015789473684210527,4,0.07936507936507936,0,0,0.0,21,6,0,6,75
org.apache.commons.configuration2.builder.combined.BaseConfigurationBuilderProvider,397,3360.817425916418,49,11,33,33,5,3,116,112,4,19,0.0380952380952381,3,0.1125,0,0,0.0,16,5,0,5,60
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder,213,1811.6992435442671,19,14,9,9,1,1,42,39,3,7,-0.05555555555555555,7,0.3,0,0,0.0,10,1,0,1,27
org.apache.commons.configuration2.builder.combined.CombinedBuilderParametersImpl,469,3481.8998117349447,49,13,25,25,8,7,257,238,19,32,0.03557312252964427,3,0.10416666666666667,0,0,0.0,24,8,0,8,83
org.apache.commons.configuration2.builder.combined.ConfigurationDeclaration,195,1641.7985297966657,24,3,14,14,1,1,44,43,1,1,-0.2222222222222222,8,0.2,0,0,0.0,10,1,0,1,26
org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder,167,1486.7786795258037,20,12,13,13,1,1,21,21,0,2,-0.26666666666666666,6,0.14285714285714285,0,0,0.0,7,1,0,1,20
org.apache.commons.configuration2.builder.combined.FileExtensionConfigurationBuilderProvider,177,1783.7881992369876,16,4,10,10,3,2,13,11,2,6,0.1,2,0.2777777777777778,0,0,0.0,6,3,0,3,19
org.apache.commons.configuration2.builder.combined.MultiFileBuilderParametersImpl,171,1558.0762018177545,14,4,6,6,3,2,25,22,3,6,-0.047619047619047616,3,0.25,0,0,0.0,8,3,0,3,25
org.apache.commons.configuration2.builder.fluent.Configurations,679,2749.1820957193663,105,10,64,64,1,1,817,814,3,128,0.11282051282051282,38,0.07317073170731707,0,0,0.0,41,1,0,1,155
org.apache.commons.configuration2.builder.fluent.Parameters,367,2980.8282832924,35,16,19,19,1,1,119,118,1,14,-0.009523809523809525,14,0.125,0,0,0.0,16,1,0,1,47
org.apache.commons.configuration2.web.ServletConfiguration,74,386.8388001051633,10,5,6,6,1,1,3,0,3,3,0.0,1,0.75,0,0,0.0,4,1,0,0,7
org.apache.commons.configuration2.web.ServletContextConfiguration,75,366.74327802177817,11,5,7,7,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,0,7
org.apache.commons.configuration2.web.ServletFilterConfiguration,62,312.58909759403673,8,4,5,5,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,5
org.apache.commons.configuration2.web.AppletConfiguration,65,419.7658309961856,8,3,5,5,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,7
org.apache.commons.configuration2.web.ServletRequestConfiguration,89,524.8486530254797,10,6,7,7,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,8
org.apache.commons.configuration2.TestPropertiesConfiguration,1738,10034.433735326746,572,60,474,474,9,4,2178,0,2575,2617,0.5412371134020618,10,0.1349206349206349,0,0,0.0,98,9,1,8,233
org.apache.commons.configuration2.TestMapConfiguration,174,1014.0521971785175,58,11,48,48,3,1,35,25,10,13,0.1111111111111111,3,0.3333333333333333,0,0,0.0,10,3,0,3,16
org.apache.commons.configuration2.TestSystemConfiguration,152,865.7630294991745,43,12,37,37,1,1,15,15,0,0,-0.5,5,0.16666666666666666,0,0,0.0,6,1,1,0,15
org.apache.commons.configuration2.TestConfigurationMap,92,397.15674720220335,8,5,5,5,3,3,0,0,3,3,1.0,0,0.7777777777777778,0,0,0.0,3,3,0,0,8
org.apache.commons.configuration2.TestStrictConfigurationComparator,94,323.9248040596676,9,3,7,7,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,0,2
org.apache.commons.configuration2.TestINIConfiguration,1342,7791.033130721933,408,35,332,332,9,2,2469,2088,381,460,0.13873873873873874,8,0.10087719298245613,0,0,0.0,76,9,1,8,185
org.apache.commons.configuration2.TestXMLDocumentHelper,348,1912.690341038613,110,31,92,92,2,1,151,149,2,20,0.022058823529411766,16,0.1111111111111111,0,0,0.0,18,2,0,2,58
org.apache.commons.configuration2.TestXMLConfiguration,1834,9797.470924942672,679,45,571,571,16,5,1514,0,4264,4322,0.7432551578204902,6,0.08854166666666667,0,0,0.0,108,16,1,9,231
org.apache.commons.configuration2.TestBaseConfiguration,788,4507.095163385408,275,27,214,214,4,3,0,0,1830,1830,1.0,15,0.2581967213114754,0,0,0.0,61,4,0,0,81
org.apache.commons.configuration2.TestDatabaseConfiguration,588,3016.101898022948,220,20,178,178,3,3,582,303,279,303,0.3195121951219512,16,0.2222222222222222,0,0,0.0,42,3,0,3,104
org.apache.commons.configuration2.TestConfigurationConverter,149,842.5425117309943,49,8,42,42,0,0,21,21,0,3,-0.2,0,0.0,0,0,0.0,7,0,0,0,14
org.apache.commons.configuration2.TestAbstractConfiguration,208,1139.9055063567382,77,15,63,63,0,0,91,91,0,13,0.0,0,0.0,0,0,0.0,14,0,0,0,19
