class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.dbutils.AsyncQueryRunner,691,3560.0039193558787,107,8,66,66,2,2,54,0,766,766,0.9307692307692308,11,0.7439024390243902,0,0,0.0,41,2,0,2,149
org.apache.commons.dbutils.ResultSetIterator,141,1016.7726382450959,16,3,8,8,2,2,7,0,21,24,0.8095238095238095,4,0.5625,0,0,0.0,8,2,0,2,25
org.apache.commons.dbutils.QueryRunner,950,4285.138000320033,135,9,94,94,0,0,820,820,0,90,0.0641025641025641,0,0.0,0,0,0.0,41,0,0,0,182
org.apache.commons.dbutils.GenerousBeanProcessor,73,433.11570998811493,10,4,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7
org.apache.commons.dbutils.BeanProcessor,540,4736.60020199093,73,17,58,58,5,5,103,101,2,19,0.054945054945054944,3,0.09333333333333334,0,0,0.0,15,5,0,4,77
org.apache.commons.dbutils.QueryLoader,143,1242.2933943993542,15,6,10,10,2,2,9,8,1,2,-0.3333333333333333,2,0.26666666666666666,0,0,0.0,5,3,0,3,16
org.apache.commons.dbutils.OutParameter,142,1250.584776389637,13,2,4,4,3,3,9,0,27,27,0.6785714285714286,2,0.5925925925925926,0,0,0.0,9,3,0,3,25
org.apache.commons.dbutils.DbUtils,434,2160.9276817749505,49,14,30,30,0,0,171,171,0,29,0.0718954248366013,0,0.0,0,0,0.0,19,0,0,0,57
org.apache.commons.dbutils.BasicRowProcessor,276,2507.5328203920217,21,8,13,13,2,1,25,22,3,4,-0.14285714285714285,3,0.20833333333333334,0,0,0.0,8,3,0,3,25
org.apache.commons.dbutils.ProxyFactory,135,766.4033111853926,21,9,11,11,0,0,45,45,0,7,-0.05555555555555555,9,0.1,0,0,0.0,10,1,0,1,20
org.apache.commons.dbutils.StatementConfiguration,205,1055.1660457357398,11,0,0,0,5,1,40,25,15,15,0.1111111111111111,2,0.2727272727272727,0,0,0.0,11,5,0,5,33
org.apache.commons.dbutils.BaseResultSetHandler,1973,5871.393456065673,382,21,190,190,1,1,191,0,18145,18146,0.9895287958115183,1,0.9947916666666666,0,0,0.0,192,1,0,1,486
org.apache.commons.dbutils.handlers.BeanListHandler,85,617.9547244040473,4,5,1,1,2,2,0,0,3,3,1.0,1,0.8333333333333334,0,0,0.0,3,2,0,2,8
org.apache.commons.dbutils.handlers.KeyedHandler,161,1713.1662924248853,9,4,2,2,3,3,13,5,8,8,0.13333333333333333,2,0.42857142857142855,0,0,0.0,7,3,0,0,15
org.apache.commons.dbutils.handlers.BeanMapHandler,185,1710.4214505715224,9,3,2,2,4,4,3,0,18,18,0.8,1,0.5357142857142857,0,0,0.0,7,4,0,4,16
org.apache.commons.dbutils.handlers.MapListHandler,73,466.86472252566796,4,4,1,1,1,1,2,1,1,1,-1.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,7
org.apache.commons.dbutils.handlers.BeanHandler,83,672.8424773528789,5,4,2,2,2,2,0,0,3,3,1.0,1,0.8333333333333334,0,0,0.0,3,2,0,2,8
