class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.mail.MultiPartEmail,589,2757.0171967479273,76,15,54,54,5,4,216,201,15,44,0.10952380952380952,5,0.12727272727272726,0,0,0.0,22,5,0,5,88
org.apache.commons.mail.HtmlEmail,715,5251.5503248337745,78,18,67,67,7,4,42,29,13,24,0.3111111111111111,1,0.16883116883116883,0,0,0.0,11,7,1,2,61
org.apache.commons.mail.EmailAttachment,162,661.9618542169442,10,1,0,0,7,2,40,35,5,5,-0.1111111111111111,1,0.14285714285714285,0,0,0.0,10,7,2,5,15
org.apache.commons.mail.EmailUtils,335,2910.623272388718,26,8,17,17,5,5,36,36,0,1,-0.25,2,0.1111111111111111,0,0,0.0,9,5,0,5,33
org.apache.commons.mail.Email,1997,10900.506570887383,223,24,141,141,62,12,3128,2935,193,249,0.05185185185185185,1,0.024783634933123525,0,0,0.0,82,62,29,6,307
org.apache.commons.mail.ImageHtmlEmail,194,1461.2779565774906,21,6,17,17,5,3,5,4,1,3,0.0,1,0.2,0,0,0.0,4,5,2,3,12
org.apache.commons.mail.DefaultAuthenticator,58,376.1057516687408,2,2,0,0,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,4
org.apache.commons.mail.SimpleEmail,47,273.86089148807014,3,0,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.apache.commons.mail.util.MimeMessageParser,456,2766.647618693773,84,27,58,58,6,5,270,215,55,64,0.13,4,0.16666666666666666,0,0,0.0,26,6,0,6,85
org.apache.commons.mail.util.IDNEmailAddressConverter,121,662.5265391583756,19,2,13,13,0,0,15,15,0,7,0.2,0,0.0,0,0,0.0,6,0,0,0,16
org.apache.commons.mail.resolver.DataSourceUrlResolver,133,766.6469260474717,16,5,10,10,1,1,9,3,6,8,0.3,2,0.6666666666666666,0,0,0.0,6,1,0,1,20
org.apache.commons.mail.resolver.DataSourceCompositeResolver,107,710.8666184330957,12,3,7,7,1,1,7,4,3,5,0.16666666666666666,2,0.6,0,0,0.0,5,1,0,1,14
org.apache.commons.mail.resolver.DataSourceFileResolver,113,665.1297555538677,13,4,7,7,1,1,9,3,6,8,0.3,2,0.6666666666666666,0,0,0.0,6,1,0,1,14
org.apache.commons.mail.resolver.DataSourceClassPathResolver,144,831.7037248955482,23,5,16,16,1,1,15,9,6,9,0.2,3,0.5714285714285714,0,0,0.0,7,1,0,1,19
org.apache.commons.mail.MultiPartEmailTest,419,1278.0335636422387,88,16,76,76,2,2,11,0,55,55,0.8,5,0.5833333333333334,0,0,0.0,12,2,0,2,34
org.apache.commons.mail.HtmlEmailTest,756,2986.9318918028066,204,21,186,186,1,1,48,0,105,107,0.6617647058823529,3,0.8333333333333334,0,0,0.0,18,1,0,1,68
org.apache.commons.mail.EmailAttachmentTest,98,322.61554832697277,21,4,15,15,1,1,0,0,15,15,1.0,0,1.0,0,0,0.0,6,1,0,1,13
org.apache.commons.mail.EmailUtilsTest,54,198.87383097122364,6,3,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3
org.apache.commons.mail.EmailTest,1319,4008.699619000185,477,22,397,397,2,2,0,0,3160,3160,1.0,32,0.60625,0,0,0.0,80,2,0,2,163
org.apache.commons.mail.ImageHtmlEmailTest,509,1658.7349254515955,244,22,231,231,6,4,23,0,55,59,0.7121212121212122,1,0.32051282051282054,0,0,0.0,13,6,0,6,32
org.apache.commons.mail.DefaultAuthenticatorTest,51,119.66952139692823,7,3,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
org.apache.commons.mail.SimpleEmailTest,179,632.1394104235553,51,8,47,47,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,15
org.apache.commons.mail.util.MimeMessageParserTest,501,1511.0216909712092,354,13,340,340,0,0,91,91,0,0,-0.16666666666666666,0,0.0,0,0,0.0,14,0,0,0,29
org.apache.commons.mail.util.IDNEmailAddressConverterTest,88,278.89844259186975,20,3,14,14,6,3,0,0,15,15,1.0,0,0.3333333333333333,0,0,0.0,6,6,0,6,8
org.apache.commons.mail.resolver.DataSourceUrlResolverTest,82,392.333146264094,15,6,12,12,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,9
org.apache.commons.mail.resolver.DataSourceCompositeResolverTest,82,280.8534600539607,10,6,6,6,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,12
org.apache.commons.mail.resolver.DataSourceFileResolverTest,55,187.56814098349253,8,5,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6
org.apache.commons.mail.resolver.DataSourceClassPathResolverTest,61,216.63838926036735,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6
