class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.imaging.Imaging,1561,6610.045654078937,168,24,98,98,19,1,2415,2415,0,188,0.050724637681159424,3,0.014285714285714285,0,0,0.0,70,19,0,19,316
org.apache.commons.imaging.ImageDump,103,489.0623935043161,24,7,19,19,1,1,7,4,3,6,0.3333333333333333,2,0.6,0,0,0.0,5,1,0,1,12
org.apache.commons.imaging.palette.SimplePalette,46,182.60311785784458,4,0,0,0,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,9
org.apache.commons.imaging.palette.Dithering,117,1037.8488321440661,10,2,7,7,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,9
org.apache.commons.imaging.color.ColorCieLuv,130,809.5410386793368,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.color.ColorCmy,160,864.2094864868056,7,0,3,3,3,1,0,0,6,6,1.0,0,0.2727272727272727,0,0,0.0,4,11,11,0,8
org.apache.commons.imaging.color.ColorCieLab,131,834.5094538446446,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.color.ColorCmyk,175,938.9377439220931,7,0,3,3,4,1,0,0,6,6,1.0,0,0.3333333333333333,0,0,0.0,4,12,12,0,8
org.apache.commons.imaging.color.ColorHunterLab,130,821.7145881331613,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.color.ColorXyz,131,846.0616870408106,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.color.ColorConversions,750,4646.92991402593,88,0,47,47,3,1,810,800,10,42,0.002564102564102564,18,0.12195121951219512,0,0,0.0,41,3,0,3,110
org.apache.commons.imaging.color.ColorHsl,130,800.6824005039513,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.color.ColorHsv,130,806.0661926255497,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.color.ColorCieLch,130,821.0995529008203,7,0,3,3,3,1,0,0,6,6,1.0,0,0.375,0,0,0.0,4,8,8,0,8
org.apache.commons.imaging.common.RationalNumber,224,1548.5418918952212,25,1,14,14,4,3,19,0,36,38,0.6222222222222222,2,0.4318181818181818,0,0,0.0,11,4,2,2,36
org.apache.commons.imaging.common.RgbBufferedImageFactory,38,111.55194546985817,3,1,1,1,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,5
org.apache.commons.imaging.common.bytesource.ByteSource,71,452.79165257468924,13,3,4,4,1,1,35,34,1,3,-0.17857142857142858,7,0.2222222222222222,0,0,0.0,9,1,0,1,23
org.apache.commons.imaging.common.bytesource.ByteSourceInputStream,272,1350.064660010727,22,6,14,14,5,5,26,24,2,6,-0.047619047619047616,1,0.175,0,0,0.0,8,5,0,5,29
org.apache.commons.imaging.formats.bmp.BmpWriterRgb,82,397.2566085454589,9,4,5,5,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,10
org.apache.commons.imaging.formats.tiff.TiffTags,168,615.376788668752,19,26,12,12,3,3,21,21,0,1,-0.3333333333333333,3,0.09523809523809523,0,0,0.0,7,3,0,3,25
org.apache.commons.imaging.formats.tiff.TiffRasterStatistics,144,987.3346523383752,11,0,3,3,6,2,20,12,8,8,0.047619047619047616,1,0.2708333333333333,0,0,0.0,8,6,0,6,23
org.apache.commons.imaging.formats.tiff.TiffRasterData,158,1493.9675721281649,9,0,0,0,3,2,18,0,18,18,0.35714285714285715,2,0.5555555555555556,0,0,0.0,9,3,0,3,31
org.apache.commons.imaging.formats.tiff.JpegImageData,30,111.6542804495917,3,0,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3
