class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.net.SocketClient,885,6407.674132761002,108,12,57,57,18,10,1067,859,208,225,0.14285714285714285,2,0.07298474945533769,0,0,0.0,51,18,1,8,170
org.apache.commons.net.util.SubnetUtils,384,3188.809199986626,33,2,22,22,11,4,51,47,4,10,0.0,1,0.14049586776859505,0,0,0.0,11,11,0,11,38
org.apache.commons.net.io.DotTerminatedMessageReader,250,2228.3145393766004,16,3,10,10,6,3,9,3,6,13,0.8,0,0.3333333333333333,0,0,0.0,6,6,0,6,28
org.apache.commons.net.io.ToNetASCIIInputStream,185,1205.8722747801269,11,3,5,5,4,1,12,9,3,7,0.2,1,0.3333333333333333,0,0,0.0,6,4,0,4,23
org.apache.commons.net.ftp.FTPClientConfig,709,6649.880993094467,34,6,8,8,20,3,246,167,79,81,0.18666666666666668,1,0.09423076923076923,0,0,0.0,26,20,11,9,78
org.apache.commons.net.ftp.FTPCommand,171,1283.5166459157665,3,0,0,0,76,2,2,1,1,1,-1.0,0,0.013157894736842105,0,0,0.0,3,76,74,2,7
org.apache.commons.net.ftp.FTPClient,4097,25385.090315005375,466,36,323,323,41,14,9933,9713,220,319,0.017680551393467185,3,0.025754733071806243,0,0,0.0,143,41,7,34,638
org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory,294,2472.803708014798,31,4,19,19,3,2,66,66,0,9,-0.03636363636363636,6,0.027777777777777776,0,0,0.0,12,3,0,3,42
org.apache.commons.net.ftp.parser.OS2FTPEntryParser,145,1098.9204346191034,14,3,10,10,2,1,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,2,0,2,17
org.apache.commons.net.ftp.parser.MacOsPeterFTPEntryParser,277,1933.139777806862,24,3,20,20,3,1,6,6,0,0,-1.0,1,0.25,0,0,0.0,4,3,0,1,20
org.apache.commons.net.ftp.parser.OS400FTPEntryParser,435,2601.8801701167235,24,5,19,19,2,1,10,10,0,1,-0.5,4,0.2,0,0,0.0,5,2,0,2,22
org.apache.commons.net.ftp.parser.NTFTPEntryParser,166,1256.605595056586,16,5,12,12,4,2,5,4,1,1,-0.6666666666666666,1,0.3125,0,0,0.0,4,4,0,4,17
org.apache.commons.net.ftp.parser.UnixFTPEntryParser,378,3063.1277048367456,35,5,29,29,11,3,14,13,1,1,-0.4,0,0.12121212121212122,0,0,0.0,6,11,1,6,27
org.apache.commons.net.ftp.parser.VMSFTPEntryParser,274,2169.0381069608347,34,6,27,27,2,1,21,21,0,1,-0.3333333333333333,6,0.14285714285714285,0,0,0.0,7,2,0,2,30
org.apache.commons.net.ftp.parser.EnterpriseUnixFTPEntryParser,165,1368.7109673115779,18,2,16,16,2,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,2,0,2,8
org.apache.commons.net.ftp.parser.FTPTimestampParserImpl,406,2694.3374515413034,68,9,50,50,6,4,116,79,37,47,0.22058823529411764,3,0.2037037037037037,0,0,0.0,18,6,0,6,56
