class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.numbers.quaternion.Quaternion,733,4731.255184979199,79,5,40,40,16,8,446,151,295,322,0.4039829302987198,1,0.1343101343101343,0,0,0.0,39,21,5,16,101
org.apache.commons.numbers.quaternion.Slerp,143,1485.4679889432077,7,1,5,5,4,3,0,0,1,1,0.0,0,0.875,0,0,0.0,2,4,0,4,8
org.apache.commons.numbers.core.Precision,498,3248.3780750314777,53,2,34,34,10,3,171,171,0,66,0.3137254901960784,2,0.03684210526315789,0,0,0.0,19,10,2,8,64
org.apache.commons.numbers.core.ArithmeticUtils,555,3532.5685787136244,34,2,19,19,3,1,95,85,10,14,0.0,6,0.24444444444444444,0,0,0.0,15,3,0,3,74
org.apache.commons.numbers.complex.Complex,3685,27403.750968636312,266,4,179,179,38,4,2081,421,1660,1737,0.45170998632010945,2,0.047619047619047616,0,0,0.0,87,42,3,39,324
org.apache.commons.numbers.primes.Primes,119,996.7863091092955,9,2,5,5,1,1,5,4,1,2,-0.3333333333333333,2,0.5,0,0,0.0,4,1,0,0,17
org.apache.commons.numbers.primes.SmallPrimes,290,2589.7428226145926,16,8,11,11,3,3,9,8,1,3,-0.16666666666666666,2,0.26666666666666666,0,0,0.0,5,3,0,0,19
org.apache.commons.numbers.gamma.Erf,58,536.5770737426664,4,0,2,2,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,5
org.apache.commons.numbers.gamma.Gamma,114,840.2881928116648,9,0,7,7,2,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,2,0,2,7
org.apache.commons.numbers.gamma.InverseErfc,44,376.0384292633933,3,0,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3
org.apache.commons.numbers.gamma.Digamma,98,1018.1234408712768,6,0,4,4,6,1,1,1,0,0,-2.0,0,0.5,0,0,0.0,2,6,0,6,7
org.apache.commons.numbers.gamma.LanczosApproximation,81,559.5093247682078,3,0,0,0,2,2,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,2,0,2,6
org.apache.commons.numbers.gamma.LogGamma1p,47,358.62380665873184,4,0,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6
org.apache.commons.numbers.gamma.InverseErf,132,1062.4552669945197,4,0,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
org.apache.commons.numbers.gamma.LogBeta,299,2383.9090390822707,20,0,15,15,5,2,4,0,6,6,0.3333333333333333,1,0.36,0,0,0.0,5,5,0,5,23
org.apache.commons.numbers.gamma.ErfDifference,71,626.3361477688767,3,0,1,1,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,8
org.apache.commons.numbers.gamma.InvGamma1pm1,190,1554.18478470635,2,0,0,0,36,1,1,1,0,0,-2.0,0,0.5,0,0,0.0,2,36,0,36,7
org.apache.commons.numbers.gamma.LogGammaSum,62,534.6214693050548,5,0,3,3,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7
org.apache.commons.numbers.gamma.LogGamma,75,788.7379402143209,6,0,4,4,2,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,2,0,2,6
org.apache.commons.numbers.gamma.RegularizedBeta,126,1051.6839795732678,12,1,7,7,1,1,10,10,0,1,-0.5,4,0.2,0,0,0.0,5,1,0,1,17
org.apache.commons.numbers.gamma.Erfc,60,537.6966499830675,4,0,2,2,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,5
org.apache.commons.numbers.gamma.Trigamma,69,545.6977613685874,5,0,3,3,5,1,1,1,0,0,-2.0,0,0.5,0,0,0.0,2,5,0,5,5
org.apache.commons.numbers.rootfinder.BrentSolver,246,2104.6517286107814,11,2,7,7,3,1,4,2,2,4,0.3333333333333333,1,0.5,0,0,0.0,4,3,0,3,16
org.apache.commons.numbers.combinatorics.Factorial,59,329.93805794653395,2,0,0,0,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,0,5
org.apache.commons.numbers.combinatorics.Combinations,382,3273.8841841034923,7,6,1,1,2,1,1,0,14,14,0.9,1,0.8333333333333334,0,0,0.0,6,2,0,2,19
org.apache.commons.numbers.combinatorics.LogFactorial,115,893.6048961484763,7,1,3,3,2,2,3,0,3,3,0.0,2,0.5,0,0,0.0,4,2,0,2,14
org.apache.commons.numbers.combinatorics.BinomialCoefficient,125,850.1097581910813,7,1,4,4,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,10
org.apache.commons.numbers.combinatorics.LogBinomialCoefficient,87,646.3952307566375,5,0,3,3,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6
org.apache.commons.numbers.combinatorics.BinomialCoefficientDouble,70,617.4440917026877,5,0,3,3,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6
org.apache.commons.numbers.combinatorics.FactorialDouble,134,1115.239085655394,7,0,2,2,2,2,4,0,6,6,0.3333333333333333,3,0.5,0,0,0.0,5,2,0,2,19
org.apache.commons.numbers.fraction.BigFraction,1326,7924.449599060535,177,6,120,120,3,2,974,352,622,686,0.4090909090909091,10,0.28771929824561404,0,0,0.0,57,5,2,3,212
org.apache.commons.numbers.fraction.ContinuedFraction,139,1223.779842720255,11,1,7,7,0,0,6,6,0,3,0.0,0,0.0,0,0,0.0,4,0,0,0,15
org.apache.commons.numbers.fraction.Fraction,648,4371.417594850506,70,3,36,36,4,3,407,253,154,179,0.2765151515151515,5,0.19117647058823528,0,0,0.0,34,6,2,4,114
org.apache.commons.numbers.arrays.LinearCombination,346,2292.924119951746,21,0,14,14,0,0,21,21,0,8,0.13333333333333333,0,0.0,0,0,0.0,7,0,0,0,19
org.apache.commons.numbers.arrays.SafeNorm,91,726.5583010184225,4,0,2,2,2,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,2,0,2,6
org.apache.commons.numbers.arrays.MultidimensionalCounter,214,1761.5323059281495,16,1,6,6,5,2,17,0,28,29,0.5555555555555556,1,0.38,0,0,0.0,10,5,0,5,32
org.apache.commons.numbers.arrays.CosAngle,41,267.92738085016776,3,0,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
org.apache.commons.numbers.field.FP64,172,724.7940183819234,26,2,5,5,2,2,38,0,172,172,0.8,5,0.2619047619047619,0,0,0.0,21,4,0,4,43
org.apache.commons.numbers.angle.PlaneAngleRadians,75,571.2366705258004,13,0,9,9,4,1,6,6,0,2,-0.3333333333333333,1,0.0625,0,0,0.0,4,4,4,0,8
org.apache.commons.numbers.angle.PlaneAngle,144,1072.7087764318658,13,0,3,3,6,1,24,3,21,21,0.3333333333333333,1,0.15,0,0,0.0,10,8,2,6,22
org.apache.commons.numbers.quaternion.QuaternionTest,750,2763.104552953038,248,3,199,199,2,1,1120,1064,56,76,0.024822695035460994,43,0.1326530612244898,0,0,0.0,49,2,0,2,51
org.apache.commons.numbers.quaternion.SlerpTest,390,2013.0192167641057,96,3,78,78,3,1,132,111,21,45,0.20588235294117646,7,0.16666666666666666,0,0,0.0,18,3,0,3,32
org.apache.commons.numbers.core.PrecisionTest,436,2400.195189496203,68,3,53,53,0,0,105,105,0,0,-0.15384615384615385,0,0.0,0,0,0.0,15,0,0,0,25
org.apache.commons.numbers.core.ArithmeticUtilsTest,631,2878.5569039068564,124,5,89,89,0,0,595,595,0,18,-0.0285204991087344,0,0.0,0,0,0.0,35,0,0,0,72
org.apache.commons.numbers.complex.ComplexTest,2184,9220.308761126695,774,11,640,640,21,3,8484,8057,427,487,0.04032809295967191,6,0.02914001421464108,0,0,0.0,134,21,0,21,199
org.apache.commons.numbers.primes.PrimesTest,171,726.740412258483,33,5,25,25,4,2,25,22,3,7,0.0,2,0.25,0,0,0.0,8,4,0,0,23
org.apache.commons.numbers.primes.SmallPrimesTest,146,603.5913480722094,58,6,43,43,1,1,90,75,15,15,0.01098901098901099,9,0.4,0,0,0.0,15,1,0,1,20
org.apache.commons.numbers.gamma.ErfTest,140,656.736794787227,28,2,21,21,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,10
org.apache.commons.numbers.gamma.GammaTest,554,710.2672625127775,15,2,12,12,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,8
org.apache.commons.numbers.gamma.InverseErfcTest,48,205.19132014093094,13,2,10,10,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,4
org.apache.commons.numbers.gamma.DigammaTest,71,296.4089507299303,16,2,12,12,0,0,6,6,0,1,-0.6666666666666666,0,0.0,0,0,0.0,4,0,0,0,5
org.apache.commons.numbers.gamma.LanczosApproximationTest,39,94.60474084795652,6,2,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
org.apache.commons.numbers.gamma.LogGamma1pTest,72,204.40437821757368,9,2,6,6,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,4
org.apache.commons.numbers.gamma.InverseErfTest,49,211.52161646065875,13,2,10,10,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,4
org.apache.commons.numbers.gamma.LogBetaTest,702,707.0560669066813,59,4,42,42,3,1,136,136,0,16,0.0,8,0.058823529411764705,0,0,0.0,17,3,0,3,29
org.apache.commons.numbers.gamma.ErfDifferenceTest,43,249.40780553930944,3,2,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.apache.commons.numbers.gamma.InvGamma1pm1Test,93,455.50117646649693,9,2,6,6,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,4
org.apache.commons.numbers.gamma.LogGammaSumTest,174,575.9036780165187,14,2,9,9,1,1,10,10,0,0,-0.6666666666666666,4,0.2,0,0,0.0,5,1,0,1,6
org.apache.commons.numbers.gamma.LogGammaTest,230,638.3340889122163,24,2,16,16,1,1,28,28,0,8,0.047619047619047616,7,0.125,0,0,0.0,8,1,0,1,11
org.apache.commons.numbers.gamma.RegularizedBetaTest,103,335.79822493667405,29,2,16,16,0,0,78,78,0,10,-0.030303030303030304,0,0.0,0,0,0.0,13,0,0,0,14
org.apache.commons.numbers.gamma.ErfcTest,85,409.9171183522607,7,2,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4
org.apache.commons.numbers.gamma.TrigammaTest,58,163.55447354175845,9,2,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3
org.apache.commons.numbers.rootfinder.BrentSolverTest,270,830.1256952566158,39,3,32,32,3,1,0,0,21,21,1.0,0,1.0,0,0,0.0,7,3,0,3,10
org.apache.commons.numbers.combinatorics.FactorialTest,62,246.65037725452538,12,2,7,7,0,0,10,10,0,1,-0.5,0,0.0,0,0,0.0,5,0,0,0,8
org.apache.commons.numbers.combinatorics.CombinationsTest,195,941.0818279188964,63,4,49,49,0,0,91,91,0,1,-0.15384615384615385,0,0.0,0,0,0.0,14,0,0,0,17
org.apache.commons.numbers.combinatorics.LogFactorialTest,120,473.5615407796757,40,3,31,31,0,0,36,36,0,4,-0.14285714285714285,0,0.0,0,0,0.0,9,0,0,0,14
org.apache.commons.numbers.combinatorics.BinomialCoefficientTest,208,1256.789424400045,37,6,25,25,1,1,66,66,0,2,-0.16363636363636364,11,0.08333333333333333,0,0,0.0,12,1,0,1,22
org.apache.commons.numbers.combinatorics.LogBinomialCoefficientTest,105,693.8923188680029,17,2,12,12,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,12
