class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.pool2.ObjectPool,204,2024.9793581365711,10,2,1,1,0,0,36,36,0,1,-0.25,0,0.0,0,0,0.0,9,0,0,0,31
org.apache.commons.pool2.KeyedObjectPool,294,2798.197012046154,18,4,5,5,0,0,78,78,0,2,-0.15151515151515152,0,0.0,0,0,0.0,13,0,0,0,50
org.apache.commons.pool2.PoolUtils,1845,7807.239881464195,34,11,16,16,6,1,142,131,11,24,0.051470588235294115,3,0.12962962962962962,0,0,0.0,18,6,0,4,67
org.apache.commons.pool2.BaseObjectPool,127,818.2833017878055,13,0,2,2,1,1,52,49,3,4,-0.13333333333333333,8,0.2727272727272727,0,0,0.0,11,1,0,1,24
org.apache.commons.pool2.impl.BaseGenericObjectPool,1442,10735.709490556426,145,24,80,80,36,13,1998,1916,82,122,0.028769841269841268,1,0.0405982905982906,0,0,0.0,65,36,1,27,214
org.apache.commons.pool2.impl.DefaultPooledObjectInfo,110,530.7886225480237,34,4,22,22,1,1,0,0,66,66,1.0,0,1.0,0,0,0.0,12,1,0,1,27
org.apache.commons.pool2.impl.EvictionConfig,115,775.9319827980976,7,0,2,2,3,2,3,0,7,7,0.5,1,0.6,0,0,0.0,5,3,0,3,14
org.apache.commons.pool2.impl.LinkedBlockingDeque,1412,7645.983238921148,200,9,139,139,8,5,1279,728,551,596,0.30282485875706217,7,0.17827868852459017,0,0,0.0,61,8,0,8,208
org.apache.commons.pool2.impl.EvictionTimer,221,2163.103348225046,25,9,19,19,2,2,9,3,6,6,0.1,3,0.5833333333333334,0,0,0.0,6,2,0,2,17
org.apache.commons.pool2.impl.DefaultPooledObject,300,2113.5499119596816,43,5,20,20,10,5,190,127,63,64,0.18181818181818182,2,0.15217391304347827,0,0,0.0,23,10,0,10,51
org.apache.commons.pool2.impl.PoolImplUtils,156,1083.732855382976,22,4,18,18,0,0,6,6,0,4,0.3333333333333333,0,0.0,0,0,0.0,4,0,0,0,17
org.apache.commons.pool2.impl.PooledSoftReference,98,743.2136011828088,10,1,5,5,1,1,4,0,6,7,0.5,1,0.8,0,0,0.0,5,1,0,1,11
org.apache.commons.pool2.impl.SoftReferenceObjectPool,456,3709.8507954492206,78,10,63,63,7,6,47,0,58,62,0.5274725274725275,1,0.34285714285714286,0,0,0.0,15,7,0,7,53
org.apache.commons.pool2.TestObjectPool,438,1747.6233700971036,109,10,97,97,2,1,65,64,1,25,0.2545454545454545,10,0.16666666666666666,0,0,0.0,12,2,0,2,48
org.apache.commons.pool2.TestKeyedObjectPool,802,3516.4525738094444,169,9,145,145,4,3,227,178,49,106,0.32806324110671936,6,0.19791666666666666,0,0,0.0,24,4,0,3,85
org.apache.commons.pool2.TestPoolUtils,887,3754.2468464822937,195,23,167,167,3,1,375,372,3,52,0.07122507122507123,12,0.10714285714285714,0,0,0.0,28,3,0,3,98
org.apache.commons.pool2.TestBaseObjectPool,294,1069.0339221656202,83,4,69,69,1,1,70,49,21,41,0.358974358974359,7,0.5,0,0,0.0,14,1,0,1,53
org.apache.commons.pool2.impl.TestBaseGenericObjectPool,106,425.9249238054315,30,6,24,24,2,2,1,0,14,14,0.9,1,0.8333333333333334,0,0,0.0,6,2,0,0,13
org.apache.commons.pool2.impl.TestDefaultPooledObjectInfo,128,409.92293937568746,47,5,43,43,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,10
org.apache.commons.pool2.impl.TestEvictionConfig,43,107.70256925723541,5,2,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
org.apache.commons.pool2.impl.TestLinkedBlockingDeque,510,1653.3597369175443,236,13,195,195,4,2,0,0,820,820,1.0,3,0.7378048780487805,0,0,0.0,41,4,0,3,78
org.apache.commons.pool2.impl.TestEvictionTimer,112,372.5994952444537,17,13,14,14,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,8
org.apache.commons.pool2.impl.TestDefaultPooledObject,80,315.80633172036426,9,8,8,8,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4
org.apache.commons.pool2.impl.TestPoolImplUtils,83,257.36139797428484,6,4,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
org.apache.commons.pool2.impl.TestPooledSoftReference,65,222.6013270745413,11,4,8,8,3,2,0,0,3,3,1.0,0,0.6666666666666666,0,0,0.0,3,3,0,2,4
org.apache.commons.pool2.impl.TestSoftReferenceObjectPool,66,231.9202748571425,6,5,1,1,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,12
