class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.text.StrLookup,213,1645.748668350398,5,4,0,0,2,1,10,10,0,0,-0.6666666666666666,4,0.2,0,0,0.0,5,2,0,2,10
org.apache.commons.text.StringTokenizer,1175,6901.849023248867,144,8,80,80,9,5,1906,1796,110,170,0.05478750640040963,6,0.05965909090909091,0,0,0.0,64,11,0,11,187
org.apache.commons.text.WordUtils,923,6535.911805689715,88,7,70,70,0,0,153,153,0,12,-0.03676470588235294,0,0.0,0,0,0.0,18,0,0,0,80
org.apache.commons.text.ExtendedMessageFormat,575,4111.23095732337,90,12,69,69,9,5,184,158,26,39,0.1,2,0.13756613756613756,0,0,0.0,21,9,0,9,82
org.apache.commons.text.StrSubstitutor,1275,7836.387266958308,182,7,125,125,12,4,1550,1504,46,205,0.09675324675324676,4,0.05701754385964912,0,0,0.0,57,12,4,8,174
org.apache.commons.text.RandomStringGenerator,468,3847.572372072072,23,9,18,18,5,4,5,0,5,9,0.8333333333333334,0,0.48,0,0,0.0,5,5,0,5,22
org.apache.commons.text.FormattableUtils,158,1409.2620528805078,15,4,9,9,1,1,15,15,0,7,0.2,5,0.16666666666666666,0,0,0.0,6,1,0,1,21
org.apache.commons.text.TextStringBuilder,3120,15933.4923660682,455,12,290,290,11,5,10268,7006,3262,4418,0.31827023791710307,15,0.08925619834710743,0,0,0.0,165,11,0,10,560
org.apache.commons.text.StrBuilder,3065,14673.677741284502,427,10,278,278,6,4,7844,4662,3182,4163,0.36909358337929765,24,0.16778523489932887,0,0,0.0,149,6,0,4,521
org.apache.commons.text.StrTokenizer,1129,6869.579289158773,144,6,80,80,9,5,1906,1796,110,170,0.05478750640040963,6,0.05965909090909091,0,0,0.0,64,11,0,11,187
org.apache.commons.text.StringSubstitutor,1467,9197.688108651591,202,12,141,141,16,5,1753,1676,77,235,0.09887005649717515,3,0.05327868852459016,0,0,0.0,61,16,7,9,211
org.apache.commons.text.StringEscapeUtils,869,6385.275632121183,36,17,17,17,17,1,171,171,0,0,-0.11764705882352941,1,0.05263157894736842,0,0,0.0,19,17,17,0,64
org.apache.commons.text.CaseUtils,131,1666.7391981073017,14,4,11,11,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,12
org.apache.commons.text.AlphabetConverter,523,3721.6900312818516,67,14,53,53,4,4,39,0,52,60,0.6025641025641025,2,0.4642857142857143,0,0,0.0,14,4,0,4,59
org.apache.commons.text.StrMatcher,451,2726.453995669147,22,3,6,6,0,0,114,108,6,7,-0.0761904761904762,1,0.08333333333333333,0,0,0.0,16,9,0,9,49
org.apache.commons.text.CompositeFormat,116,915.9973883338195,10,4,4,4,3,2,9,3,6,8,0.3,2,0.3333333333333333,0,0,0.0,6,3,0,3,16
org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemover,41,223.48335836836793,1,2,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.apache.commons.text.translate.NumericEntityEscaper,112,812.8251561538563,13,3,6,6,2,2,18,15,3,5,-0.06666666666666667,5,0.35714285714285715,0,0,0.0,7,2,0,2,21
org.apache.commons.text.translate.LookupTranslator,101,929.0626369003197,16,6,14,14,4,3,0,0,1,1,0.0,0,1.0,0,0,0.0,2,4,0,4,9
org.apache.commons.text.translate.CodePointTranslator,51,460.696148005454,4,2,2,2,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,7
org.apache.commons.text.translate.UnicodeEscaper,140,1032.327832709956,13,2,5,5,3,2,21,14,7,10,0.14285714285714285,2,0.375,0,0,0.0,8,3,0,3,26
org.apache.commons.text.translate.EntityArrays,442,2929.9190909747417,5,3,4,4,10,1,0,0,0,0,1.0,0,0.0,0,0,0.0,1,10,10,0,3
org.apache.commons.text.translate.OctalUnescaper,79,816.3041829450801,11,2,8,8,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,13
org.apache.commons.text.translate.JavaUnicodeEscaper,113,747.9920350858988,10,0,4,4,0,0,15,15,0,2,-0.3,0,0.0,0,0,0.0,6,0,0,0,18
org.apache.commons.text.translate.AggregateTranslator,68,506.86372696977395,4,4,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,8
org.apache.commons.text.translate.SinglePassTranslator,58,605.7054816107637,11,2,8,8,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,9
org.apache.commons.text.translate.NumericEntityUnescaper,154,1350.6963413685567,14,4,11,11,2,2,0,0,3,3,1.0,1,0.8333333333333334,0,0,0.0,3,2,1,1,15
org.apache.commons.text.translate.UnicodeUnescaper,65,609.7726997155171,7,2,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,7
org.apache.commons.text.lookup.FileStringLookup,92,672.3761954656441,8,4,6,6,1,1,1,1,0,0,-2.0,2,0.0,0,0,0.0,2,1,0,0,8
org.apache.commons.text.lookup.ConstantStringLookup,152,1731.2961638275747,15,4,11,11,2,2,5,4,1,3,0.0,1,0.25,0,0,0.0,4,3,0,2,14
org.apache.commons.text.lookup.InterpolatorStringLookup,154,1397.4542137410087,22,4,14,14,4,4,18,8,10,12,0.23809523809523808,2,0.34375,0,0,0.0,8,4,0,3,17
org.apache.commons.text.lookup.UrlEncoderStringLookup,62,351.6716364592394,7,3,4,4,0,0,3,3,0,1,-1.0,3,0.0,0,0,0.0,3,1,0,0,10
org.apache.commons.text.lookup.DnsStringLookup,105,788.1134482942922,8,3,6,6,0,0,1,1,0,0,-2.0,2,0.0,0,0,0.0,2,1,0,0,7
org.apache.commons.text.lookup.ScriptStringLookup,93,701.9745625641117,7,4,5,5,0,0,1,1,0,0,-2.0,2,0.0,0,0,0.0,2,1,0,0,8
org.apache.commons.text.lookup.DateStringLookup,94,688.0009532277295,7,5,4,4,0,0,3,3,0,1,-1.0,3,0.0,0,0,0.0,3,1,0,0,11
org.apache.commons.text.lookup.PropertiesStringLookup,102,763.0085987073907,12,5,9,9,1,1,2,1,1,1,-1.0,2,0.3333333333333333,0,0,0.0,3,2,0,0,11
org.apache.commons.text.lookup.JavaPlatformStringLookup,216,1759.4304472196864,30,3,20,20,6,1,44,43,1,20,0.3055555555555556,1,0.18571428571428572,0,0,0.0,10,7,0,6,31
org.apache.commons.text.lookup.XmlStringLookup,84,586.4283647975931,10,6,8,8,0,0,1,1,0,0,-2.0,2,0.0,0,0,0.0,2,1,0,0,8
org.apache.commons.text.lookup.BiFunctionStringLookup,105,792.470484172961,10,3,4,4,1,1,9,3,6,8,0.3,2,0.6666666666666666,0,0,0.0,6,1,0,1,13
org.apache.commons.text.lookup.LocalHostStringLookup,75,543.4433692165372,6,2,4,4,0,0,1,1,0,0,-2.0,2,0.0,0,0,0.0,2,1,0,0,8
org.apache.commons.text.lookup.FunctionStringLookup,99,752.3501800677938,8,3,3,3,1,1,4,0,6,7,0.5,1,0.8,0,0,0.0,5,1,0,1,11
org.apache.commons.text.lookup.ResourceBundleStringLookup,120,988.2516702272504,12,2,6,6,1,1,12,9,3,5,0.0,5,0.25,0,0,0.0,6,2,0,1,17
org.apache.commons.text.lookup.UrlStringLookup,93,718.7111610949061,9,5,7,7,0,0,1,1,0,0,-2.0,2,0.0,0,0,0.0,2,1,0,0,9
org.apache.commons.text.lookup.BiStringLookup,75,897.0560504649709,2,2,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.apache.commons.text.lookup.StringLookupFactory,1138,5447.040336396674,39,6,9,9,22,2,341,247,94,94,0.16009852216748768,1,0.030434782608695653,0,0,0.0,30,23,18,0,76
org.apache.commons.text.lookup.AbstractStringLookup,92,511.6959757458345,9,1,4,4,2,2,10,10,0,2,-0.3333333333333333,5,0.1,0,0,0.0,5,2,0,0,12
org.apache.commons.text.lookup.UrlDecoderStringLookup,63,351.6716364592394,7,4,4,4,0,0,3,3,0,1,-1.0,3,0.0,0,0,0.0,3,1,0,0,10
org.apache.commons.text.matcher.StringMatcherFactory,258,1332.185057185605,25,2,9,9,9,4,105,90,15,15,0.0,1,0.0875,0,0,0.0,16,10,1,9,47
org.apache.commons.text.similarity.LevenshteinDetailedDistance,519,3601.2256437107526,22,1,14,14,1,1,22,16,6,9,0.09523809523809523,6,0.3125,0,0,0.0,8,2,0,2,34
org.apache.commons.text.similarity.LevenshteinResults,125,764.3613382410217,11,1,3,3,4,1,6,0,22,22,0.7142857142857143,1,0.625,0,0,0.0,8,4,0,4,18
org.apache.commons.text.similarity.HammingDistance,78,887.3559129481472,3,0,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.apache.commons.text.similarity.IntersectionResult,118,875.7873417061445,10,1,3,3,3,1,3,0,18,18,0.8,1,0.7142857142857143,0,0,0.0,7,3,0,3,18
org.apache.commons.text.similarity.LongestCommonSubsequence,173,1884.7230013205954,17,0,13,13,0,0,6,6,0,3,0.0,0,0.0,0,0,0.0,4,0,0,0,21
org.apache.commons.text.similarity.CosineDistance,57,473.47354462688116,4,1,3,3,2,2,0,0,0,0,1.0,0,1.0,0,0,0.0,1,2,0,2,2
org.apache.commons.text.similarity.LevenshteinDistance,395,2773.6383754992394,17,1,10,10,1,1,15,9,6,7,0.06666666666666667,5,0.35714285714285715,0,0,0.0,7,2,0,2,26
org.apache.commons.text.similarity.SimilarityScoreFrom,112,1013.8372874935543,6,1,2,2,2,2,1,0,5,5,0.6666666666666666,1,0.75,0,0,0.0,4,2,0,2,7
org.apache.commons.text.similarity.IntersectionSimilarity,237,2236.093720286675,19,6,14,14,1,1,9,8,1,4,0.0,3,0.4,0,0,0.0,5,1,0,1,20
org.apache.commons.text.similarity.LongestCommonSubsequenceDistance,64,709.8925646002753,3,0,2,2,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,4
org.apache.commons.text.similarity.JaccardDistance,55,517.5203619197291,3,0,2,2,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,4
org.apache.commons.text.similarity.JaroWinklerSimilarity,163,1975.2667300199132,10,2,8,8,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,11
org.apache.commons.text.similarity.FuzzyScore,145,1368.7729405552695,7,1,4,4,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,13
org.apache.commons.text.similarity.JaccardSimilarity,83,799.3690709775768,8,2,6,6,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,8
org.apache.commons.text.similarity.JaroWinklerDistance,156,1837.5051691198223,9,1,7,7,1,1,1,1,0,1,0.0,2,0.0,0,0,0.0,2,1,1,0,11
org.apache.commons.text.similarity.CosineSimilarity,102,907.3307910018318,11,3,8,8,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,12
org.apache.commons.text.diff.ReplacementsFinder,126,1185.3669319491719,9,2,5,5,4,3,1,0,5,5,0.6666666666666666,0,0.625,0,0,0.0,4,4,0,4,7
org.apache.commons.text.diff.StringsComparator,331,3099.626966318584,18,0,13,13,4,2,0,0,10,10,1.0,0,0.7,0,0,0.0,5,4,0,4,25
org.apache.commons.text.StrLookupTest,134,674.4639542783464,45,8,37,37,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,10
org.apache.commons.text.StringTokenizerTest,942,3506.064119145671,458,13,389,389,2,1,2345,2344,1,9,-0.025899912203687446,68,0.021739130434782608,0,0,0.0,69,2,0,2,85
org.apache.commons.text.WordUtilsTest,565,3338.8657159042987,144,7,112,112,0,0,496,496,0,0,-0.06666666666666667,0,0.0,0,0,0.0,32,0,0,0,34
org.apache.commons.text.ExtendedMessageFormatTest,579,3587.0732337174795,115,20,89,89,1,1,304,283,21,39,0.04666666666666667,19,0.2692307692307692,0,0,0.0,26,1,0,1,51
org.apache.commons.text.StrSubstitutorTest,799,4209.241121328924,220,14,165,165,1,1,1407,1329,78,108,0.03773584905660377,42,0.23636363636363636,0,0,0.0,55,1,0,1,65
org.apache.commons.text.RandomStringGeneratorTest,285,1149.8801148958146,127,5,106,106,2,1,207,204,3,5,-0.07894736842105263,19,0.11904761904761904,0,0,0.0,21,2,0,2,41
org.apache.commons.text.FormattableUtilsTest,177,751.4096373960158,36,7,27,27,0,0,36,36,0,4,-0.14285714285714285,0,0.0,0,0,0.0,9,0,0,0,11
org.apache.commons.text.TextStringBuilderTest,2280,10515.656570336605,631,25,511,511,1,1,7095,7050,45,166,0.006694203104970802,110,0.08333333333333333,0,0,0.0,120,1,0,0,153
org.apache.commons.text.StrBuilderTest,2071,9491.308810695047,518,20,418,418,1,1,4905,4860,45,45,-0.011131725417439703,90,0.1,0,0,0.0,100,1,0,0,128
org.apache.commons.text.StrTokenizerTest,936,3561.5021679038587,456,11,387,387,2,1,2345,2344,1,9,-0.025899912203687446,68,0.021739130434782608,0,0,0.0,69,2,0,2,85
org.apache.commons.text.StringSubstitutorTest,1067,5587.927159150045,293,23,210,210,6,2,3051,2699,352,447,0.10990665462210178,15,0.0963855421686747,0,0,0.0,83,6,0,5,158
org.apache.commons.text.StringEscapeUtilsTest,651,4107.22872660176,172,18,132,132,2,2,774,768,6,14,-0.033738191632928474,38,0.0625,0,0,0.0,40,2,0,2,69
org.apache.commons.text.CaseUtilsTest,78,383.60708415284984,15,4,13,13,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4
org.apache.commons.text.AlphabetConverterTest,316,1498.7159207190452,111,9,89,89,10,2,228,225,3,7,-0.06666666666666667,2,0.07272727272727272,0,0,0.0,22,10,0,10,33
org.apache.commons.text.StrMatcherTest,215,727.3339692065732,88,2,74,74,2,1,45,0,46,46,0.4230769230769231,7,0.5,0,0,0.0,14,2,0,2,14
org.apache.commons.text.CompositeFormatTest,87,488.8869661495984,15,7,9,9,2,1,15,15,0,8,0.3,6,0.08333333333333333,0,0,0.0,6,2,0,2,17
org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest,46,142.95954905929284,12,4,10,10,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,0,4
org.apache.commons.text.translate.NumericEntityEscaperTest,68,250.48740162947064,23,2,19,19,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4
org.apache.commons.text.translate.LookupTranslatorTest,64,229.1342741904541,17,8,14,14,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,5
