class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.validator.CreditCardValidator,260,2387.9271521761184,14,3,9,9,6,2,6,2,4,5,0.16666666666666666,0,0.36666666666666664,0,0,0.0,5,6,5,1,13
org.apache.commons.validator.Field,957,6652.077312521687,196,14,147,147,18,7,1055,934,121,156,0.09574468085106383,2,0.07142857142857142,0,0,0.0,49,18,1,3,158
org.apache.commons.validator.GenericValidator,435,2210.4356206394345,58,7,26,26,3,3,496,496,0,2,-0.06236559139784946,16,0.020833333333333332,0,0,0.0,32,3,0,3,134
org.apache.commons.validator.Var,218,1217.9455841172794,17,1,3,3,9,3,69,47,22,23,0.1282051282051282,1,0.14285714285714285,0,0,0.0,14,9,3,6,26
org.apache.commons.validator.ISBNValidator,56,502.4422077081488,4,0,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
org.apache.commons.validator.GenericTypeValidator,472,1987.6597776513327,91,10,76,76,2,2,104,103,1,1,-0.14285714285714285,14,0.06666666666666667,0,0,0.0,15,2,0,2,82
org.apache.commons.validator.ValidatorResources,662,5029.881845338351,151,16,124,124,10,6,336,321,15,45,0.05846153846153846,2,0.05555555555555555,0,0,0.0,27,10,0,5,88
org.apache.commons.validator.Validator,391,2855.4346814791097,30,4,12,12,16,7,117,81,36,36,0.13970588235294118,1,0.1111111111111111,0,0,0.0,18,16,7,1,46
org.apache.commons.validator.ValidatorResults,152,1145.503407923881,27,6,19,19,2,2,7,0,21,22,0.7142857142857143,5,0.4375,0,0,0.0,8,2,0,1,21
org.apache.commons.validator.CreditCardValidator,260,2387.9271521761184,14,3,9,9,6,2,6,2,4,5,0.16666666666666666,0,0.36666666666666664,0,0,0.0,5,6,5,1,13
org.apache.commons.validator.routines.ISSNValidator,204,2020.9705124585994,24,4,18,18,8,4,13,11,2,5,0.0,0,0.12962962962962962,0,0,0.0,6,9,0,9,24
org.apache.commons.validator.routines.TimeValidator,285,2142.2684923473116,29,5,13,13,1,1,120,120,0,3,-0.11428571428571428,16,0.03125,0,0,0.0,16,2,0,2,53
org.apache.commons.validator.routines.ByteValidator,258,1833.707472800404,26,2,12,12,1,1,91,91,0,3,-0.1282051282051282,14,0.03571428571428571,0,0,0.0,14,2,0,2,50
org.apache.commons.validator.UrlValidator,468,3817.7276000578017,43,8,32,32,32,7,45,35,10,16,0.13333333333333333,0,0.08522727272727272,0,0,0.0,11,32,3,28,37
org.apache.commons.validator.routines.CalendarValidator,338,2384.0254623383994,38,5,19,19,1,1,171,171,0,1,-0.1111111111111111,19,0.02631578947368421,0,0,0.0,19,2,0,2,62
org.apache.commons.validator.DateValidator,133,1077.5324036212749,11,4,7,7,0,0,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,1,0,1,16
org.apache.commons.validator.routines.BigDecimalValidator,240,1907.2268726541552,24,4,12,12,1,1,66,66,0,0,-0.2,12,0.041666666666666664,0,0,0.0,12,2,0,2,41
org.apache.commons.validator.routines.AbstractCalendarValidator,427,2819.100302381459,46,7,29,29,3,2,135,134,1,26,0.08333333333333333,8,0.0784313725490196,0,0,0.0,17,3,0,3,73
org.apache.commons.validator.EmailValidator,224,1946.573451878723,31,3,23,23,10,2,27,26,1,5,-0.09523809523809523,0,0.07954545454545454,0,0,0.0,8,11,0,11,29
org.apache.commons.validator.routines.DomainValidator,2311,4742.182424414855,64,5,44,44,28,7,141,92,49,68,0.28654970760233917,0,0.14107142857142857,0,0,0.0,20,28,1,21,89
org.apache.commons.validator.routines.ShortValidator,255,1836.2051044123664,26,2,12,12,1,1,91,91,0,3,-0.1282051282051282,14,0.03571428571428571,0,0,0.0,14,2,0,2,49
org.apache.commons.validator.routines.IntegerValidator,257,1826.6547517511717,26,2,12,12,1,1,91,91,0,3,-0.1282051282051282,14,0.03571428571428571,0,0,0.0,14,2,0,2,50
org.apache.commons.validator.routines.DoubleValidator,252,1790.6039878834008,26,2,12,12,1,1,91,91,0,3,-0.1282051282051282,14,0.03571428571428571,0,0,0.0,14,2,0,2,49
org.apache.commons.validator.routines.IBANValidator,299,2267.3449201301914,23,4,13,13,2,2,36,27,9,12,0.08333333333333333,3,0.3,0,0,0.0,10,3,1,2,33
org.apache.commons.validator.routines.CurrencyValidator,118,1326.9156284433468,11,2,7,7,2,2,6,6,0,0,-1.0,2,0.16666666666666666,0,0,0.0,4,3,0,3,9
org.apache.commons.validator.routines.InetAddressValidator,218,1457.7532375915268,26,4,22,22,8,4,6,6,0,3,0.0,0,0.19444444444444445,0,0,0.0,4,9,0,9,18
org.apache.commons.validator.ISBNValidator,56,502.4422077081488,4,0,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
org.apache.commons.validator.routines.FloatValidator,270,1889.2638504662839,26,2,12,12,1,1,91,91,0,3,-0.1282051282051282,14,0.03571428571428571,0,0,0.0,14,2,0,2,50
org.apache.commons.validator.routines.ISINValidator,124,1020.2405292533956,12,4,7,7,6,5,4,0,6,8,0.6666666666666666,0,0.25,0,0,0.0,5,8,0,8,14
org.apache.commons.validator.routines.AbstractNumberValidator,277,2095.777808029931,40,5,28,28,6,3,59,52,7,18,0.12727272727272726,2,0.125,0,0,0.0,12,6,3,3,52
org.apache.commons.validator.routines.PercentValidator,127,1405.3740222333515,12,3,8,8,3,3,6,6,0,0,-1.0,1,0.1875,0,0,0.0,4,4,0,4,9
org.apache.commons.validator.routines.CodeValidator,283,2360.5070395293683,18,2,6,6,5,4,27,0,39,40,0.5272727272727272,2,0.36666666666666664,0,0,0.0,12,5,0,5,43
org.apache.commons.validator.routines.LongValidator,252,1779.7005876166083,24,2,10,10,1,1,91,91,0,3,-0.1282051282051282,14,0.03571428571428571,0,0,0.0,14,2,0,2,49
org.apache.commons.validator.routines.BigIntegerValidator,211,1681.0134706939955,20,3,9,9,1,1,55,55,0,0,-0.2222222222222222,11,0.045454545454545456,0,0,0.0,11,2,0,2,37
org.apache.commons.validator.routines.RegexValidator,230,1740.3444812276655,25,3,17,17,2,2,18,8,10,10,0.14285714285714285,6,0.3125,0,0,0.0,8,2,0,2,30
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,129,1111.656108619037,11,1,8,8,5,4,3,3,0,2,0.0,0,0.2,0,0,0.0,3,5,1,4,15
org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,85,872.0959139409357,4,0,0,0,2,2,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,2,1,1,13
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,115,1288.0732874907733,4,0,0,0,2,2,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,2,1,1,15
org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit,85,998.7497234108511,2,0,0,0,3,3,1,1,0,0,-2.0,1,0.16666666666666666,0,0,0.0,2,3,1,2,5
