class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
dagger.internal.SetBinding,145,1238.9180142361522,34,5,24,24,2,2,17,0,28,30,0.5833333333333334,3,0.7,0,0,0.0,10,2,0,2,28
dagger.internal.ProblemDetector,105,828.654032527938,28,5,24,24,0,0,6,6,0,4,0.3333333333333333,0,0.0,0,0,0.0,4,0,0,0,11
dagger.internal.Keys,274,2819.4957915854925,66,9,48,48,5,2,153,153,0,17,0.0,4,0.05555555555555555,0,0,0.0,18,5,0,5,67
dagger.internal.FailoverLoader,85,688.5334939732113,21,5,17,17,1,1,6,6,0,2,-0.3333333333333333,3,0.25,0,0,0.0,4,1,0,1,16
dagger.internal.codegen.GraphAnalysisLoader,144,1334.6803147625637,23,9,15,15,1,1,27,26,1,8,0.047619047619047616,6,0.25,0,0,0.0,8,1,0,1,22
dagger.internal.codegen.GraphVisualizer,139,982.5388706825638,25,11,22,22,1,1,3,3,0,2,0.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,13
dagger.SetBindingTest,339,1402.0115442493777,55,22,41,41,0,0,91,91,0,13,0.0,0,0.0,0,0,0.0,14,0,0,0,30
dagger.ProblemDetectorTest,90,285.68664027546845,11,6,8,8,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,7
dagger.internal.KeysTest,153,590.6485271732455,98,14,77,77,20,9,210,210,0,16,-0.021052631578947368,1,0.002380952380952381,0,0,0.0,21,20,0,0,46
dagger.internal.FailoverLoaderTest,57,376.1057516687408,5,8,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
dagger.internal.codegen.GraphAnalysisLoaderTest,103,173.23885540359615,20,16,18,18,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,6
dagger.internal.codegen.GraphVisualizerTest,84,311.4087648946005,40,9,32,32,7,5,7,0,21,27,0.9523809523809523,1,0.125,0,0,0.0,8,7,0,1,17
