class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.google.errorprone.bugpatterns.UndefinedEquals,173,640.2091223387598,32,30,29,29,2,2,3,3,0,1,-1.0,2,0.3333333333333333,0,0,0.0,3,2,0,2,11
com.google.errorprone.bugpatterns.ProtoRedundantSet,267,1257.1668015285297,68,24,60,60,3,2,28,28,0,11,0.19047619047619047,3,0.125,0,0,0.0,8,3,0,2,28
com.google.errorprone.bugpatterns.SizeGreaterThanOrEqualsZero,295,1391.6107273422951,75,31,66,66,10,4,25,14,11,13,0.17857142857142858,0,0.17777777777777778,0,0,0.0,9,10,0,10,32
com.google.errorprone.bugpatterns.ProtoFieldNullComparison,552,2616.35769568899,128,50,105,105,18,7,252,251,1,10,-0.05194805194805195,1,0.026570048309178744,0,0,0.0,23,18,0,18,53
com.google.errorprone.bugpatterns.ProtoTruthMixedDescriptors,142,680.1812163693792,31,24,28,28,4,2,3,3,0,1,-1.0,0,0.3333333333333333,0,0,0.0,3,4,0,4,11
com.google.errorprone.bugpatterns.time.ProtoTimestampGetSecondsGetNano,62,417.46431716438406,4,11,3,3,2,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,2,0,2,3
com.google.errorprone.bugpatterns.time.ProtoDurationGetSecondsGetNano,62,411.91610431157227,4,11,3,3,2,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,2,0,2,3
com.google.errorprone.refaster.UWildcard,82,407.0077068185907,21,11,15,15,1,1,14,13,1,6,0.1,4,0.3333333333333333,0,0,0.0,6,1,0,1,12
com.google.errorprone.refaster.Choice,301,1712.6268125252432,129,12,89,89,1,1,780,780,0,139,0.1349527665317139,39,0.025,0,0,0.0,40,1,0,1,106
com.google.errorprone.refaster.UAssignOp,89,365.1510710516712,23,8,16,16,1,1,20,19,1,8,0.13333333333333333,5,0.2857142857142857,0,0,0.0,7,1,0,1,13
com.google.errorprone.refaster.UTypeParameter,83,367.22196826164776,27,8,18,18,0,0,36,36,0,7,-0.03571428571428571,0,0.0,0,0,0.0,9,0,0,0,17
com.google.errorprone.refaster.UPrimitiveTypeTree,75,357.54306497015386,16,6,9,9,0,0,21,21,0,4,-0.13333333333333333,0,0.0,0,0,0.0,7,10,10,0,14
com.google.errorprone.refaster.UEnhancedForLoop,74,317.3821249681141,21,5,13,13,0,0,28,28,0,7,0.0,0,0.0,0,0,0.0,8,0,0,0,15
com.google.errorprone.refaster.UReturn,62,269.9633115584862,13,6,7,7,0,0,15,15,0,3,-0.2,0,0.0,0,0,0.0,6,0,0,0,13
com.google.errorprone.refaster.RefasterRule,157,950.1669946547628,42,22,29,29,1,1,78,78,0,7,-0.07575757575757576,12,0.07692307692307693,0,0,0.0,13,1,0,0,29
com.google.errorprone.refaster.UVariableDecl,138,956.1807098108055,50,14,35,35,0,0,105,105,0,21,0.07692307692307693,0,0.0,0,0,0.0,15,0,0,0,38
com.google.errorprone.refaster.ULocalVarIdent,66,420.7190487842792,20,6,15,15,0,0,10,10,0,4,0.0,0,0.0,0,0,0.0,5,0,0,0,13
com.google.errorprone.refaster.UBreak,117,626.9545766429807,31,10,19,19,1,1,51,36,15,21,0.18181818181818182,6,0.5,0,0,0.0,12,1,0,1,31
com.google.errorprone.refaster.UIntersectionType,66,305.67790662693585,17,7,10,10,0,0,21,21,0,4,-0.13333333333333333,0,0.0,0,0,0.0,7,0,0,0,15
com.google.errorprone.refaster.USynchronized,66,292.5432232814012,18,5,11,11,0,0,21,21,0,5,-0.06666666666666667,0,0.0,0,0,0.0,7,0,0,0,14
com.google.errorprone.refaster.UTypeVar,153,837.2377451841295,28,8,13,13,3,2,53,1,52,52,0.4175824175824176,4,0.4444444444444444,0,0,0.0,15,3,0,3,32
com.google.errorprone.refaster.USkip,61,293.04528372872863,11,3,4,4,0,0,21,21,0,1,-0.3333333333333333,6,0.14285714285714285,0,0,0.0,7,1,1,0,14
com.google.errorprone.refaster.UTypeCast,64,282.4620128241407,18,5,11,11,0,0,21,21,0,5,-0.06666666666666667,0,0.0,0,0,0.0,7,0,0,0,14
com.google.errorprone.refaster.UInstanceOf,87,299.3554517127427,21,7,14,14,0,0,21,21,0,5,-0.06666666666666667,0,0.0,0,0,0.0,7,0,0,0,14
com.google.errorprone.refaster.UMethodType,64,301.6119797952689,17,7,11,11,0,0,15,15,0,4,-0.1,0,0.0,0,0,0.0,6,0,0,0,12
com.google.errorprone.refaster.UExpressionStatement,60,279.43570845527523,13,5,7,7,0,0,15,15,0,3,-0.2,0,0.0,0,0,0.0,6,0,0,0,13
com.google.errorprone.refaster.UContinue,69,388.9675297436734,19,5,12,12,0,0,21,21,0,5,-0.06666666666666667,0,0.0,0,0,0.0,7,0,0,0,16
com.google.errorprone.refaster.UPrimitiveType,95,540.5376714810827,14,6,9,9,1,1,10,10,0,3,-0.16666666666666666,0,0.2,0,0,0.0,5,11,10,1,12
com.google.errorprone.refaster.Bindings,146,889.0251989618789,26,10,13,13,1,1,72,66,6,13,0.015151515151515152,9,0.3076923076923077,0,0,0.0,13,1,0,1,23
com.google.errorprone.refaster.UUnionType,66,300.33959936043266,17,7,10,10,0,0,21,21,0,4,-0.13333333333333333,0,0.0,0,0,0.0,7,0,0,0,15
com.google.errorprone.refaster.UThrow,59,279.43570845527523,13,5,7,7,0,0,15,15,0,3,-0.2,0,0.0,0,0,0.0,6,0,0,0,14
com.google.errorprone.refaster.UBlock,98,477.53758217563177,28,10,18,18,0,0,45,45,0,8,-0.027777777777777776,0,0.0,0,0,0.0,10,0,0,0,25
com.google.errorprone.refaster.ULabeledStatement,86,542.9031191761007,26,6,17,17,0,0,36,36,0,8,0.0,0,0.0,0,0,0.0,9,0,0,0,19
com.google.errorprone.refaster.UAnnotation,76,315.80633172036426,23,9,15,15,0,0,28,28,0,6,-0.047619047619047616,0,0.0,0,0,0.0,8,0,0,0,16
com.google.errorprone.refaster.UArrayType,47,253.22016031474627,10,3,6,6,0,0,6,6,0,2,-0.3333333333333333,0,0.0,0,0,0.0,4,0,0,0,9
com.google.errorprone.refaster.UWildcardType,56,272.62786121596014,17,5,11,11,0,0,15,15,0,5,0.0,0,0.0,0,0,0.0,6,0,0,0,12
com.google.errorprone.refaster.UForAll,57,282.7614447456668,18,6,13,13,0,0,10,10,0,4,0.0,0,0.0,0,0,0.0,5,0,0,0,14
com.google.errorprone.refaster.UAssign,64,282.95164219020774,18,5,11,11,0,0,21,21,0,5,-0.06666666666666667,0,0.0,0,0,0.0,7,0,0,0,14
com.google.errorprone.BugPatternValidator,53,325.19874322037555,7,1,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
com.google.errorprone.BugPatternFileGenerator,315,2431.0959068758443,54,35,48,48,8,5,11,7,4,6,0.1,0,0.3541666666666667,0,0,0.0,6,8,0,8,21
com.google.errorprone.BugPatternIndexWriter,127,563.4405126190088,21,24,20,20,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
com.google.errorprone.ErrorProneFlags,226,1917.572357938821,41,15,25,25,2,2,110,100,10,18,0.02857142857142857,14,0.15625,0,0,0.0,16,2,1,1,54
com.google.errorprone.ErrorProneOptions,484,2565.8711068265216,58,19,39,39,29,8,154,137,17,18,0.0,0,0.1,0,0,0.0,19,30,1,29,45
com.google.errorprone.matchers.StringLiteral,50,239.72449865541324,7,4,4,4,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,7
com.google.errorprone.matchers.Description,237,1943.365198177062,16,15,6,6,6,4,21,0,24,25,0.4444444444444444,1,0.3142857142857143,0,0,0.0,10,7,5,2,27
com.google.errorprone.fixes.AppliedFix,141,1029.3486207200117,4,8,0,0,2,2,4,2,2,2,-0.3333333333333333,2,0.5,0,0,0.0,4,2,0,2,7
com.google.errorprone.fixes.Replacements,154,935.3552140568055,39,13,30,30,5,5,32,28,4,11,0.10714285714285714,2,0.15555555555555556,0,0,0.0,9,5,1,4,25
com.google.errorprone.fixes.BranchedSuggestedFixes,92,754.5628966131449,3,1,0,0,1,1,2,1,1,1,-1.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,5
com.google.errorprone.dataflow.LocalStore,181,1297.9578792282066,33,18,19,19,2,2,76,61,15,19,0.07692307692307693,11,0.25,0,0,0.0,14,2,0,2,30
com.google.errorprone.dataflow.AccessPathStore,132,891.9813487873812,28,12,16,16,1,1,66,66,0,6,-0.09090909090909091,11,0.08333333333333333,0,0,0.0,12,1,0,1,26
com.google.errorprone.names.NamingConventions,58,409.5559102332129,14,5,12,12,5,2,1,1,0,1,0.0,0,0.2,0,0,0.0,2,5,0,5,8
com.google.errorprone.names.NeedlemanWunschEditDistance,211,1752.403899045581,17,2,12,12,0,0,10,10,0,4,0.0,0,0.0,0,0,0.0,5,0,0,0,16
com.google.errorprone.names.TermEditDistance,129,732.1999074057487,13,4,9,9,2,2,6,6,0,1,-0.6666666666666666,3,0.25,0,0,0.0,4,2,0,2,11
com.google.errorprone.apply.AndroidImportOrganizer,136,860.8701961601759,27,11,23,23,6,3,5,4,1,2,-0.3333333333333333,0,0.25,0,0,0.0,4,6,0,6,9
com.google.errorprone.apply.IdeaImportOrganizer,90,516.7850097380569,16,7,13,13,3,2,1,0,2,2,0.0,0,0.6666666666666666,0,0,0.0,3,3,0,3,11
com.google.errorprone.apply.SourceFile,161,1438.1303859080815,46,10,33,33,2,2,40,2,38,44,0.48484848484848486,7,0.46153846153846156,0,0,0.0,13,2,0,2,39
com.google.errorprone.apply.ImportStatements,213,1499.2048565979305,53,14,41,41,6,5,41,16,25,27,0.2909090909090909,1,0.25,0,0,0.0,12,6,0,6,37
com.google.errorprone.apply.BasicImportOrganizer,52,177.46677855693895,9,6,7,7,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.errorprone.bugpatterns.UndefinedEqualsTest,470,1094.311038798985,59,7,44,44,1,1,77,49,28,29,0.16483516483516483,7,0.5333333333333333,0,0,0.0,15,1,0,1,18
com.google.errorprone.bugpatterns.ProtoRedundantSetTest,203,609.2793192761816,18,7,13,13,1,1,4,0,6,6,0.3333333333333333,1,0.8,0,0,0.0,5,1,0,1,5
com.google.errorprone.bugpatterns.SizeGreaterThanOrEqualsZeroTest,48,110.63482412027997,9,6,6,6,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,4
com.google.errorprone.bugpatterns.ProtoFieldNullComparisonTest,421,1485.3263707202138,59,6,41,41,1,1,0,0,153,153,1.0,0,1.0,0,0,0.0,18,1,0,1,31
com.google.errorprone.bugpatterns.ProtoTruthMixedDescriptorsTest,116,316.53939409504443,12,5,8,8,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,4
com.google.errorprone.bugpatterns.time.ProtoTimestampGetSecondsGetNanoTest,347,778.6407837495326,54,5,36,36,1,1,0,0,153,153,1.0,0,1.0,0,0,0.0,18,1,0,1,23
com.google.errorprone.bugpatterns.time.ProtoDurationGetSecondsGetNanoTest,397,878.1708233752574,63,5,42,42,1,1,0,0,210,210,1.0,0,1.0,0,0,0.0,21,1,0,1,28
com.google.errorprone.refaster.UWildcardTest,53,114.02294334900544,7,6,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.ChoiceTest,71,137.73008298253345,37,9,33,33,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,6
com.google.errorprone.refaster.UAssignOpTest,50,96.552873734312,9,6,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UTypeParameterTest,45,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UPrimitiveTypeTreeTest,53,96.552873734312,6,6,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UEnhancedForLoopTest,68,96.552873734312,9,5,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UReturnTest,45,96.552873734312,10,5,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.RefasterRuleTest,43,74.05357101693939,4,4,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
com.google.errorprone.refaster.UVariableDeclTest,51,96.552873734312,9,5,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.ULocalVarIdentTest,44,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UBreakTest,45,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UIntersectionTypeTest,50,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.USynchronizedTest,45,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UTypeVarTest,59,132.1430761882808,9,7,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.USkipTest,35,74.08050825970243,2,4,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
com.google.errorprone.refaster.UTypeCastTest,46,96.552873734312,9,5,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UInstanceOfTest,47,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UMethodTypeTest,49,107.20195910169465,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UExpressionStatementTest,49,96.552873734312,9,6,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UContinueTest,45,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UPrimitiveTypeTest,53,96.552873734312,6,6,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.BindingsTest,56,197.59015355578737,6,4,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UUnionTypeTest,58,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UThrowTest,48,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UBlockTest,60,96.552873734312,9,5,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.ULabeledStatementTest,45,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.google.errorprone.refaster.UAnnotationTest,49,96.552873734312,9,5,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
