class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.pitest.highwheel.losttests.LostTestAnalyser,24,153.89349010569822,8,2,7,7,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.pitest.highwheel.losttests.TesteeGuesser,56,290.26503401494494,23,3,18,18,1,1,7,4,3,6,0.3333333333333333,2,0.6,0,0,0.0,5,1,0,1,13
org.pitest.highwheel.cycles.PackageNameGraphGenerator,56,288.9050380389821,15,6,12,12,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,11
org.pitest.highwheel.cycles.PackageGraphGenerator,27,128.49368716645608,7,5,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.pitest.highwheel.cycles.PackageDistanceAnalyser,40,210.2850125135354,11,6,8,8,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,6
org.pitest.highwheel.cycles.CycleAnalyser,161,846.3600113377064,53,13,39,39,2,1,90,89,1,17,0.05128205128205128,13,0.10714285714285714,0,0,0.0,14,2,0,2,30
org.pitest.highwheel.cycles.ClassDependencyGraphBuildingVisitor,56,237.34323234072824,12,6,6,6,1,1,9,3,6,6,0.1,2,0.6666666666666666,0,0,0.0,6,1,0,1,8
org.pitest.highwheel.oracle.SimpleFlatFileOracleParser,66,402.77406144192366,26,10,22,22,1,1,5,4,1,2,-0.3333333333333333,2,0.5,0,0,0.0,4,1,0,1,11
org.pitest.highwheel.util.StreamUtil,47,267.97116291388454,15,9,11,11,0,0,6,6,0,3,0.0,0,0.0,0,0,0.0,4,0,0,0,12
org.pitest.highwheel.util.GlobToRegex,33,148.1937276609041,5,0,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.pitest.highwheel.report.html.ResourceWriter,93,302.0040898932381,18,10,7,7,1,1,54,53,1,2,-0.17777777777777778,9,0.18181818181818182,0,0,0.0,11,1,0,1,14
org.pitest.highwheel.report.html.HtmlCycleWriter,25,104.52242729451307,4,5,2,2,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,3
org.pitest.highwheel.report.html.IndexWriter,93,459.6757694362718,31,6,20,20,1,1,52,49,3,6,-0.08888888888888889,8,0.2727272727272727,0,0,0.0,11,1,1,0,11
org.pitest.highwheel.algorithm.SCCFinder,82,561.0310426859845,16,9,14,14,5,4,0,0,1,1,0.0,0,0.7,0,0,0.0,2,5,0,5,9
org.pitest.highwheel.model.Dependency,37,202.50979865643035,9,3,4,4,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,1,10
org.pitest.highwheel.model.AccessPointName,56,349.8364538500619,10,0,5,5,2,1,0,0,10,10,1.0,1,0.9,0,0,0.0,5,2,0,2,11
org.pitest.highwheel.model.ElementName,120,625.2218559911679,42,1,26,26,2,2,84,48,36,44,0.2761904761904762,12,0.28125,0,0,0.0,16,2,0,2,35
org.pitest.highwheel.model.AccessPoint,74,454.19757984767546,14,0,5,5,2,2,3,0,33,33,0.8928571428571429,2,0.7777777777777778,0,0,0.0,9,2,0,2,20
