class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.fasterxml.jackson.core.JsonpCharacterEscapes,46,375.9819621171929,3,2,0,0,4,3,3,3,0,0,-2.0,0,0.26666666666666666,0,0,0.0,3,5,0,5,7
com.fasterxml.jackson.core.Version,141,1415.294137202923,26,0,10,10,7,3,78,36,42,44,0.2761904761904762,1,0.2734375,0,0,0.0,16,8,0,2,42
com.fasterxml.jackson.core.io.SegmentedStringWriter,87,729.7678051985994,28,3,16,16,1,1,30,0,36,43,0.5818181818181818,3,0.75,0,0,0.0,12,1,0,1,17
com.fasterxml.jackson.core.io.UTF8Writer,387,2038.185145850177,36,1,24,24,10,4,43,20,23,44,0.6,0,0.35833333333333334,0,0,0.0,12,10,0,6,45
com.fasterxml.jackson.core.json.JsonReadContext,208,1198.608413746282,26,1,8,8,5,4,116,79,37,38,0.15441176470588236,2,0.20634920634920634,0,0,0.0,18,7,0,0,41
com.fasterxml.jackson.core.JsonFactory,1768,10533.649804677416,231,13,131,131,21,13,4521,4092,429,681,0.11997526283240569,4,0.06,0,0,0.0,100,21,4,2,363
com.fasterxml.jackson.core.format.DataFormatMatcher,131,1266.3798988830201,13,4,6,6,6,5,12,3,9,11,0.3333333333333333,0,0.42857142857142855,0,0,0.0,7,6,0,0,28
com.fasterxml.jackson.core.util.VersionUtil,165,1930.4289864769603,35,5,26,26,1,1,36,36,0,5,-0.10714285714285714,8,0.1111111111111111,0,0,0.0,9,1,0,1,30
com.fasterxml.jackson.core.util.RequestPayload,67,588.9945384944208,6,1,2,2,4,4,1,0,5,5,0.6666666666666666,0,0.5,0,0,0.0,4,4,0,1,14
com.fasterxml.jackson.core.util.Separators,63,336.1454993949843,9,1,0,0,4,2,18,0,18,18,0.35714285714285715,2,0.4166666666666667,0,0,0.0,9,4,0,4,16
com.fasterxml.jackson.core.util.ByteArrayBuilder,288,2583.4069215096697,48,2,22,22,9,4,196,67,129,134,0.36333333333333334,2,0.17094017094017094,0,0,0.0,26,9,1,7,53
com.fasterxml.jackson.core.util.DefaultIndenter,105,914.5743859975223,15,2,7,7,6,4,16,4,12,14,0.3333333333333333,1,0.23214285714285715,0,0,0.0,8,7,2,5,19
com.fasterxml.jackson.core.type.TypeReference,57,787.400660323459,6,2,3,3,1,1,2,1,1,1,-1.0,1,0.6666666666666666,0,0,0.0,3,1,0,0,9
com.fasterxml.jackson.core.JsonpCharacterEscapesTest,31,115.68053735036396,8,3,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.fasterxml.jackson.core.VersionTest,54,190.13269560484488,19,2,14,14,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,5
com.fasterxml.jackson.core.io.SegmentedStringWriterTest,48,251.9402801286373,11,2,10,10,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
com.fasterxml.jackson.core.io.UTF8WriterTest,162,577.2113061450622,35,5,30,30,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,12
com.fasterxml.jackson.core.json.JsonReadContextTest,58,284.45465744638796,21,5,18,18,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,5
com.fasterxml.jackson.core.json.JsonFactoryTest,291,1221.3086945033053,84,5,77,77,1,1,18,15,3,3,-0.2,4,0.42857142857142855,0,0,0.0,7,1,0,0,15
com.fasterxml.jackson.core.format.DataFormatMatcherTest,66,337.78759161950586,18,3,14,14,1,1,3,0,3,3,0.0,1,0.75,0,0,0.0,4,1,0,1,8
com.fasterxml.jackson.core.util.VersionUtilTest,46,168.49344498922,20,3,16,16,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4
com.fasterxml.jackson.core.util.RequestPayloadTest,41,198.9586973901578,8,2,4,4,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4
com.fasterxml.jackson.core.util.SeparatorsTest,69,242.74494077440517,23,2,20,20,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,3
com.fasterxml.jackson.core.util.ByteArrayBuilderTest,30,186.15841400630092,8,1,7,7,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
com.fasterxml.jackson.core.util.DefaultIndenterTest,37,157.4933384615593,12,2,10,10,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
com.fasterxml.jackson.core.type.TypeReferenceTest,150,564.6053586372434,10,2,7,7,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,6
