class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.fasterxml.jackson.databind.ObjectReader,2483,12410.676847802315,597,18,442,442,14,13,8342,4749,3593,4305,0.3523469994058229,10,0.10783410138248847,0,0,0.0,155,14,0,2,573
com.fasterxml.jackson.databind.ObjectWriter,1520,8429.260902751965,291,19,195,195,8,8,3018,1476,1542,1771,0.3753639417693169,11,0.15885416666666666,0,0,0.0,96,8,0,1,293
com.fasterxml.jackson.databind.ObjectMapper,4738,27865.314980235285,982,32,695,695,17,17,36208,31375,4833,5599,0.13036437246963561,16,0.058413609346177495,0,0,0.0,287,17,1,1,967
com.fasterxml.jackson.databind.ser.BeanSerializerModifier,187,2105.2368525333686,11,4,0,0,0,0,55,55,0,0,-0.2222222222222222,0,0.0,0,0,0.0,11,0,0,0,37
com.fasterxml.jackson.databind.util.RawValue,124,1085.4684847568744,24,6,12,12,1,1,0,0,66,66,1.0,0,1.0,0,0,0.0,12,1,0,0,33
com.fasterxml.jackson.databind.node.JsonNodeFactory,366,2622.7823574682025,65,4,36,36,2,2,405,404,1,9,-0.05026455026455026,7,0.027586206896551724,0,0,0.0,29,5,1,4,81
com.fasterxml.jackson.databind.node.TextNode,176,1285.6210545369192,38,7,21,21,2,2,70,4,66,67,0.425,6,0.2549019607843137,0,0,0.0,17,3,0,1,44
com.fasterxml.jackson.databind.node.POJONode,160,941.7782136248767,27,4,12,12,2,2,39,0,66,67,0.5824175824175825,9,0.4,0,0,0.0,15,2,0,1,41
com.fasterxml.jackson.databind.node.ArrayNode,881,3520.8973682395053,231,14,157,157,2,2,2323,1945,378,491,0.15905631659056316,60,0.1891891891891892,0,0,0.0,74,2,0,2,226
com.fasterxml.jackson.databind.node.ObjectNode,898,4246.039746320109,242,9,175,175,2,2,1545,879,666,834,0.35804195804195804,49,0.27611940298507465,0,0,0.0,67,2,0,1,213
com.fasterxml.jackson.databind.SequenceWriter,331,2217.490698983802,56,8,42,42,11,7,52,13,39,45,0.41025641025641024,1,0.2792207792207792,0,0,0.0,14,11,0,0,60
com.fasterxml.jackson.databind.jsontype.TypeDeserializer,179,1689.440528512692,19,7,8,8,0,0,55,55,0,1,-0.2,0,0.0,0,0,0.0,11,0,0,0,36
