class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.google.common.jimfs.AttributeService,440,2745.5222976532123,122,20,98,98,6,5,252,228,24,48,0.09881422924901186,4,0.11805555555555555,0,0,0.0,24,6,0,6,84
com.google.common.jimfs.WindowsPathType,221,1619.2905645760081,51,5,43,43,4,1,28,28,0,5,-0.09523809523809523,2,0.1,0,0,0.0,8,5,0,4,32
com.google.common.jimfs.File,329,2109.1437460084976,69,9,33,33,6,3,576,522,54,58,0.03865546218487395,6,0.13425925925925927,0,0,0.0,36,6,0,6,73
com.google.common.jimfs.BasicAttributeProvider,245,1014.908685213513,24,8,16,16,1,1,28,28,0,0,-0.3333333333333333,7,0.125,0,0,0.0,8,1,0,1,22
com.google.common.jimfs.RegularFile,692,4437.178517827587,135,15,92,92,7,6,622,341,281,333,0.33797909407665505,5,0.2059800664451827,0,0,0.0,43,7,0,7,123
com.google.common.jimfs.PollingWatchService,260,1842.0451979580648,40,23,29,29,10,10,37,19,18,24,0.3111111111111111,1,0.19090909090909092,0,0,0.0,11,10,0,8,27
com.google.common.jimfs.FileFactory,140,724.9672102000658,22,5,12,12,4,4,44,43,1,6,-0.08333333333333333,3,0.125,0,0,0.0,10,4,0,4,21
com.google.common.jimfs.Directory,371,2445.9065252321407,71,5,45,45,8,3,243,161,82,96,0.23666666666666666,3,0.16346153846153846,0,0,0.0,26,8,0,6,86
com.google.common.jimfs.UnixAttributeProvider,173,824.7502387715361,21,12,12,12,4,3,36,36,0,2,-0.21428571428571427,2,0.1111111111111111,0,0,0.0,9,4,0,4,25
com.google.common.jimfs.UnixPathType,88,524.1392156957537,23,3,17,17,1,1,15,15,0,3,-0.2,6,0.0,0,0,0.0,6,1,0,0,16
com.google.common.jimfs.Configuration,660,5378.495651988886,14,27,7,7,14,11,20,19,1,4,-0.13333333333333333,0,0.15306122448979592,0,0,0.0,7,14,0,0,25
com.google.common.jimfs.JimfsPath,465,2794.383761654715,167,25,125,125,3,3,574,287,287,340,0.3646341463414634,13,0.373015873015873,0,0,0.0,42,3,0,3,122
com.google.common.jimfs.JimfsAsynchronousFileChannel,235,1181.2379589129998,63,16,45,45,2,2,83,13,70,82,0.47794117647058826,10,0.4722222222222222,0,0,0.0,18,2,0,2,47
com.google.common.jimfs.AbstractWatchService,325,2253.1111291996826,30,25,19,19,3,3,31,7,24,29,0.4222222222222222,3,0.36363636363636365,0,0,0.0,11,3,0,3,28
com.google.common.jimfs.JimfsFileChannel,680,2676.0644552877,189,28,164,164,7,5,154,8,146,185,0.5833333333333334,3,0.26857142857142857,0,0,0.0,25,7,0,7,98
com.google.common.jimfs.DosAttributeProvider,206,937.0479905834417,22,11,11,11,2,1,54,53,1,4,-0.13333333333333333,10,0.13636363636363635,0,0,0.0,11,2,0,2,24
com.google.common.jimfs.PathService,296,1797.191349528756,86,22,64,64,13,8,203,175,28,46,0.11904761904761904,1,0.0979020979020979,0,0,0.0,22,13,0,13,58
com.google.common.jimfs.Name,134,972.4486645456642,14,5,4,4,4,2,30,15,15,15,0.16666666666666666,1,0.18571428571428572,0,0,0.0,10,7,2,4,21
com.google.common.jimfs.HeapDisk,156,1605.4159952461664,26,5,16,16,5,2,17,0,28,29,0.5555555555555556,1,0.46,0,0,0.0,10,5,0,4,19
com.google.common.jimfs.UserLookupService,124,534.6154127448389,7,6,2,2,1,1,9,8,1,3,-0.16666666666666666,3,0.4,0,0,0.0,5,1,0,1,13
com.google.common.jimfs.UserDefinedAttributeProvider,165,1097.1162498117576,25,8,15,15,0,0,45,45,0,2,-0.19444444444444445,0,0.0,0,0,0.0,10,0,0,0,23
com.google.common.jimfs.PosixAttributeProvider,270,1273.8100477354021,30,19,19,19,4,3,55,55,0,4,-0.13333333333333333,3,0.09090909090909091,0,0,0.0,11,4,0,4,32
com.google.common.jimfs.AclAttributeProvider,158,853.6967900982681,23,13,14,14,3,2,36,36,0,4,-0.14285714285714285,4,0.1111111111111111,0,0,0.0,9,3,0,3,23
com.google.common.jimfs.OwnerAttributeProvider,126,616.9534994945932,18,10,11,11,2,2,21,21,0,1,-0.3333333333333333,6,0.14285714285714285,0,0,0.0,7,2,0,2,18
com.google.common.jimfs.JimfsOutputStream,119,536.1396232761452,30,6,22,22,4,4,13,0,15,19,0.5714285714285714,1,0.40625,0,0,0.0,8,4,0,3,19
com.google.common.jimfs.PathType,262,2107.64894227549,38,10,20,20,6,5,142,131,11,15,-0.014705882352941176,3,0.12962962962962962,0,0,0.0,18,6,0,6,50
com.google.common.jimfs.FileSystemState,134,944.5663979900903,22,9,16,16,4,4,8,1,7,8,0.3,1,0.4166666666666667,0,0,0.0,6,4,0,4,16
com.google.common.jimfs.JimfsInputStream,161,735.8901303586543,38,7,28,28,4,4,17,0,28,32,0.6388888888888888,2,0.45,0,0,0.0,10,4,0,3,33
com.google.common.jimfs.FileTree,234,1767.3592979416571,50,11,39,39,3,3,52,49,3,16,0.13333333333333333,5,0.15151515151515152,0,0,0.0,11,3,0,3,42
com.google.common.jimfs.WatchServiceConfiguration,81,593.3339865593132,3,5,0,0,0,0,3,3,0,0,-2.0,3,0.0,0,0,0.0,3,1,0,0,5
com.google.common.jimfs.AttributeServiceTest,397,1107.9898995008452,161,15,136,136,1,1,47,0,253,253,0.8297101449275363,2,0.92,0,0,0.0,25,1,0,1,48
com.google.common.jimfs.WindowsPathTypeTest,224,770.67960904513,63,12,53,53,0,0,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,0,0,0,14
com.google.common.jimfs.FileTest,116,310.2178094997422,55,6,48,48,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,7
com.google.common.jimfs.BasicAttributeProviderTest,153,454.6633766174337,48,11,40,40,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,16
com.google.common.jimfs.RegularFileTest,907,3193.2067773076346,8,21,7,7,4,3,0,0,0,0,1.0,0,1.0,0,0,0.0,1,4,3,1,5
com.google.common.jimfs.PollingWatchServiceTest,248,873.9925886832773,92,26,78,78,2,2,30,0,61,69,0.717948717948718,5,0.6428571428571429,0,0,0.0,14,2,0,2,31
com.google.common.jimfs.FileFactoryTest,74,234.73675815464418,29,5,25,25,1,1,3,0,3,5,0.6666666666666666,1,0.75,0,0,0.0,4,1,0,1,6
