class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.collect.grid.SparseImmutableGrid,183,974.0210337437705,38,7,27,27,7,6,32,9,23,28,0.4,1,0.24675324675324675,0,0,0.0,11,7,0,7,29
org.joda.collect.grid.SingletonGrid,115,543.117631633591,23,3,12,12,4,3,23,0,32,32,0.4888888888888889,2,0.3181818181818182,0,0,0.0,11,4,0,4,20
org.joda.collect.grid.DenseImmutableGrid,348,2194.2573169149855,46,12,27,27,5,3,74,0,97,99,0.5294117647058824,3,0.3684210526315789,0,0,0.0,19,5,0,5,47
org.joda.collect.grid.EmptyGrid,107,470.6734126965756,14,3,3,3,3,2,50,45,5,5,-0.1111111111111111,4,0.18181818181818182,0,0,0.0,11,3,0,3,20
org.joda.collect.grid.ImmutableGrid,221,1419.6966892757168,28,0,15,15,0,0,78,78,0,0,-0.18181818181818182,0,0.0,0,0,0.0,13,0,0,0,36
org.joda.collect.grid.DenseGrid,478,3126.8785162421927,58,12,33,33,5,3,129,0,171,175,0.5471014492753623,4,0.368,0,0,0.0,25,5,0,5,66
org.joda.collect.grid.ImmutableCell,125,933.3864402107054,11,2,4,4,4,3,10,0,11,15,0.6,1,0.39285714285714285,0,0,0.0,7,4,0,4,20
org.joda.collect.grid.SparseGrid,183,1209.1697314328765,48,7,33,33,4,3,60,15,45,48,0.37362637362637363,3,0.2833333333333333,0,0,0.0,15,4,0,4,38
org.joda.collect.grid.TestSparseImmutableGrid,91,324.43030628760715,39,2,34,34,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,6
org.joda.collect.grid.TestSingletonGrid,156,519.2981555985718,58,2,41,41,0,0,136,136,0,6,-0.08333333333333333,0,0.0,0,0,0.0,17,0,0,0,19
org.joda.collect.grid.TestDenseImmutableGrid,92,313.6159627446869,38,2,33,33,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,6
org.joda.collect.grid.TestEmptyGrid,108,322.61554832697277,39,2,31,31,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,8
org.joda.collect.grid.TestImmutableGrid,254,758.1345448208358,121,6,85,85,0,0,630,630,0,0,-0.058823529411764705,0,0.0,0,0,0.0,36,0,0,0,36
org.joda.collect.grid.TestDenseGrid,105,352.0465261432873,36,2,25,25,0,0,55,55,0,17,0.15555555555555556,0,0.0,0,0,0.0,11,0,0,0,14
org.joda.collect.grid.TestImmutableCell,99,296.70577252669005,34,3,24,24,0,0,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,0,0,0,10
org.joda.collect.grid.TestSparseGrid,38,108.68449564984904,6,0,3,3,0,0,3,3,0,3,1.0,0,0.0,0,0,0.0,3,0,0,0,6
