class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.money.CurrencyUnit,661,5015.538843929007,74,17,46,46,8,6,305,232,73,78,0.1452991452991453,1,0.07142857142857142,0,0,0.0,28,15,7,8,111
org.joda.money.CurrencyMismatchException,69,536.1939398182376,4,0,1,1,3,2,1,0,2,2,0.0,1,0.4444444444444444,0,0,0.0,3,3,0,3,6
org.joda.money.format.MoneyFormatter,299,2622.5355285246974,44,6,29,29,3,3,68,31,37,48,0.37362637362637363,5,0.3111111111111111,0,0,0.0,15,3,0,3,63
org.joda.money.format.MoneyFormatterBuilder,404,2925.383741789726,87,7,61,61,5,4,308,291,17,37,0.04,6,0.1076923076923077,0,0,0.0,26,5,0,5,83
org.joda.money.format.MoneyAmountStyle,673,4739.819007064125,64,7,37,37,12,5,125,0,226,238,0.6523076923076923,1,0.27037037037037037,0,0,0.0,27,20,8,12,105
org.joda.money.format.MoneyParseContext,313,1607.3350318599062,44,5,20,20,6,5,185,94,91,104,0.3201581027667984,3,0.2708333333333333,0,0,0.0,24,6,0,6,48
org.joda.money.TestCurrencyUnit,803,2621.2831307906417,357,16,270,270,1,1,3740,3739,1,1,-0.023255813953488372,85,0.022988505747126436,0,0,0.0,87,1,0,1,117
org.joda.money.TestCurrencyMismatchException,69,209.02281718166412,24,2,20,20,2,1,4,2,2,2,-0.3333333333333333,2,0.5,0,0,0.0,4,2,0,2,8
org.joda.money.format.TestMoneyFormatter,512,2401.8555558941057,226,20,168,168,8,3,1227,801,426,484,0.2675438596491228,7,0.14655172413793102,0,0,0.0,58,8,0,8,76
org.joda.money.format.TestMoneyFormatterBuilder,864,2668.2117743128024,427,16,370,370,19,7,541,0,1055,1103,0.6798701298701298,2,0.09787626962142197,0,0,0.0,57,19,0,19,74
org.joda.money.format.TestMoneyAmountStyle,827,2083.7376594938537,506,10,426,426,5,2,3085,3010,75,75,-0.0012982797792924375,19,0.0575,0,0,0.0,80,5,0,5,85
org.joda.money.format.TestMoneyParseContext,135,362.1197827571507,54,6,42,42,0,0,66,66,0,0,-0.2,0,0.0,0,0,0.0,12,0,0,0,13
