class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.primitives.collection.impl.ArrayDoubleCollection,401,2902.2768134591925,43,6,22,22,5,2,100,0,110,111,0.4789473684210526,4,0.2761904761904762,0,0,0.0,21,5,0,5,57
org.joda.primitives.collection.impl.ArrayBooleanCollection,401,2894.7773901686,43,6,22,22,5,2,100,0,110,111,0.4789473684210526,4,0.2761904761904762,0,0,0.0,21,5,0,5,57
org.joda.primitives.collection.impl.ArrayCharCollection,427,3149.9939824250646,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62
org.joda.primitives.collection.impl.ArrayByteCollection,427,3149.9939824250646,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62
org.joda.primitives.collection.impl.ArrayFloatCollection,401,2902.2768134591925,43,6,22,22,5,2,100,0,110,111,0.4789473684210526,4,0.2761904761904762,0,0,0.0,21,5,0,5,57
org.joda.primitives.collection.impl.ArrayIntCollection,427,3142.403635479462,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62
org.joda.primitives.collection.impl.ArrayShortCollection,427,3149.9939824250646,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62
org.joda.primitives.collection.impl.ArrayLongCollection,431,3216.448840684756,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62
org.joda.primitives.list.impl.ImmutableArrayBooleanList,160,1300.1023744106244,13,2,4,4,1,1,23,10,13,14,0.21428571428571427,5,0.4444444444444444,0,0,0.0,9,2,0,2,26
org.joda.primitives.list.impl.ArrayLongList,351,2531.243235229128,46,2,25,25,5,2,86,0,124,124,0.5473684210526316,4,0.2761904761904762,0,0,0.0,21,5,0,5,62
