class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.time.Minutes,471,3742.7878254407374,78,6,52,52,2,2,319,313,6,20,-0.016666666666666666,3,0.04807692307692308,0,0,0.0,26,8,6,2,94
org.joda.time.Months,405,3264.8201151828134,60,6,40,40,2,2,184,178,6,19,0.0,1,0.05588235294117647,0,0,0.0,20,17,15,2,69
org.joda.time.DateTimeComparator,281,2246.54922207089,28,4,15,15,3,2,48,18,30,38,0.3939393939393939,2,0.2564102564102564,0,0,0.0,13,6,0,6,41
org.joda.time.base.AbstractPartial,415,3041.974071438691,63,10,42,42,0,0,210,210,0,22,0.010526315789473684,0,0.0,0,0,0.0,21,0,0,0,79
org.joda.time.DurationField,320,1917.347028083455,23,0,3,3,0,0,190,190,0,5,-0.08187134502923976,0,0.0,0,0,0.0,20,0,0,0,60
org.joda.time.base.BaseSingleFieldPeriod,346,3138.450312789774,56,13,38,38,3,2,150,147,3,29,0.08823529411764706,8,0.07407407407407407,0,0,0.0,18,3,0,3,55
org.joda.time.PeriodType,858,4674.7839479958575,140,7,101,101,13,6,703,665,38,119,0.11522048364153627,1,0.028205128205128206,0,0,0.0,39,30,0,22,112
org.joda.time.Years,361,2769.80415737659,60,6,40,40,2,2,184,178,6,19,0.0,2,0.0625,0,0,0.0,20,8,6,2,69
org.joda.time.DateTimeUtils,599,4851.854344124872,63,9,38,38,3,2,289,278,11,23,-0.0036231884057971015,11,0.12,0,0,0.0,25,3,1,2,82
org.joda.time.Days,491,3933.732072759274,80,6,54,54,2,2,319,313,6,20,-0.016666666666666666,2,0.04487179487179487,0,0,0.0,26,12,10,2,96
org.joda.time.DateTimeFieldType,607,3824.957438925346,33,1,3,3,3,3,434,433,1,3,-0.06403940886699508,1,0.03205128205128205,0,0,0.0,30,26,0,25,62
org.joda.time.DateTimeZone,1343,11708.46187120265,173,26,127,127,7,6,1002,969,33,102,0.05757575757575758,6,0.05434782608695652,0,0,0.0,46,8,2,6,188
org.joda.time.base.BasePartial,312,2230.2027867121583,49,10,33,33,3,3,69,18,51,53,0.3619047619047619,5,0.3541666666666667,0,0,0.0,16,3,0,3,49
org.joda.time.Seconds,471,3706.0028918449007,77,6,51,51,2,2,319,313,6,20,-0.016666666666666666,3,0.04807692307692308,0,0,0.0,26,8,6,2,93
org.joda.time.IllegalFieldValueException,329,1532.2644497304748,36,0,17,17,9,5,77,0,94,108,0.5882352941176471,1,0.391812865497076,0,0,0.0,19,9,0,9,48
org.joda.time.Weeks,477,3729.551777505656,81,6,55,55,2,2,319,313,6,20,-0.016666666666666666,3,0.04807692307692308,0,0,0.0,26,8,6,2,97
org.joda.time.Hours,490,3945.0252129051746,79,6,53,53,2,2,319,313,6,20,-0.016666666666666666,2,0.04437869822485207,0,0,0.0,26,13,11,2,95
org.joda.time.DurationFieldType,352,2235.68837055727,20,1,3,3,3,3,135,134,1,3,-0.10833333333333334,1,0.054901960784313725,0,0,0.0,17,15,0,2,35
org.joda.time.tz.CachedDateTimeZone,215,1484.1663870956588,27,1,14,14,4,4,50,22,28,32,0.30303030303030304,3,0.19230769230769232,0,0,0.0,13,4,0,4,32
org.joda.time.tz.ZoneInfoCompiler,948,6639.986713526828,119,27,103,103,6,5,117,114,3,9,-0.05714285714285714,2,0.14583333333333334,0,0,0.0,16,6,0,4,61
org.joda.time.tz.UTCProvider,63,325.0860276826143,4,3,1,1,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,7
org.joda.time.tz.FixedDateTimeZone,105,625.3156984569034,19,1,8,8,4,3,36,17,19,19,0.2,2,0.2727272727272727,0,0,0.0,11,4,0,4,25
org.joda.time.chrono.CopticChronology,272,2333.730121910824,35,7,21,21,6,4,90,89,1,10,-0.038461538461538464,2,0.061224489795918366,0,0,0.0,14,7,1,6,36
org.joda.time.chrono.BuddhistChronology,254,1957.9652223624657,38,14,27,27,5,4,54,53,1,9,-0.022222222222222223,2,0.07575757575757576,0,0,0.0,11,6,1,5,27
org.joda.time.chrono.IslamicChronology,579,4828.989658043674,64,7,33,33,23,5,448,431,17,35,0.011494252873563218,1,0.04838709677419355,0,0,0.0,31,24,5,19,82
org.joda.time.chrono.JulianChronology,278,2154.114045167146,38,7,19,19,6,3,167,163,4,15,-0.0196078431372549,3,0.06766917293233082,0,0,0.0,19,7,0,7,48
org.joda.time.chrono.GJChronology,1157,6855.125423341963,121,16,95,95,8,5,253,181,72,104,0.2633333333333333,3,0.17307692307692307,0,0,0.0,26,8,0,7,72
org.joda.time.chrono.ISOChronology,232,1788.4447279634785,33,10,22,22,2,2,52,49,3,6,-0.08888888888888889,5,0.12121212121212122,0,0,0.0,11,3,0,3,26
org.joda.time.chrono.LenientChronology,156,1057.0633912222902,28,4,19,19,2,2,36,36,0,5,-0.10714285714285714,9,0.05555555555555555,0,0,0.0,9,2,0,2,26
org.joda.time.chrono.GregorianChronology,249,1969.643910091127,33,4,16,16,7,3,132,128,4,14,-0.016666666666666666,2,0.07352941176470588,0,0,0.0,17,8,0,8,42
org.joda.time.chrono.EthiopicChronology,271,2286.031871302862,35,7,21,21,6,4,90,89,1,10,-0.038461538461538464,2,0.061224489795918366,0,0,0.0,14,7,1,6,36
org.joda.time.chrono.JulianChronology,278,2154.114045167146,38,7,19,19,6,3,167,163,4,15,-0.0196078431372549,3,0.06766917293233082,0,0,0.0,19,7,0,7,48
org.joda.time.chrono.GJChronology,1157,6855.125423341963,121,16,95,95,8,5,253,181,72,104,0.2633333333333333,3,0.17307692307692307,0,0,0.0,26,8,0,7,72
org.joda.time.chrono.GregorianChronology,249,1969.643910091127,33,4,16,16,7,3,132,128,4,14,-0.016666666666666666,2,0.07352941176470588,0,0,0.0,17,8,0,8,42
org.joda.time.field.OffsetDateTimeField,219,1280.0993895360803,49,3,29,29,4,2,165,140,25,28,0.05263157894736842,5,0.2,0,0,0.0,20,4,0,4,52
org.joda.time.field.PreciseDurationField,148,1021.647454093404,19,1,8,8,2,1,10,0,45,45,0.7777777777777778,6,0.45454545454545453,0,0,0.0,11,2,0,2,26
