class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.jfree.chart3d.legend.ColorScaleElement,411,2643.0232290065305,87,26,71,71,8,6,87,54,33,39,0.22857142857142856,1,0.2734375,0,0,0.0,16,8,0,8,42
org.jfree.chart3d.legend.ColorScaleLegendBuilder,222,1461.148210528707,20,14,10,10,3,2,22,0,23,24,0.4166666666666667,3,0.4666666666666667,0,0,0.0,10,3,0,3,23
org.jfree.chart3d.legend.StandardLegendBuilder,443,2824.1438883687597,58,25,38,38,6,3,147,104,43,47,0.16374269005847952,3,0.23333333333333334,0,0,0.0,20,6,0,6,47
org.jfree.chart3d.label.StandardCategoryLabelGenerator,205,1457.8231087950676,28,5,21,21,5,1,6,0,15,15,0.6,1,0.2,0,0,0.0,7,5,4,1,19
org.jfree.chart3d.label.StandardPieLabelGenerator,184,1355.3681598169367,15,5,10,10,7,1,4,0,6,6,0.3333333333333333,0,0.14285714285714285,0,0,0.0,5,7,6,1,15
org.jfree.chart3d.label.StandardCategoryItemLabelGenerator,217,1708.9998933306476,17,8,10,10,6,2,8,0,13,13,0.4666666666666667,1,0.23809523809523808,0,0,0.0,7,6,4,2,18
org.jfree.chart3d.label.StandardXYZLabelGenerator,156,1217.3489863157283,15,5,10,10,6,1,4,0,6,6,0.3333333333333333,1,0.16666666666666666,0,0,0.0,5,6,5,1,12
org.jfree.chart3d.data.KeyedValues3DItemKey,176,1043.5366089806362,18,3,9,9,3,3,3,0,33,33,0.8928571428571429,1,0.7777777777777778,0,0,0.0,9,3,0,0,20
org.jfree.chart3d.data.DefaultKeyedValues3D,341,2022.305317339136,48,4,30,30,4,4,93,33,60,66,0.3602941176470588,4,0.3472222222222222,0,0,0.0,18,4,0,4,59
org.jfree.chart3d.data.StandardPieDataset3D,224,1606.995953356269,26,4,14,14,1,1,21,0,45,46,0.6363636363636364,2,0.8333333333333334,0,0,0.0,12,1,0,1,36
org.jfree.chart3d.data.DataUtils,949,5262.766135181186,141,6,112,112,0,0,406,406,0,18,-0.026455026455026454,0,0.0,0,0,0.0,29,0,0,0,136
org.jfree.chart3d.data.JSONUtils,875,4762.219498011103,122,18,98,98,0,0,276,276,0,19,-0.015810276679841896,0,0.0,0,0,0.0,24,0,0,0,113
org.jfree.chart3d.data.DefaultKeyedValues2D,309,1787.549248115254,41,4,26,26,3,3,63,21,42,47,0.3626373626373626,4,0.4,0,0,0.0,15,3,0,0,39
org.jfree.chart3d.data.KeyedValuesItemKey,105,551.2661058723486,11,2,6,6,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,0,11
org.jfree.chart3d.data.DefaultKeyedValues,257,1822.205446177307,43,4,29,29,1,1,46,1,45,51,0.48717948717948717,4,0.7142857142857143,0,0,0.0,14,1,0,1,42
org.jfree.chart3d.data.DefaultKeyedValue,127,764.469288232091,9,3,3,3,2,2,2,0,13,13,0.8,2,0.75,0,0,0.0,6,2,0,2,12
org.jfree.chart3d.data.Range,250,1688.5560414874356,25,2,11,11,2,1,27,0,64,68,0.7051282051282052,4,0.75,0,0,0.0,14,2,0,2,40
org.jfree.chart3d.data.xyz.XYZDataItem,137,866.4546169681969,7,1,1,1,3,1,3,0,12,12,0.7,1,0.6666666666666666,0,0,0.0,6,3,0,3,13
org.jfree.chart3d.data.xyz.XYZSeriesCollection,336,2129.7381094768857,62,12,43,43,1,1,80,0,91,98,0.5228758169934641,5,0.7368421052631579,0,0,0.0,19,1,0,1,53
org.jfree.chart3d.data.xyz.XYZSeries,313,2370.299396086956,40,8,22,22,4,4,100,47,53,60,0.3161764705882353,4,0.2916666666666667,0,0,0.0,18,4,0,4,46
org.jfree.chart3d.data.xyz.XYZItemKey,151,1005.9871973779791,16,4,8,8,2,2,1,0,27,27,0.9523809523809523,1,0.875,0,0,0.0,8,2,0,2,18
org.jfree.chart3d.data.category.StandardCategoryDataset3D,353,2007.8356280466592,47,7,25,25,1,1,41,0,190,191,0.8095238095238095,2,0.9090909090909091,0,0,0.0,22,1,0,1,69
org.jfree.chart3d.axis.NumberAxis3D,653,4926.556593861648,134,25,113,113,6,4,144,78,66,66,0.24210526315789474,3,0.24603174603174602,0,0,0.0,21,6,0,6,63
org.jfree.chart3d.axis.NumberTickSelector,211,1846.0818786108268,13,4,5,5,13,3,11,0,17,17,0.47619047619047616,0,0.23076923076923078,0,0,0.0,8,13,0,13,26
org.jfree.chart3d.axis.StandardCategoryAxis3D,1135,7487.201609564978,187,39,135,135,18,10,1129,932,197,204,0.12,2,0.11217948717948718,0,0,0.0,52,18,0,18,137
org.jfree.chart3d.axis.LogAxis3D,723,5086.60296078852,169,23,139,139,10,6,322,209,113,128,0.2438423645320197,2,0.17666666666666667,0,0,0.0,30,10,1,9,78
org.jfree.chart3d.marker.CategoryMarker,435,2496.005075402754,74,16,50,50,9,7,201,126,75,76,0.20948616600790515,2,0.20833333333333334,0,0,0.0,24,9,0,7,53
org.jfree.chart3d.marker.RangeMarker,351,2038.9845803879225,59,11,40,40,7,5,116,61,55,56,0.24836601307189543,2,0.2781954887218045,0,0,0.0,19,7,0,6,48
