class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.springframework.data.mapping.PropertyReferenceException,156,1136.0724715708377,30,11,22,22,7,5,13,0,15,16,0.42857142857142855,1,0.2857142857142857,0,0,0.0,8,7,0,7,20
org.springframework.data.mapping.model.PreferredConstructorDiscoverer,225,1023.6025123080877,41,21,34,34,2,2,18,15,3,10,0.26666666666666666,5,0.2857142857142857,0,0,0.0,7,2,0,1,27
org.springframework.data.mapping.PersistentPropertyAccessor,175,1636.1441112665736,34,3,28,28,0,0,15,15,0,9,0.4,0,0.0,0,0,0.0,6,0,0,0,21
org.springframework.data.mapping.PropertyPath,440,2751.476415780576,74,19,50,50,11,5,235,194,41,60,0.14624505928853754,1,0.08974358974358974,0,0,0.0,24,13,0,13,75
org.springframework.data.mapping.TargetAwareIdentifierAccessor,49,343.7957046958004,3,1,2,2,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,5
org.springframework.data.repository.query.Parameter,273,1508.015198248654,69,17,52,52,7,6,103,70,33,46,0.25,2,0.16806722689075632,0,0,0.0,17,7,0,6,46
org.springframework.data.mapping.model.SimpleTypeHolder,190,1262.146592056444,29,10,22,22,3,3,11,1,10,12,0.4,2,0.21428571428571427,0,0,0.0,7,4,1,3,16
org.springframework.data.mapping.context.PersistentPropertyPathFactory,404,1831.1812185439949,57,34,46,46,3,3,52,49,3,32,0.4888888888888889,5,0.12121212121212122,0,0,0.0,11,3,0,3,38
org.springframework.data.mapping.context.PersistentEntities,217,1552.5042057396345,59,12,49,49,1,1,24,3,21,25,0.4444444444444444,3,0.7,0,0,0.0,10,1,0,1,36
org.springframework.data.mapping.context.DefaultPersistentPropertyPath,259,1190.056565603201,62,13,46,46,3,3,82,44,38,48,0.3142857142857143,6,0.2708333333333333,0,0,0.0,16,3,0,3,41
org.springframework.data.mapping.context.MappingContextEvent,74,508.27414651725115,5,4,2,2,3,3,1,0,2,2,0.0,1,0.4444444444444444,0,0,0.0,3,3,0,3,7
org.springframework.data.mapping.context.AbstractMappingContext,669,4113.056030019695,96,51,71,71,15,13,274,248,26,35,0.03985507246376811,1,0.10133333333333333,0,0,0.0,25,15,0,14,71
org.springframework.data.mapping.callback.DefaultReactiveEntityCallbacks,141,869.4304468986694,16,13,12,12,3,3,0,0,6,6,1.0,1,0.4166666666666667,0,0,0.0,4,3,0,3,6
org.springframework.data.mapping.callback.EntityCallbackDiscoverer,446,3037.5511378420474,71,23,54,54,6,6,101,66,35,39,0.19166666666666668,2,0.29411764705882354,0,0,0.0,17,6,0,6,44
org.springframework.data.mapping.callback.DefaultEntityCallbacks,138,896.7468859469494,15,11,11,11,3,3,0,0,6,6,1.0,1,0.5,0,0,0.0,4,3,0,3,6
org.springframework.data.mapping.model.AbstractPersistentProperty,334,1122.3818534530865,67,17,43,43,15,12,243,210,33,39,0.06324110671936758,1,0.08333333333333333,0,0,0.0,24,15,0,15,62
org.springframework.data.mapping.model.ClassGeneratingEntityInstantiator,540,3689.67001706289,38,21,30,30,5,5,26,24,2,6,-0.047619047619047616,1,0.175,0,0,0.0,8,5,0,5,28
org.springframework.data.mapping.model.IdPropertyIdentifierAccessor,65,346.13900994728175,8,7,6,6,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,2,6
org.springframework.data.mapping.model.Property,294,1513.1744338483688,60,15,41,41,9,7,136,101,35,44,0.16993464052287582,2,0.16374269005847952,0,0,0.0,19,9,0,9,49
org.springframework.data.mapping.model.EntityInstantiators,99,613.0854693269522,12,4,7,7,2,2,5,0,5,5,0.16666666666666666,2,0.6,0,0,0.0,5,2,0,2,7
org.springframework.data.mapping.model.CamelCaseAbbreviatingFieldNamingStrategy,42,218.81343149856795,3,0,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3
org.springframework.data.mapping.model.ConvertingPropertyAccessor,122,756.7743793443952,20,6,14,14,2,2,13,11,2,7,0.2,4,0.3333333333333333,0,0,0.0,6,2,0,2,10
org.springframework.data.mapping.model.PersistentEntityParameterValueProvider,73,495.93380338244083,8,8,7,7,3,3,0,0,0,0,1.0,0,1.0,0,0,0.0,1,3,0,3,6
org.springframework.data.mapping.model.AnnotationBasedPersistentProperty,325,1821.8103452005696,68,26,51,51,9,3,132,128,4,11,-0.041666666666666664,2,0.0784313725490196,0,0,0.0,17,9,0,9,46
org.springframework.data.mapping.model.BasicPersistentEntity,630,3097.771581374159,120,24,77,77,18,15,840,777,63,76,0.03948896631823461,2,0.06847545219638243,0,0,0.0,43,18,0,18,101
org.springframework.data.mapping.model.SimplePersistentPropertyPathAccessor,284,1611.320499342673,70,22,60,60,2,2,41,37,4,25,0.4444444444444444,8,0.25,0,0,0.0,10,2,0,2,30
org.springframework.data.mapping.model.PersistentEntityIsNewStrategy,113,842.8996052998737,17,6,13,13,2,2,5,4,1,1,-0.6666666666666666,2,0.5,0,0,0.0,4,2,0,2,19
org.springframework.data.projection.PropertyAccessingMethodInterceptor,87,536.6329649279563,15,10,12,12,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,8
org.springframework.data.projection.SpelAwareProxyProjectionFactory,130,950.3239666776199,8,15,4,4,3,3,5,4,1,1,-0.6666666666666666,1,0.3333333333333333,0,0,0.0,4,3,0,3,11
org.springframework.data.projection.ProxyProjectionFactory,305,1830.5551489302663,41,16,27,27,6,5,86,81,5,13,0.0,2,0.11904761904761904,0,0,0.0,14,6,0,6,32
org.springframework.data.projection.MapAccessingMethodInterceptor,66,321.763023331276,10,8,9,9,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,5
org.springframework.data.projection.DefaultProjectionInformation,280,1689.5217046066919,17,20,11,11,2,2,11,7,4,4,-0.1,4,0.4166666666666667,0,0,0.0,6,2,0,2,14
org.springframework.data.projection.DefaultMethodInvokingMethodInterceptor,276,1439.7876830410003,57,16,42,42,5,5,99,93,6,27,0.14285714285714285,3,0.12,0,0,0.0,15,5,0,4,52
org.springframework.data.projection.ProjectingMethodInterceptor,172,1208.787261871358,50,20,44,44,3,3,14,13,1,7,0.2,2,0.2222222222222222,0,0,0.0,6,3,0,3,24
org.springframework.data.projection.SpelEvaluatingMethodInterceptor,153,1164.2821523160758,24,19,21,21,5,5,0,0,3,3,1.0,0,0.6666666666666666,0,0,0.0,3,5,0,5,11
org.springframework.data.spel.EvaluationContextExtensionInformation,284,1681.3756886975932,15,26,11,11,2,2,5,4,1,1,-0.6666666666666666,3,0.375,0,0,0.0,4,2,0,2,11
org.springframework.data.spel.spi.Function,172,1378.362559695445,38,10,29,29,2,2,0,0,36,36,1.0,4,0.6111111111111112,0,0,0.0,9,2,0,2,26
org.springframework.data.config.TypeFilterParser,242,1588.3557258604415,42,19,28,28,7,4,50,9,41,42,0.3717948717948718,2,0.20408163265306123,0,0,0.0,14,7,1,6,39
org.springframework.data.querydsl.SimpleEntityPathResolver,132,917.0297246491612,30,7,25,25,3,1,9,8,1,4,0.0,1,0.15,0,0,0.0,5,4,1,3,16
org.springframework.data.querydsl.QPageRequest,152,741.8948763604861,21,5,11,11,2,2,30,15,15,21,0.3333333333333333,7,0.3,0,0,0.0,10,2,0,2,22
org.springframework.data.querydsl.QSort,168,987.1581382617544,37,10,26,26,2,2,34,13,21,26,0.35555555555555557,4,0.24242424242424243,0,0,0.0,11,3,0,3,30
org.springframework.data.querydsl.QuerydslUtils,81,441.5285951487053,12,6,10,10,1,1,1,1,0,1,0.0,2,0.0,0,0,0.0,2,1,1,0,7
org.springframework.data.querydsl.QuerydslRepositoryInvokerAdapter,150,671.0630920480988,22,8,11,11,3,3,16,0,39,39,0.6444444444444445,3,0.45454545454545453,0,0,0.0,11,3,0,3,21
org.springframework.data.querydsl.binding.QuerydslDefaultBinding,89,581.8326722416347,17,8,16,16,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.springframework.data.querydsl.binding.QuerydslBindingsFactory,204,1107.9668162533778,29,14,19,19,6,6,40,35,5,11,0.05555555555555555,1,0.15,0,0,0.0,10,6,0,6,25
org.springframework.data.querydsl.binding.QuerydslPredicateBuilder,222,1764.2261140533574,46,23,39,39,4,4,19,17,2,8,0.13333333333333333,2,0.21428571428571427,0,0,0.0,7,4,0,4,27
