class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.springframework.data.map.MapKeyValueAdapter,195,880.7506405543463,41,11,26,26,2,2,99,93,6,16,0.02197802197802198,13,0.16666666666666666,0,0,0.0,15,2,0,2,28
org.springframework.data.keyvalue.repository.support.SimpleKeyValueRepository,208,780.1839341349496,53,12,39,39,2,2,46,1,45,47,0.4358974358974359,5,0.6785714285714286,0,0,0.0,14,2,0,2,38
org.springframework.data.keyvalue.repository.support.QuerydslKeyValueRepository,207,1034.5863707473868,53,23,42,42,2,2,49,43,6,19,0.2,9,0.22727272727272727,0,0,0.0,11,2,0,2,29
org.springframework.data.keyvalue.core.SpelQueryEngine,110,648.5965990762535,27,10,21,21,1,1,15,15,0,3,-0.2,5,0.16666666666666666,0,0,0.0,6,1,0,1,14
org.springframework.data.keyvalue.core.KeyValuePersistenceExceptionTranslator,60,311.027993879147,6,6,5,5,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3
org.springframework.data.keyvalue.core.ForwardingCloseableIterator,91,479.5088551910623,9,4,4,4,2,2,3,0,7,7,0.5,2,0.6,0,0,0.0,5,2,0,2,8
org.springframework.data.keyvalue.core.KeyValueTemplate,478,1974.9246024082993,114,22,85,85,8,7,386,366,20,52,0.06349206349206349,3,0.08189655172413793,0,0,0.0,29,8,0,8,74
org.springframework.data.keyvalue.core.IterableConverter,55,332.97749107159206,3,4,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
org.springframework.data.keyvalue.core.mapping.BasicKeyValuePersistentEntity,98,690.4147570857326,13,8,9,9,4,4,5,4,1,3,0.0,1,0.375,0,0,0.0,4,4,0,4,11
org.springframework.data.keyvalue.repository.support.SimpleKeyValueRepository,208,780.1839341349496,53,12,39,39,2,2,46,1,45,47,0.4358974358974359,5,0.6785714285714286,0,0,0.0,14,2,0,2,38
org.springframework.data.keyvalue.repository.support.KeyValueQuerydslUtils,136,790.542907029462,27,13,22,22,0,0,10,10,0,3,-0.16666666666666666,0,0.0,0,0,0.0,5,0,0,0,19
org.springframework.data.keyvalue.repository.support.KeyValueRepositoryFactoryBean,137,637.7790795898936,13,11,5,5,3,3,15,2,13,13,0.2857142857142857,2,0.5416666666666666,0,0,0.0,8,3,0,3,12
org.springframework.data.keyvalue.repository.query.CachingKeyValuePartTreeQuery,56,288.85295115624604,3,7,1,1,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,4
org.springframework.data.keyvalue.repository.query.KeyValuePartTreeQuery,268,1657.8791257338657,68,23,59,59,4,4,23,10,13,21,0.4642857142857143,2,0.3611111111111111,0,0,0.0,9,4,0,4,29
org.springframework.data.keyvalue.repository.query.SpelQueryCreator,223,1046.195386975006,28,14,21,21,2,2,20,19,1,3,-0.2,6,0.21428571428571427,0,0,0.0,7,2,0,2,22
org.springframework.data.map.MapKeyValueAdapterUnitTests,184,491.4910088304367,83,7,63,63,6,3,112,34,78,78,0.34502923976608185,2,0.3333333333333333,0,0,0.0,20,6,0,6,21
org.springframework.data.map.SimpleKeyValueRepositoryUnitTests,33,101.10570155403828,2,3,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
org.springframework.data.map.QuerydslKeyValueRepositoryUnitTests,192,526.3280915920061,99,20,85,85,0,0,91,91,0,0,-0.16666666666666666,0,0.0,0,0,0.0,14,0,0,0,19
org.springframework.data.keyvalue.core.SpelQueryEngineUnitTests,127,576.6374617768327,39,20,35,35,5,4,3,0,3,5,0.6666666666666666,0,0.45,0,0,0.0,4,5,0,0,10
org.springframework.data.keyvalue.core.KeyValuePersistenceExceptionTranslatorUnitTests,75,155.54017326911503,27,5,20,20,1,1,6,0,15,15,0.6,1,0.8571428571428571,0,0,0.0,7,1,0,0,7
org.springframework.data.keyvalue.core.ForwardingCloseableIteratorUnitTests,103,272.21444206476724,34,11,29,29,2,2,0,0,10,10,1.0,2,0.6,0,0,0.0,5,2,0,0,9
org.springframework.data.keyvalue.core.KeyValueTemplateUnitTests,592,1612.8986340929987,362,31,309,309,8,7,617,0,761,761,0.5346907993966817,5,0.2358490566037736,0,0,0.0,53,8,0,8,96
org.springframework.data.keyvalue.core.IterableConverterUnitTests,68,157.10227294062489,20,9,16,16,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4
org.springframework.data.keyvalue.core.mapping.BasicKeyValuePersistentEntityUnitTests,90,302.21715614481775,21,10,18,18,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,3
org.springframework.data.keyvalue.repository.SimpleKeyValueRepositoryUnitTests,214,702.1655407214546,97,23,83,83,3,3,12,0,79,80,0.8589743589743589,2,0.6428571428571429,0,0,0.0,14,3,0,2,29
org.springframework.data.keyvalue.repository.support.KeyValueQuerydslUtilsUnitTests,103,289.28490746832813,39,13,32,32,2,2,6,0,15,15,0.6,4,0.5,0,0,0.0,7,2,0,2,14
org.springframework.data.keyvalue.repository.support.KeyValueRepositoryFactoryBeanUnitTests,101,265.82336499454027,33,9,25,25,1,1,22,16,6,6,-0.047619047619047616,4,0.5,0,0,0.0,8,1,0,0,9
org.springframework.data.keyvalue.repository.query.CachingKeyValuePartTreeQueryUnitTests,81,277.8622818774277,15,17,13,13,3,3,0,0,1,1,0.0,0,0.6666666666666666,0,0,0.0,2,3,0,0,5
org.springframework.data.keyvalue.repository.query.KeyValuePartTreeQueryUnitTests,139,398.1188943008225,50,19,46,46,3,3,0,0,6,6,1.0,0,1.0,0,0,0.0,4,3,0,0,8
org.springframework.data.keyvalue.repository.query.SpelQueryCreatorUnitTests,468,1813.1324337549568,253,24,205,205,7,3,516,0,612,658,0.5652173913043478,6,0.2113095238095238,0,0,0.0,48,7,0,0,55
