class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.springframework.ws.soap.security.wss4j.support.CryptoFactoryBean,196,1505.099724479902,32,11,18,18,4,4,53,15,38,39,0.3333333333333333,3,0.26785714285714285,0,0,0.0,14,4,0,4,28
org.springframework.ws.soap.security.wss4j.callback.SpringSecurityPasswordValidationCallbackHandler,116,884.875093205366,29,16,22,22,2,2,17,13,4,6,0.0,5,0.35714285714285715,0,0,0.0,7,2,0,2,18
org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,123,974.1360209685645,20,9,13,13,3,3,10,0,11,11,0.3333333333333333,2,0.47619047619047616,0,0,0.0,7,3,0,3,20
org.springframework.ws.soap.security.support.TrustManagersFactoryBean,101,564.5058091042251,12,6,5,5,4,3,17,13,4,4,-0.13333333333333333,1,0.2857142857142857,0,0,0.0,7,4,0,4,13
org.springframework.ws.soap.security.support.KeyManagersFactoryBean,113,666.1666602399159,14,6,6,6,5,4,23,18,5,5,-0.09523809523809523,1,0.25,0,0,0.0,8,5,0,5,15
org.springframework.ws.soap.security.xwss.XwsSecurityInterceptor,189,1710.2498958337003,36,21,29,29,3,3,11,1,10,10,0.26666666666666666,2,0.42857142857142855,0,0,0.0,7,3,0,3,19
org.springframework.ws.soap.security.wss4j.callback.SimplePasswordValidationCallbackHandler,70,516.2786400032896,12,8,8,8,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,10
org.springframework.ws.soap.security.xwss.callback.SimpleUsernamePasswordCallbackHandler,90,558.0707468523101,9,8,3,3,2,1,6,0,9,9,0.4,2,0.6666666666666666,0,0,0.0,6,2,0,2,10
org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,123,974.1360209685645,20,9,13,13,3,3,10,0,11,11,0.3333333333333333,2,0.47619047619047616,0,0,0.0,7,3,0,3,20
org.springframework.ws.soap.security.xwss.callback.DefaultTimestampValidator,133,915.5643110513117,33,6,27,27,0,0,15,15,0,6,0.1,0,0.0,0,0,0.0,6,0,0,0,25
org.springframework.ws.soap.security.xwss.callback.SpringUsernamePasswordCallbackHandler,70,451.76984360349417,9,8,8,8,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,6
org.springframework.ws.soap.security.xwss.callback.SpringDigestPasswordValidationCallbackHandler,159,1277.7528684363174,19,18,14,14,2,2,6,2,4,5,0.16666666666666666,3,0.5,0,0,0.0,5,2,0,2,16
org.springframework.ws.soap.security.xwss.callback.SpringCertificateValidationCallbackHandler,121,925.5348210679206,7,14,3,3,2,2,5,4,1,1,-0.6666666666666666,3,0.375,0,0,0.0,4,2,0,2,9
org.springframework.ws.soap.security.xwss.callback.SpringPlainTextPasswordValidationCallbackHandler,123,991.2736166792744,8,13,4,4,2,2,5,4,1,1,-0.6666666666666666,3,0.375,0,0,0.0,4,2,0,2,10
org.springframework.ws.soap.security.xwss.callback.jaas.JaasCertificateValidationCallbackHandler,103,723.5454202396855,2,7,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.springframework.ws.soap.security.xwss.callback.jaas.JaasPlainTextPasswordValidationCallbackHandler,123,813.9681662055909,3,9,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5
org.springframework.ws.soap.security.callback.CallbackHandlerChain,59,387.35894804426357,4,4,1,1,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,8
org.springframework.ws.soap.security.wss4j.support.CryptoFactoryBean,196,1505.099724479902,32,11,18,18,4,4,53,15,38,39,0.3333333333333333,3,0.26785714285714285,0,0,0.0,14,4,0,4,28
org.springframework.ws.soap.security.wss4j.callback.SpringSecurityPasswordValidationCallbackHandler,116,884.875093205366,29,16,22,22,2,2,17,13,4,6,0.0,5,0.35714285714285715,0,0,0.0,7,2,0,2,18
org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,123,974.1360209685645,20,9,13,13,3,3,10,0,11,11,0.3333333333333333,2,0.47619047619047616,0,0,0.0,7,3,0,3,20
org.springframework.ws.test.client.UriMatcher,43,138.96021697432428,4,3,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,2
org.springframework.ws.test.client.WebServiceMessageMatcherAdapter,45,203.92777161836926,4,5,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
org.springframework.ws.test.client.MockWebServiceMessageSender,87,588.1970001063727,15,7,10,10,2,2,4,0,6,6,0.3333333333333333,1,0.8,0,0,0.0,5,2,0,2,13
org.springframework.ws.test.client.ResponseCreators,222,1207.142896547321,37,13,21,21,0,0,120,120,0,2,-0.12380952380952381,0,0.0,0,0,0.0,16,0,0,0,37
org.springframework.ws.test.client.ErrorResponseCreator,51,209.73349691841702,3,4,0,0,1,1,2,1,1,1,-1.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,6
org.springframework.ws.test.client.ExceptionResponseCreator,55,267.92738085016776,3,4,0,0,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,6
