class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.google.common.truth.ComparableSubject,113,856.5108319937267,22,2,14,14,1,1,0,0,28,28,1.0,0,1.0,0,0,0.0,8,1,0,1,16
com.google.common.truth.PrimitiveFloatArraySubject,274,3064.9667661077383,25,7,15,15,2,2,35,25,10,13,0.1111111111111111,7,0.3,0,0,0.0,10,2,0,2,31
com.google.common.truth.MultisetSubject,43,258.9678025893902,7,3,5,5,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.PrimitiveLongArraySubject,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.ObjectArraySubject,38,174.6730895011062,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.IntegerSubject,42,325.10736293989606,2,1,0,0,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3
com.google.common.truth.ActualValueInference,1517,10159.454585990032,30,24,20,20,2,1,45,45,0,2,-0.19444444444444445,10,0.05,0,0,0.0,10,2,0,2,26
com.google.common.truth.PrimitiveIntArraySubject,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.IterableSubject,2126,12858.897856713662,252,52,205,205,4,3,956,831,125,170,0.11980676328502415,13,0.1276595744680851,0,0,0.0,47,4,0,3,130
com.google.common.truth.ExpectFailure,243,2420.5462277219112,41,10,27,27,4,3,78,65,13,26,0.16666666666666666,4,0.19642857142857142,0,0,0.0,14,4,0,4,39
com.google.common.truth.BigDecimalSubject,100,703.0311426967836,16,4,9,9,1,1,20,19,1,5,-0.06666666666666667,5,0.2857142857142857,0,0,0.0,7,1,0,1,14
com.google.common.truth.TruthFailureSubject,189,2084.2407798519957,42,7,33,33,3,3,30,24,6,11,0.10714285714285714,3,0.2222222222222222,0,0,0.0,9,3,0,2,33
com.google.common.truth.PrimitiveBooleanArraySubject,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.StringSubject,297,1926.8458610655298,65,8,47,47,1,1,33,0,120,120,0.7573529411764706,2,0.8888888888888888,0,0,0.0,18,1,0,1,46
com.google.common.truth.ClassSubject,44,272.87339598377196,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.MultimapSubject,835,5567.1536335498195,147,33,120,120,2,2,246,141,105,126,0.3076923076923077,19,0.3148148148148148,0,0,0.0,27,2,0,2,83
com.google.common.truth.PrimitiveCharArraySubject,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.Expect,258,2391.041364691067,17,20,11,11,2,2,5,0,10,10,0.5,4,0.4166666666666667,0,0,0.0,6,2,0,1,14
com.google.common.truth.GraphMatching,262,3168.0135356450505,4,10,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
com.google.common.truth.ComparisonFailureWithFacts,160,1125.3426989698598,28,13,21,21,3,2,18,15,3,7,0.06666666666666667,3,0.23809523809523808,0,0,0.0,7,3,0,2,21
com.google.common.truth.StackTraceCleaner,429,2807.142564868193,71,12,54,54,12,9,119,102,17,30,0.11666666666666667,1,0.12745098039215685,0,0,0.0,17,12,0,11,59
com.google.common.truth.MathUtil,64,449.4400078568538,10,1,5,5,0,0,10,10,0,2,-0.3333333333333333,0,0.0,0,0,0.0,5,0,0,0,15
com.google.common.truth.ThrowableSubject,87,780.0413030159699,19,1,14,14,1,1,7,4,3,3,-0.16666666666666666,2,0.6,0,0,0.0,5,1,0,1,16
com.google.common.truth.LongSubject,82,574.3845109903218,10,1,4,4,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,7
com.google.common.truth.Subject,1192,10399.846229210912,266,33,196,196,9,7,2222,2029,193,311,0.10315430520034101,8,0.06031746031746032,0,0,0.0,70,9,0,8,200
com.google.common.truth.PrimitiveDoubleArraySubject,269,2970.7882377940946,25,7,15,15,2,2,35,25,10,13,0.1111111111111111,7,0.3,0,0,0.0,10,2,0,2,31
com.google.common.truth.StandardSubjectBuilder,234,2104.905491554662,73,10,38,38,1,1,594,593,1,33,-0.0017825311942959,33,0.05714285714285714,0,0,0.0,35,1,0,1,76
com.google.common.truth.GuavaOptionalSubject,84,661.0965626084999,23,4,19,19,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,11
com.google.common.truth.PrimitiveByteArraySubject,38,159.6794379266619,5,2,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.common.truth.TableSubject,112,640.7207875202731,54,7,41,41,1,1,23,0,55,57,0.6818181818181818,2,0.8461538461538461,0,0,0.0,13,1,0,1,27
com.google.common.truth.Correspondence,787,8749.475257499833,22,17,7,7,0,0,105,105,0,2,-0.13186813186813187,0,0.0,0,0,0.0,15,0,0,0,62
com.google.common.truth.FloatSubject,323,2994.6453252559822,72,10,52,52,3,3,144,98,46,56,0.21637426900584794,7,0.25,0,0,0.0,20,3,0,3,40
com.google.common.truth.MapSubject,798,5490.208891532863,106,27,84,84,5,4,164,97,67,74,0.2523809523809524,4,0.16363636363636364,0,0,0.0,22,5,0,5,58
com.google.common.truth.DoubleSubject,317,2945.9531580939606,71,10,51,51,2,2,154,118,36,46,0.15789473684210525,15,0.25,0,0,0.0,20,2,0,2,40
