class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.google.zxing.PlanarYUVLuminanceSource,168,1482.5975323078571,20,0,11,11,6,2,18,0,18,18,0.35714285714285715,0,0.5555555555555556,0,0,0.0,9,6,0,6,25
com.google.zxing.RGBLuminanceSource,136,1058.835904952673,12,0,6,6,5,2,5,0,10,10,0.5,0,0.8,0,0,0.0,6,5,0,5,18
com.google.zxing.client.result.URIParsedResult,86,620.1846010824277,17,0,10,10,2,1,4,0,17,17,0.7333333333333333,3,0.6428571428571429,0,0,0.0,7,2,0,2,17
com.google.zxing.client.result.TelParsedResult,57,242.20935432292956,7,0,2,2,3,1,4,0,6,6,0.3333333333333333,1,0.5333333333333333,0,0,0.0,5,3,0,3,9
com.google.zxing.client.result.ProductParsedResult,52,223.8450765173792,5,0,0,0,2,1,3,0,7,7,0.5,2,0.6,0,0,0.0,5,2,0,2,8
com.google.zxing.client.result.CalendarParsedResult,259,1784.9311073365336,47,10,28,28,14,7,144,117,27,31,0.08496732026143791,1,0.13533834586466165,0,0,0.0,19,14,0,14,57
com.google.zxing.client.result.WifiParsedResult,97,465.7741539393995,14,0,2,2,8,2,41,16,25,25,0.2545454545454545,1,0.28125,0,0,0.0,12,8,0,8,24
com.google.zxing.client.result.EmailAddressParsedResult,99,575.8716589926182,12,0,2,2,5,2,31,17,14,14,0.1388888888888889,1,0.32,0,0,0.0,10,5,0,5,19
com.google.zxing.client.result.VINParsedResult,106,485.38629647686395,13,0,2,2,9,3,38,21,17,17,0.15555555555555556,1,0.25252525252525254,0,0,0.0,11,9,0,9,24
com.google.zxing.client.result.AddressBookParsedResult,220,1350.4949341321926,21,0,2,2,16,2,132,93,39,39,0.13725490196078433,1,0.17105263157894737,0,0,0.0,19,16,0,16,44
com.google.zxing.client.result.ISBNParsedResult,42,160.34129279669207,3,0,0,0,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,5
com.google.zxing.client.result.GeoParsedResult,104,604.8281323159679,11,0,4,4,4,2,6,0,15,15,0.6,1,0.5714285714285714,0,0,0.0,7,4,0,4,17
com.google.zxing.client.result.ExpandedProductParsedResult,199,962.610078352423,22,2,3,3,17,2,125,79,46,46,0.1830065359477124,1,0.17647058823529413,0,0,0.0,19,17,2,15,43
com.google.zxing.qrcode.QRCodeWriter,118,863.3505137035738,19,10,16,16,1,1,3,3,0,2,0.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,14
com.google.zxing.qrcode.encoder.MaskUtil,222,2161.1252893439655,29,0,20,20,4,1,36,36,0,3,-0.17857142857142858,2,0.1111111111111111,0,0,0.0,9,4,0,4,36
com.google.zxing.qrcode.encoder.QRCode,108,548.8346593349972,15,3,2,2,6,5,56,34,22,22,0.15151515151515152,2,0.23076923076923078,0,0,0.0,13,6,1,5,23
com.google.zxing.aztec.encoder.Encoder,346,3122.269875021277,44,4,33,33,5,2,54,53,1,11,0.022222222222222223,2,0.10909090909090909,0,0,0.0,11,5,2,3,38
com.google.zxing.qrcode.encoder.MatrixUtil,476,2141.066126054343,84,4,64,64,7,2,189,188,1,23,0.023391812865497075,3,0.05714285714285714,0,0,0.0,20,7,0,7,63
com.google.zxing.qrcode.decoder.Version,577,4576.522047446901,24,2,12,12,6,4,47,28,19,21,0.18181818181818182,2,0.20833333333333334,0,0,0.0,12,6,0,6,35
com.google.zxing.qrcode.decoder.FormatInformation,157,1021.4020419657694,13,0,5,5,4,4,19,10,9,11,0.19047619047619047,2,0.3125,0,0,0.0,8,4,0,4,24
com.google.zxing.qrcode.decoder.DecodedBitStreamParser,360,1870.9544112458073,55,11,46,46,2,2,36,36,0,8,0.0,8,0.1111111111111111,0,0,0.0,9,2,0,2,49
com.google.zxing.datamatrix.DataMatrixWriter,198,1573.9545180346665,29,12,25,25,0,0,6,6,0,3,0.0,0,0.0,0,0,0.0,4,0,0,0,17
com.google.zxing.datamatrix.encoder.SymbolInfo,236,1564.241105498946,39,1,18,18,10,3,170,130,40,60,0.21052631578947367,2,0.16666666666666666,0,0,0.0,21,10,2,7,48
com.google.zxing.datamatrix.encoder.ErrorCorrection,179,1326.5010673520123,21,0,17,17,5,3,6,6,0,3,0.0,1,0.2,0,0,0.0,4,5,0,5,17
com.google.zxing.qrcode.decoder.DecodedBitStreamParser,360,1870.9544112458073,55,11,46,46,2,2,36,36,0,8,0.0,8,0.1111111111111111,0,0,0.0,9,2,0,2,49
com.google.zxing.pdf417.PDF417Writer,177,1391.0536978379776,29,10,24,24,2,1,10,10,0,4,0.0,4,0.2,0,0,0.0,5,2,0,2,22
com.google.zxing.datamatrix.encoder.ErrorCorrection,179,1326.5010673520123,21,0,17,17,5,3,6,6,0,3,0.0,1,0.2,0,0,0.0,4,5,0,5,17
com.google.zxing.oned.EAN13Writer,110,710.6684522900638,9,6,7,7,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,13
com.google.zxing.oned.EAN8Writer,108,719.5370758706724,9,6,7,7,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,13
com.google.zxing.oned.CodaBarWriter,129,855.1845873673577,6,0,5,5,4,2,0,0,0,0,1.0,0,1.0,0,0,0.0,1,4,0,4,9
com.google.zxing.oned.UPCAWriter,55,310.6430270522494,4,6,2,2,1,1,1,1,0,1,0.0,1,0.5,0,0,0.0,2,1,0,1,9
com.google.zxing.oned.Code39Writer,149,1193.30917141533,14,5,10,10,0,0,6,6,0,2,-0.3333333333333333,0,0.0,0,0,0.0,4,0,0,0,21
com.google.zxing.oned.Code93Reader,296,2143.9421816278996,42,10,34,34,6,5,21,14,7,11,0.19047619047619047,1,0.22916666666666666,0,0,0.0,8,6,0,3,38
com.google.zxing.oned.ITFWriter,97,686.4374131928894,7,5,5,5,5,3,1,1,0,0,-2.0,0,0.3,0,0,0.0,2,5,0,5,10
com.google.zxing.oned.Code128Writer,295,1543.2652291616819,16,7,12,12,17,3,3,0,3,3,0.0,0,0.3382352941176471,0,0,0.0,4,17,0,17,23
com.google.zxing.oned.Code93Writer,186,1656.1545082125124,19,5,13,13,0,0,15,15,0,4,-0.1,0,0.0,0,0,0.0,6,0,0,0,26
com.google.zxing.oned.UPCEWriter,106,729.2839732099203,10,6,8,8,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,14
com.google.zxing.common.BitMatrix,481,4587.83958443733,58,1,30,30,4,2,147,0,231,238,0.6011396011396012,4,0.5446428571428571,0,0,0.0,28,4,0,4,79
com.google.zxing.common.StringUtils,197,1447.2854034819363,5,3,3,3,7,2,1,1,0,0,-2.0,0,0.35714285714285715,0,0,0.0,2,7,2,5,7
com.google.zxing.common.PerspectiveTransform,156,1612.8086641845796,13,0,5,5,9,1,13,0,15,20,0.6190476190476191,0,0.6527777777777778,0,0,0.0,8,9,0,9,24
com.google.zxing.common.BitSource,111,1090.6696428190028,7,0,2,2,3,2,3,0,7,7,0.5,1,0.6,0,0,0.0,5,3,0,3,13
com.google.zxing.common.BitArray,357,3263.6318502385425,45,1,18,18,2,2,62,0,289,292,0.8184615384615385,7,0.7407407407407407,0,0,0.0,27,2,0,2,72
com.google.zxing.common.reedsolomon.GenericGFPoly,271,2064.772214304781,46,0,34,34,2,2,8,0,58,64,0.9636363636363636,3,0.75,0,0,0.0,12,2,0,2,50
com.google.zxing.common.detector.MathUtils,78,776.805340430662,7,0,2,2,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,14
com.google.zxing.client.j2se.ImageReader,68,404.18037973623757,16,6,13,13,1,1,3,3,0,1,-1.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,10
com.google.zxing.client.j2se.MatrixToImageWriter,164,1138.6525915232212,29,8,20,20,1,1,33,30,3,14,0.21428571428571427,6,0.3333333333333333,0,0,0.0,9,1,0,1,30
com.google.zxing.client.j2se.CommandLineRunner,167,1472.2271825923685,47,16,41,41,0,0,15,15,0,6,0.1,0,0.0,0,0,0.0,6,0,0,0,29
com.google.zxing.client.j2se.DecodeWorker,257,2089.178619125674,56,30,49,49,6,4,18,15,3,8,0.13333333333333333,1,0.2619047619047619,0,0,0.0,7,6,0,6,29
com.google.zxing.client.j2se.CommandLineEncoder,65,289.4112119278673,12,8,10,10,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5
com.google.zxing.web.DoSFilter,95,569.1324422505946,22,12,18,18,2,2,4,2,2,3,0.0,2,0.5,0,0,0.0,4,2,0,2,12
com.google.zxing.web.HTTPSFilter,46,213.80867022016835,7,7,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4
com.google.zxing.web.OutputUtils,58,476.45232901804144,6,0,3,3,2,1,3,3,0,1,-1.0,2,0.3333333333333333,0,0,0.0,3,2,0,2,10
com.google.zxing.web.LRUMap,42,201.0033075937546,3,2,1,1,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
com.google.zxing.web.ChartServletRequestParameters,75,262.2581060798008,7,2,0,0,6,4,15,9,6,6,0.0,1,0.2857142857142857,0,0,0.0,7,6,0,6,13
