class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.google.common.css.SourceCodeLocation,false,false,false,false,false,false,false,false
com.google.common.css.IdentitySubstitutionMap,false,false,false,false,false,false,false,false
com.google.common.css.SplittingSubstitutionMap,false,false,true,false,false,false,false,false
com.google.common.css.JobDescriptionBuilder,false,false,false,false,true,false,true,false
com.google.common.css.RecordingSubstitutionMap,false,false,false,false,false,false,false,false
com.google.common.css.MinimalSubstitutionMap,false,false,false,false,false,false,false,false
com.google.common.css.PrefixingSubstitutionMap,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.BooleanExpressionEvaluator,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.CreateComponentNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.CollectMixinDefinitions,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.ColorValueOptimizer,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.CreateDefinitionNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.MarkRemovableRulesetNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.UnsafeMergeRulesetNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.WarnOnCustomProperty,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.LocationBoundingVisitor,false,false,true,false,false,false,false,false
com.google.common.css.compiler.passes.CheckMissingRequire,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.AutoExpandBrowserPrefix,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.ResolveCustomFunctionNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.DelegatingVisitor,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.LoopVariableReplacementPass,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.CreateForLoopNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.HasConditionalNodes,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.MergeAdjacentRulesetNodesWithSameSelector,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.CheckDependencyNodes,false,false,false,false,false,false,true,false
com.google.common.css.compiler.passes.ValidatePropertyValues,false,false,false,false,false,false,true,false
com.google.common.css.compiler.passes.ResolveCustomFunctionNodesForChunks,false,false,false,false,false,false,true,false
com.google.common.css.compiler.passes.CreateStandardAtRuleNodes,false,false,true,false,true,false,true,false
com.google.common.css.compiler.passes.ProcessComponents,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.ProcessKeyframes,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.RemoveVendorSpecificProperties,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.CreateConstantReferences,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.CreateVendorPrefixedKeyframes,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.MergeAdjacentRulesetNodesWithSameDeclarations,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.CreateConditionalNodes,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.ReplaceConstantReferences,false,false,true,false,false,false,true,false
com.google.common.css.compiler.passes.EliminateUselessRulesetNodes,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.StrictCss3,false,false,false,false,false,false,true,false
com.google.common.css.compiler.passes.CodeBuffer,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.TemplateCompactPrinter,false,false,false,false,false,false,false,false
com.google.common.css.compiler.passes.FixupFontDeclarations,false,false,true,false,true,false,true,false
com.google.common.css.compiler.passes.HandleUnknownAtRuleNodes,false,false,false,false,false,false,false,false
