class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.bcel.generic.ElementValueGen,true,false,false,false,false,false,false,false
org.apache.bcel.classfile.LocalVariableTypeTable,false,false,false,false,false,false,false,false
org.apache.bcel.util.InstructionFinder,false,false,true,false,false,false,true,false
org.apache.bcel.generic.BranchHandle,false,false,false,false,false,false,false,false
org.apache.bcel.generic.MethodGen,false,false,true,false,true,false,true,true
org.apache.bcel.generic.InstructionHandle,false,false,false,false,false,false,false,false
org.apache.bcel.generic.Type,true,false,false,false,false,false,false,false
org.apache.bcel.classfile.Utility,false,false,true,false,true,true,true,true
org.apache.bcel.classfile.LocalVariable,false,false,false,false,false,false,false,false
org.apache.bcel.classfile.ConstantPool,false,false,true,false,false,false,false,false
org.apache.bcel.classfile.CodeException,false,false,false,false,false,false,false,false
org.apache.bcel.verifier.Verifier,false,false,false,false,false,false,false,false
org.apache.bcel.verifier.structurals.UninitializedObjectType,false,false,false,false,false,false,false,false
org.apache.bcel.verifier.statics.Pass2Verifier,false,false,true,false,false,false,true,true
org.apache.bcel.util.Class2HTML,false,false,false,false,false,false,true,false
org.apache.bcel.util.LruCacheClassPathRepository,false,false,false,false,false,false,false,false
org.apache.bcel.util.ClassPath,false,false,true,false,true,false,true,false
org.apache.bcel.util.ClassPathRepository,false,false,false,false,false,false,false,false
org.apache.bcel.util.BCELifier,false,false,true,false,false,false,true,false
org.apache.bcel.util.ModularRuntimeImage,false,false,false,false,false,false,true,false
