class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.cli.BasicParser,false,false,false,false,false,false,false,false
org.apache.commons.cli.PatternOptionBuilder,false,false,true,false,false,false,false,false
org.apache.commons.cli.Options,false,false,false,false,false,false,false,false
org.apache.commons.cli.Option,false,false,false,false,true,false,false,true
org.apache.commons.cli.CommandLine,false,false,false,false,false,false,false,false
org.apache.commons.cli.OptionGroup,false,false,false,false,false,false,false,false
org.apache.commons.cli.GnuParser,false,false,false,false,false,false,false,false
org.apache.commons.cli.DefaultParser,false,false,true,false,true,false,false,false
org.apache.commons.cli.OptionBuilder,false,false,false,false,false,false,false,false
org.apache.commons.cli.Util,false,false,false,false,false,false,false,false
org.apache.commons.cli.PosixParser,false,false,true,false,false,false,false,false
org.apache.commons.cli.HelpFormatter,true,false,true,false,true,false,true,true
