class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.codec.Charsets,false,false,false,false,false,false,false,false
org.apache.commons.codec.StringEncoderComparator,false,false,false,false,false,false,false,false
org.apache.commons.codec.net.QCodec,false,false,false,false,false,false,false,false
org.apache.commons.codec.net.URLCodec,false,false,false,false,false,false,true,false
org.apache.commons.codec.net.Utils,false,false,false,false,false,false,false,false
org.apache.commons.codec.net.RFC1522Codec,false,false,false,false,false,false,false,false
org.apache.commons.codec.net.QuotedPrintableCodec,false,false,false,false,true,false,true,false
org.apache.commons.codec.net.PercentCodec,false,false,false,false,false,false,false,false
org.apache.commons.codec.net.BCodec,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.DaitchMokotoffSoundex,false,false,true,false,false,false,true,false
org.apache.commons.codec.language.Caverphone2,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.Metaphone,false,false,true,false,false,false,false,false
org.apache.commons.codec.language.Nysiis,false,false,true,false,false,false,false,false
org.apache.commons.codec.language.DoubleMetaphone,false,false,true,false,true,true,false,true
org.apache.commons.codec.language.MatchRatingApproachEncoder,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.ColognePhonetic,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.RefinedSoundex,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.Caverphone1,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.Soundex,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.bm.BeiderMorseEncoder,false,false,false,false,false,false,false,false
org.apache.commons.codec.language.bm.PhoneticEngine,false,false,true,false,false,false,true,false
org.apache.commons.codec.language.bm.Rule,false,false,true,false,true,false,true,false
org.apache.commons.codec.binary.BinaryCodec,false,false,false,false,false,false,false,false
org.apache.commons.codec.binary.Base32,false,false,false,false,true,false,false,false
org.apache.commons.codec.binary.BaseNCodec,false,false,false,false,true,false,false,false
org.apache.commons.codec.binary.StringUtils,false,false,false,false,false,false,false,false
org.apache.commons.codec.binary.Hex,false,false,false,false,false,false,false,false
org.apache.commons.codec.binary.Base64,false,false,false,false,true,false,false,false
org.apache.commons.codec.digest.DigestUtils,false,false,false,false,true,false,true,true
org.apache.commons.codec.digest.PureJavaCrc32C,false,false,false,false,false,false,false,false
org.apache.commons.codec.digest.Crypt,false,false,false,false,false,false,false,false
org.apache.commons.codec.digest.B64,false,false,false,false,false,false,false,false
org.apache.commons.codec.digest.MurmurHash2,false,false,false,false,false,false,false,false
org.apache.commons.codec.digest.HmacUtils,false,false,false,false,true,false,true,true
org.apache.commons.codec.digest.MessageDigestAlgorithms,true,false,false,false,false,false,false,false
org.apache.commons.codec.digest.UnixCrypt,false,false,false,false,false,false,false,false
org.apache.commons.codec.digest.Md5Crypt,false,false,true,false,false,false,false,false
org.apache.commons.codec.digest.Sha2Crypt,false,false,true,false,false,true,false,false
org.apache.commons.codec.digest.MurmurHash3,false,false,false,false,true,false,false,true
org.apache.commons.codec.digest.XXHash32,false,false,false,false,false,false,false,false
org.apache.commons.codec.digest.PureJavaCrc32,false,false,false,false,false,false,false,false
