class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.configuration2.PropertiesConfiguration,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.MapConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.SystemConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.ConfigurationMap,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.StrictConfigurationComparator,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.INIConfiguration,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.XMLDocumentHelper,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.XMLConfiguration,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.BaseConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.DatabaseConfiguration,false,false,true,false,true,false,true,false
org.apache.commons.configuration2.ConfigurationConverter,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.AbstractConfiguration,false,false,false,false,true,false,true,true
org.apache.commons.configuration2.CombinedConfiguration,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.resolver.CatalogResolver,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.YAMLConfiguration,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.JNDIConfiguration,false,false,true,false,false,false,true,false
org.apache.commons.configuration2.HierarchicalConfigurationXMLReader,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.DataConfiguration,false,false,false,false,true,false,true,true
org.apache.commons.configuration2.JSONConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,false,false,true,false,true,false,true,false
org.apache.commons.configuration2.BaseConfigurationXMLReader,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.XMLPropertiesConfiguration,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.PropertiesConfigurationLayout,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.CompositeConfiguration,false,false,false,false,true,false,false,false
org.apache.commons.configuration2.SubnodeConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.DynamicCombinedConfiguration,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.ConfigurationUtils,false,false,false,false,true,false,true,false
org.apache.commons.configuration2.ConfigurationLookup,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.SubsetConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.BasePathLocationStrategy,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.FileLocator,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.ClasspathLocationStrategy,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.CombinedLocationStrategy,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.FileHandler,false,false,false,false,true,false,true,true
org.apache.commons.configuration2.io.AbsoluteNameLocationStrategy,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.DefaultFileSystem,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.io.ProvidedURLLocationStrategy,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.HomeDirectoryLocationStrategy,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.io.FileSystemLocationStrategy,false,false,false,false,false,false,false,false
