class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.dbutils.AsyncQueryRunner,false,false,false,false,true,false,false,false
org.apache.commons.dbutils.ResultSetIterator,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.QueryRunner,false,false,true,false,true,false,false,false
org.apache.commons.dbutils.GenerousBeanProcessor,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.BeanProcessor,false,false,true,false,false,false,true,false
org.apache.commons.dbutils.QueryLoader,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.OutParameter,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.DbUtils,false,false,false,false,false,false,true,false
org.apache.commons.dbutils.BasicRowProcessor,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.ProxyFactory,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.StatementConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.BaseResultSetHandler,false,false,false,false,true,false,true,true
org.apache.commons.dbutils.handlers.BeanListHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.KeyedHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.BeanMapHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.MapListHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.BeanHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.MapHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.ArrayHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.ColumnListHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.ScalarHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.ArrayListHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.properties.DatePropertyHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.properties.StringEnumPropertyHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.ByteColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.FloatColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.LongColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.ShortColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.TimestampColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.IntegerColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.DoubleColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.BooleanColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.SQLXMLColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.handlers.columns.StringColumnHandler,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.wrappers.StringTrimmedResultSet,false,false,false,false,false,false,false,false
org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSet,false,false,false,false,true,false,true,false
