class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.mail.MultiPartEmail,false,false,true,false,true,false,true,false
org.apache.commons.mail.HtmlEmail,false,false,true,false,false,false,true,false
org.apache.commons.mail.EmailAttachment,false,false,false,false,false,false,false,false
org.apache.commons.mail.EmailUtils,false,false,false,false,false,false,false,false
org.apache.commons.mail.Email,true,false,true,false,true,false,true,true
org.apache.commons.mail.ImageHtmlEmail,false,false,true,false,false,false,false,false
org.apache.commons.mail.DefaultAuthenticator,false,false,false,false,false,false,false,false
org.apache.commons.mail.SimpleEmail,false,false,false,false,false,false,false,false
org.apache.commons.mail.util.MimeMessageParser,false,false,true,false,false,false,true,false
org.apache.commons.mail.util.IDNEmailAddressConverter,false,false,false,false,false,false,false,false
org.apache.commons.mail.resolver.DataSourceUrlResolver,false,false,false,false,false,false,false,false
org.apache.commons.mail.resolver.DataSourceCompositeResolver,false,false,false,false,false,false,false,false
org.apache.commons.mail.resolver.DataSourceFileResolver,false,false,false,false,false,false,false,false
org.apache.commons.mail.resolver.DataSourceClassPathResolver,false,false,false,false,false,false,false,false
