class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.imaging.Imaging,false,false,false,false,true,false,true,true
org.apache.commons.imaging.ImageDump,false,false,false,false,false,false,false,false
org.apache.commons.imaging.palette.SimplePalette,false,false,false,false,false,false,false,false
org.apache.commons.imaging.palette.Dithering,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorCieLuv,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorCmy,true,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorCieLab,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorCmyk,true,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorHunterLab,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorXyz,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorConversions,false,false,false,false,true,false,false,false
org.apache.commons.imaging.color.ColorHsl,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorHsv,false,false,false,false,false,false,false,false
org.apache.commons.imaging.color.ColorCieLch,false,false,false,false,false,false,false,false
org.apache.commons.imaging.common.RationalNumber,false,false,false,false,false,false,false,false
org.apache.commons.imaging.common.RgbBufferedImageFactory,false,false,false,false,false,false,false,false
org.apache.commons.imaging.common.bytesource.ByteSource,false,false,false,false,false,false,false,false
org.apache.commons.imaging.common.bytesource.ByteSourceInputStream,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.bmp.BmpWriterRgb,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.TiffTags,false,false,false,false,false,false,true,false
org.apache.commons.imaging.formats.tiff.TiffRasterStatistics,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.TiffRasterData,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.JpegImageData,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.write.TiffOutputSet,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.write.TiffOutputDirectory,false,false,true,false,true,false,true,false
org.apache.commons.imaging.formats.tiff.fieldtypes.FieldType,true,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.fieldtypes.FieldTypeLong,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.fieldtypes.FieldTypeByte,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.datareaders.DataReaderStrips,false,false,false,false,false,false,true,false
org.apache.commons.imaging.formats.tiff.photometricinterpreters.PhotometricInterpreterRgb,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.photometricinterpreters.PhotometricInterpreterLogLuv,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PhotometricInterpreterFloat,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PaletteEntryForRange,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PaletteEntryForValue,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoSShort,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoByteOrShort,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoSLong,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoByte,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoSBytes,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoSByte,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoSShorts,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.pcx.RleReader,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.PngCrc,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.PhysicalScale,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.chunks.PngChunkIccp,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.chunks.PngChunkText,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.chunks.PngChunkScal,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.transparencyfilters.TransparencyFilterIndexedColor,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.scanlinefilters.ScanlineFilterUp,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.scanlinefilters.ScanlineFilterPaeth,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.png.scanlinefilters.ScanlineFilterAverage,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.psd.ImageResourceType,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.psd.ImageResourceBlock,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.psd.dataparsers.DataParserIndexed,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.psd.dataparsers.DataParserLab,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.psd.dataparsers.DataParserCmyk,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.psd.dataparsers.DataParserGrayscale,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.pnm.WhiteSpaceReader,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.pnm.PbmFileInfo,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.pnm.PgmFileInfo,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.pnm.PnmImageParser,false,false,true,false,false,false,true,false
org.apache.commons.imaging.formats.pnm.PpmFileInfo,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.iptc.IptcTypeLookup,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.iptc.IptcParser,false,false,true,false,false,false,true,false
org.apache.commons.imaging.formats.jpeg.xmp.JpegXmpParser,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.decoder.JpegDecoder,false,false,true,false,true,true,true,false
org.apache.commons.imaging.formats.jpeg.decoder.JpegInputStream,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.decoder.Dct,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.JpegImageParser,false,false,true,false,true,true,true,false
org.apache.commons.imaging.formats.jpeg.segments.App2Segment,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.segments.JfifSegment,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.segments.AppnSegment,false,false,false,false,false,false,false,false
org.apache.commons.imaging.formats.jpeg.segments.SosSegment,false,false,false,false,false,false,false,false
