class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.net.SocketClient,false,false,false,false,true,false,true,false
org.apache.commons.net.util.SubnetUtils,false,false,false,false,false,false,false,false
org.apache.commons.net.io.DotTerminatedMessageReader,false,false,false,false,false,false,false,false
org.apache.commons.net.io.ToNetASCIIInputStream,false,false,false,false,false,false,false,false
org.apache.commons.net.ftp.FTPClientConfig,true,false,false,false,true,false,false,false
org.apache.commons.net.ftp.FTPCommand,true,false,false,false,false,false,false,false
org.apache.commons.net.ftp.FTPClient,false,false,true,false,true,false,true,true
org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory,false,false,false,false,false,false,false,false
org.apache.commons.net.ftp.parser.OS2FTPEntryParser,false,false,false,false,false,false,false,false
org.apache.commons.net.ftp.parser.MacOsPeterFTPEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.OS400FTPEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.NTFTPEntryParser,false,false,false,false,false,false,false,false
org.apache.commons.net.ftp.parser.UnixFTPEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.VMSFTPEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.EnterpriseUnixFTPEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.FTPTimestampParserImpl,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.MVSFTPEntryParser,false,false,false,false,true,false,false,false
org.apache.commons.net.ftp.parser.MLSxEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.ftp.parser.NetwareFTPEntryParser,false,false,true,false,false,false,false,false
org.apache.commons.net.telnet.TerminalTypeOptionHandler,false,false,false,false,false,false,false,false
org.apache.commons.net.telnet.EchoOptionHandler,false,false,false,false,false,false,false,false
org.apache.commons.net.telnet.WindowSizeOptionHandler,false,false,false,false,false,false,false,false
org.apache.commons.net.telnet.InvalidTelnetOptionException,false,false,false,false,false,false,false,false
org.apache.commons.net.telnet.TelnetOption,true,false,false,false,false,false,false,false
org.apache.commons.net.telnet.SimpleOptionHandler,false,false,false,false,false,false,false,false
org.apache.commons.net.telnet.SuppressGAOptionHandler,false,false,false,false,false,false,false,false
org.apache.commons.net.pop3.POP3Client,false,false,false,false,false,false,false,false
org.apache.commons.net.ntp.TimeStamp,false,false,false,false,false,false,false,false
org.apache.commons.net.io.Util,false,false,false,false,false,false,false,false
org.apache.commons.net.util.Base64,false,false,false,false,true,false,false,true
org.apache.commons.net.examples.Main,false,false,true,false,false,false,false,false
org.apache.commons.net.imap.IMAP,false,false,true,false,true,false,false,false
org.apache.commons.net.time.TimeTCPClient,false,false,false,false,false,false,false,false
org.apache.commons.net.tftp.TFTP,false,false,false,false,false,false,false,false
