class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.numbers.quaternion.Quaternion,false,false,false,false,true,false,false,false
org.apache.commons.numbers.quaternion.Slerp,false,false,false,false,false,false,false,false
org.apache.commons.numbers.core.Precision,false,false,false,false,false,false,false,false
org.apache.commons.numbers.core.ArithmeticUtils,false,false,false,false,false,false,false,false
org.apache.commons.numbers.complex.Complex,false,false,true,false,true,true,false,true
org.apache.commons.numbers.primes.Primes,false,false,false,false,false,false,false,false
org.apache.commons.numbers.primes.SmallPrimes,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.Erf,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.Gamma,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.InverseErfc,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.Digamma,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.LanczosApproximation,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.LogGamma1p,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.InverseErf,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.LogBeta,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.ErfDifference,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.InvGamma1pm1,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.LogGammaSum,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.LogGamma,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.RegularizedBeta,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.Erfc,false,false,false,false,false,false,false,false
org.apache.commons.numbers.gamma.Trigamma,false,false,false,false,false,false,false,false
org.apache.commons.numbers.rootfinder.BrentSolver,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.Factorial,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.Combinations,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.LogFactorial,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.BinomialCoefficient,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.LogBinomialCoefficient,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.BinomialCoefficientDouble,false,false,false,false,false,false,false,false
org.apache.commons.numbers.combinatorics.FactorialDouble,false,false,false,false,false,false,false,false
org.apache.commons.numbers.fraction.BigFraction,false,false,false,false,true,false,false,true
org.apache.commons.numbers.fraction.ContinuedFraction,false,false,false,false,false,false,false,false
org.apache.commons.numbers.fraction.Fraction,false,false,false,false,true,false,false,false
org.apache.commons.numbers.arrays.LinearCombination,false,false,false,false,false,false,false,false
org.apache.commons.numbers.arrays.SafeNorm,false,false,false,false,false,false,false,false
org.apache.commons.numbers.arrays.MultidimensionalCounter,false,false,false,false,false,false,false,false
org.apache.commons.numbers.arrays.CosAngle,false,false,false,false,false,false,false,false
org.apache.commons.numbers.field.FP64,false,false,false,false,false,false,false,false
org.apache.commons.numbers.angle.PlaneAngleRadians,false,false,false,false,false,false,false,false
org.apache.commons.numbers.angle.PlaneAngle,false,false,false,false,false,false,false,false
