class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.pool2.ObjectPool,false,false,false,false,false,false,false,false
org.apache.commons.pool2.KeyedObjectPool,false,false,false,false,false,false,false,false
org.apache.commons.pool2.PoolUtils,false,false,false,false,true,false,true,true
org.apache.commons.pool2.BaseObjectPool,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.BaseGenericObjectPool,false,false,true,false,true,false,true,true
org.apache.commons.pool2.impl.DefaultPooledObjectInfo,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.EvictionConfig,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.LinkedBlockingDeque,false,false,false,false,true,false,false,true
org.apache.commons.pool2.impl.EvictionTimer,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.DefaultPooledObject,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.PoolImplUtils,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.PooledSoftReference,false,false,false,false,false,false,false,false
org.apache.commons.pool2.impl.SoftReferenceObjectPool,false,false,true,false,false,false,false,false
