class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.validator.CreditCardValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.Field,false,false,true,false,true,false,true,false
org.apache.commons.validator.GenericValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.Var,false,false,false,false,false,false,false,false
org.apache.commons.validator.ISBNValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.GenericTypeValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.ValidatorResources,false,false,true,false,true,false,true,false
org.apache.commons.validator.Validator,false,false,false,false,false,false,false,false
org.apache.commons.validator.ValidatorResults,false,false,false,false,false,false,false,false
org.apache.commons.validator.CreditCardValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.ISSNValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.TimeValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.ByteValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.UrlValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.CalendarValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.DateValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.BigDecimalValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.AbstractCalendarValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.EmailValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.DomainValidator,false,false,false,false,true,false,false,true
org.apache.commons.validator.routines.ShortValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.IntegerValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.DoubleValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.IBANValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.CurrencyValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.InetAddressValidator,false,false,true,false,false,false,false,false
org.apache.commons.validator.ISBNValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.FloatValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.ISINValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.AbstractNumberValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.PercentValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.CodeValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.LongValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.BigIntegerValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.RegexValidator,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit,false,false,false,false,false,false,false,false
org.apache.commons.validator.util.Flags,false,false,false,false,false,false,false,false
