class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.google.errorprone.bugpatterns.UndefinedEquals,false,false,true,false,false,false,true,false
com.google.errorprone.bugpatterns.ProtoRedundantSet,false,false,true,false,false,false,true,false
com.google.errorprone.bugpatterns.SizeGreaterThanOrEqualsZero,false,false,true,false,false,false,true,false
com.google.errorprone.bugpatterns.ProtoFieldNullComparison,false,false,true,false,true,false,true,false
com.google.errorprone.bugpatterns.ProtoTruthMixedDescriptors,false,false,true,false,false,false,true,false
com.google.errorprone.bugpatterns.time.ProtoTimestampGetSecondsGetNano,false,false,false,false,false,false,true,false
com.google.errorprone.bugpatterns.time.ProtoDurationGetSecondsGetNano,false,false,false,false,false,false,true,false
com.google.errorprone.refaster.UWildcard,false,false,false,false,false,false,true,false
com.google.errorprone.refaster.Choice,false,false,false,false,false,false,true,false
com.google.errorprone.refaster.UAssignOp,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UTypeParameter,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UPrimitiveTypeTree,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UEnhancedForLoop,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UReturn,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.RefasterRule,false,false,false,false,false,false,true,false
com.google.errorprone.refaster.UVariableDecl,false,false,true,false,false,false,true,false
com.google.errorprone.refaster.ULocalVarIdent,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UBreak,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UIntersectionType,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.USynchronized,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UTypeVar,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.USkip,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UTypeCast,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UInstanceOf,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UMethodType,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UExpressionStatement,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UContinue,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UPrimitiveType,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.Bindings,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UUnionType,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UThrow,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UBlock,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.ULabeledStatement,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UAnnotation,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UArrayType,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UWildcardType,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UForAll,false,false,false,false,false,false,false,false
com.google.errorprone.refaster.UAssign,false,false,false,false,false,false,false,false
com.google.errorprone.BugPatternValidator,false,false,false,false,false,false,false,false
com.google.errorprone.BugPatternFileGenerator,false,false,true,false,false,false,true,false
com.google.errorprone.BugPatternIndexWriter,false,false,true,false,false,false,true,false
com.google.errorprone.ErrorProneFlags,false,false,false,false,false,false,true,false
com.google.errorprone.ErrorProneOptions,false,false,true,false,false,false,true,false
com.google.errorprone.matchers.StringLiteral,false,false,false,false,false,false,false,false
com.google.errorprone.matchers.Description,false,false,false,false,false,false,true,false
com.google.errorprone.fixes.AppliedFix,false,false,false,false,false,false,false,false
com.google.errorprone.fixes.Replacements,false,false,true,false,false,false,true,false
com.google.errorprone.fixes.BranchedSuggestedFixes,false,false,false,false,false,false,false,false
com.google.errorprone.dataflow.LocalStore,false,false,false,false,false,false,true,false
com.google.errorprone.dataflow.AccessPathStore,false,false,false,false,false,false,true,false
com.google.errorprone.names.NamingConventions,false,false,false,false,false,false,false,false
com.google.errorprone.names.NeedlemanWunschEditDistance,false,false,false,false,false,false,false,false
com.google.errorprone.names.TermEditDistance,false,false,false,false,false,false,false,false
com.google.errorprone.apply.AndroidImportOrganizer,false,false,true,false,false,false,true,false
com.google.errorprone.apply.IdeaImportOrganizer,false,false,false,false,false,false,false,false
com.google.errorprone.apply.SourceFile,false,false,false,false,false,false,false,false
com.google.errorprone.apply.ImportStatements,false,false,true,false,false,false,true,false
com.google.errorprone.apply.BasicImportOrganizer,false,false,false,false,false,false,false,false
