class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.pitest.highwheel.losttests.LostTestAnalyser,false,false,false,false,false,false,false,false
org.pitest.highwheel.losttests.TesteeGuesser,false,false,false,false,false,false,false,false
org.pitest.highwheel.cycles.PackageNameGraphGenerator,false,false,false,false,false,false,false,false
org.pitest.highwheel.cycles.PackageGraphGenerator,false,false,false,false,false,false,false,false
org.pitest.highwheel.cycles.PackageDistanceAnalyser,false,false,false,false,false,false,false,false
org.pitest.highwheel.cycles.CycleAnalyser,false,false,false,false,false,false,true,false
org.pitest.highwheel.cycles.ClassDependencyGraphBuildingVisitor,false,false,false,false,false,false,false,false
org.pitest.highwheel.oracle.SimpleFlatFileOracleParser,false,false,true,false,false,false,false,false
org.pitest.highwheel.util.StreamUtil,false,false,false,false,false,false,false,false
org.pitest.highwheel.util.GlobToRegex,false,false,false,false,false,false,false,false
org.pitest.highwheel.report.html.ResourceWriter,false,false,false,false,false,false,false,false
org.pitest.highwheel.report.html.HtmlCycleWriter,false,false,false,false,false,false,false,false
org.pitest.highwheel.report.html.IndexWriter,false,false,false,false,false,false,false,false
org.pitest.highwheel.algorithm.SCCFinder,false,false,false,false,false,false,false,false
org.pitest.highwheel.model.Dependency,false,false,false,false,false,false,false,false
org.pitest.highwheel.model.AccessPointName,false,false,false,false,false,false,false,false
org.pitest.highwheel.model.ElementName,false,false,false,false,false,false,false,false
org.pitest.highwheel.model.AccessPoint,false,false,false,false,false,false,false,false
org.pitest.highwheel.model.Access,false,false,false,false,false,false,false,false
org.pitest.highwheel.ant.ClassPath,false,false,false,false,false,false,false,false
org.pitest.highwheel.ant.AnalyseTask,false,false,false,false,false,false,true,false
org.pitest.highwheel.bytecodeparser.ClassPathParser,false,false,false,false,false,false,false,false
org.pitest.highwheel.bytecodeparser.FilteringDecorator,false,false,false,false,false,false,false,false
org.pitest.highwheel.bytecodeparser.classpath.DirectoryClassPathRoot,false,false,false,false,false,false,false,false
org.pitest.highwheel.bytecodeparser.classpath.ClassLoaderClassPathRoot,false,false,false,false,false,false,false,false
org.pitest.highwheel.bytecodeparser.classpath.ArchiveClassPathRoot,false,false,false,false,false,false,true,false
org.pitest.highwheel.bytecodeparser.classpath.DependencyClassPathRoot,false,false,false,false,false,false,false,false
org.pitest.highwheel.bytecodeparser.classpath.CompoundClassPathRoot,false,false,false,false,false,false,false,false
