class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.fasterxml.jackson.core.JsonpCharacterEscapes,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.Version,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.io.SegmentedStringWriter,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.io.UTF8Writer,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.json.JsonReadContext,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.JsonFactory,false,false,false,false,true,false,true,true
com.fasterxml.jackson.core.format.DataFormatMatcher,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.util.VersionUtil,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.util.RequestPayload,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.util.Separators,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.util.ByteArrayBuilder,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.util.DefaultIndenter,false,false,false,false,false,false,false,false
com.fasterxml.jackson.core.type.TypeReference,false,false,false,false,false,false,false,false
