class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.google.common.jimfs.AttributeService,false,false,true,false,false,false,true,false
com.google.common.jimfs.WindowsPathType,false,false,true,false,false,false,false,false
com.google.common.jimfs.File,false,false,false,false,false,false,false,false
com.google.common.jimfs.BasicAttributeProvider,false,false,false,false,false,false,false,false
com.google.common.jimfs.RegularFile,false,false,false,false,true,false,true,false
com.google.common.jimfs.PollingWatchService,false,false,false,false,false,false,true,false
com.google.common.jimfs.FileFactory,false,false,false,false,false,false,false,false
com.google.common.jimfs.Directory,false,false,false,false,false,false,false,false
com.google.common.jimfs.UnixAttributeProvider,false,false,false,false,false,false,true,false
com.google.common.jimfs.UnixPathType,false,false,false,false,false,false,false,false
com.google.common.jimfs.Configuration,false,false,false,false,true,false,true,false
com.google.common.jimfs.JimfsPath,false,false,true,false,false,false,true,false
com.google.common.jimfs.JimfsAsynchronousFileChannel,false,false,false,false,false,false,true,false
com.google.common.jimfs.AbstractWatchService,false,false,false,false,false,false,true,false
com.google.common.jimfs.JimfsFileChannel,false,false,true,false,true,false,true,false
com.google.common.jimfs.DosAttributeProvider,false,false,false,false,false,false,true,false
com.google.common.jimfs.PathService,false,false,false,false,false,false,true,false
com.google.common.jimfs.Name,false,false,false,false,false,false,false,false
com.google.common.jimfs.HeapDisk,false,false,false,false,false,false,false,false
com.google.common.jimfs.UserLookupService,false,false,false,false,false,false,false,false
com.google.common.jimfs.UserDefinedAttributeProvider,false,false,false,false,false,false,false,false
com.google.common.jimfs.PosixAttributeProvider,false,false,false,false,false,false,true,false
com.google.common.jimfs.AclAttributeProvider,false,false,false,false,false,false,true,false
com.google.common.jimfs.OwnerAttributeProvider,false,false,false,false,false,false,false,false
com.google.common.jimfs.JimfsOutputStream,false,false,false,false,false,false,false,false
com.google.common.jimfs.PathType,false,false,false,false,false,false,false,false
com.google.common.jimfs.FileSystemState,false,false,false,false,false,false,false,false
com.google.common.jimfs.JimfsInputStream,false,false,false,false,false,false,false,false
com.google.common.jimfs.FileTree,false,false,false,false,false,false,true,false
com.google.common.jimfs.WatchServiceConfiguration,false,false,false,false,false,false,false,false
