class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.joda.primitives.collection.impl.ArrayDoubleCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayBooleanCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayCharCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayByteCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayFloatCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayIntCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayShortCollection,false,false,false,false,false,false,false,false
org.joda.primitives.collection.impl.ArrayLongCollection,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayBooleanList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayLongList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayShortList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayByteList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayIntList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayDoubleList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayIntList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayShortList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayCharList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayByteList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayLongList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayDoubleList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayBooleanList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayCharList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ArrayFloatList,false,false,false,false,false,false,false,false
org.joda.primitives.list.impl.ImmutableArrayFloatList,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayShortIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayByteIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayFloatIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayIntIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayLongIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayCharIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayBooleanIterator,false,false,false,false,false,false,false,false
org.joda.primitives.iterator.impl.ArrayDoubleIterator,false,false,false,false,false,false,false,false
