class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.springframework.data.mapping.PropertyReferenceException,false,false,false,false,false,false,true,false
org.springframework.data.mapping.model.PreferredConstructorDiscoverer,false,false,true,false,false,false,true,false
org.springframework.data.mapping.PersistentPropertyAccessor,false,false,true,false,false,false,false,false
org.springframework.data.mapping.PropertyPath,false,false,true,false,false,false,true,false
org.springframework.data.mapping.TargetAwareIdentifierAccessor,false,false,false,false,false,false,false,false
org.springframework.data.repository.query.Parameter,false,false,true,false,false,false,true,false
org.springframework.data.mapping.model.SimpleTypeHolder,false,false,false,false,false,false,false,false
org.springframework.data.mapping.context.PersistentPropertyPathFactory,false,false,true,false,false,false,true,false
org.springframework.data.mapping.context.PersistentEntities,false,false,true,false,false,false,true,false
org.springframework.data.mapping.context.DefaultPersistentPropertyPath,false,false,false,false,false,false,true,false
org.springframework.data.mapping.context.MappingContextEvent,false,false,false,false,false,false,false,false
org.springframework.data.mapping.context.AbstractMappingContext,false,false,true,false,true,false,true,false
org.springframework.data.mapping.callback.DefaultReactiveEntityCallbacks,false,false,true,false,false,false,true,false
org.springframework.data.mapping.callback.EntityCallbackDiscoverer,false,false,true,false,false,false,true,false
org.springframework.data.mapping.callback.DefaultEntityCallbacks,false,false,false,false,false,false,true,false
org.springframework.data.mapping.model.AbstractPersistentProperty,false,false,true,false,false,false,true,false
org.springframework.data.mapping.model.ClassGeneratingEntityInstantiator,false,false,true,false,false,false,true,false
org.springframework.data.mapping.model.IdPropertyIdentifierAccessor,false,false,false,false,false,false,false,false
org.springframework.data.mapping.model.Property,false,false,false,false,false,false,true,false
org.springframework.data.mapping.model.EntityInstantiators,false,false,false,false,false,false,false,false
org.springframework.data.mapping.model.CamelCaseAbbreviatingFieldNamingStrategy,false,false,false,false,false,false,false,false
org.springframework.data.mapping.model.ConvertingPropertyAccessor,false,false,false,false,false,false,false,false
org.springframework.data.mapping.model.PersistentEntityParameterValueProvider,false,false,false,false,false,false,false,false
org.springframework.data.mapping.model.AnnotationBasedPersistentProperty,false,false,false,false,false,false,true,false
org.springframework.data.mapping.model.BasicPersistentEntity,false,false,true,false,true,false,true,false
org.springframework.data.mapping.model.SimplePersistentPropertyPathAccessor,false,false,true,false,false,false,true,false
org.springframework.data.mapping.model.PersistentEntityIsNewStrategy,false,false,false,false,false,false,false,false
org.springframework.data.projection.PropertyAccessingMethodInterceptor,false,false,false,false,false,false,false,false
org.springframework.data.projection.SpelAwareProxyProjectionFactory,false,false,false,false,false,false,true,false
