class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.springframework.data.map.MapKeyValueAdapter,false,false,false,false,false,false,true,false
org.springframework.data.keyvalue.repository.support.SimpleKeyValueRepository,false,false,true,false,false,false,true,false
org.springframework.data.keyvalue.repository.support.QuerydslKeyValueRepository,false,false,true,false,false,false,true,false
org.springframework.data.keyvalue.core.SpelQueryEngine,false,false,false,false,false,false,false,false
org.springframework.data.keyvalue.core.KeyValuePersistenceExceptionTranslator,false,false,false,false,false,false,false,false
org.springframework.data.keyvalue.core.ForwardingCloseableIterator,false,false,false,false,false,false,false,false
org.springframework.data.keyvalue.core.KeyValueTemplate,false,false,false,false,false,false,true,false
org.springframework.data.keyvalue.core.IterableConverter,false,false,false,false,false,false,false,false
org.springframework.data.keyvalue.core.mapping.BasicKeyValuePersistentEntity,false,false,false,false,false,false,false,false
org.springframework.data.keyvalue.repository.support.SimpleKeyValueRepository,false,false,true,false,false,false,true,false
org.springframework.data.keyvalue.repository.support.KeyValueQuerydslUtils,false,false,true,false,false,false,true,false
org.springframework.data.keyvalue.repository.support.KeyValueRepositoryFactoryBean,false,false,false,false,false,false,true,false
org.springframework.data.keyvalue.repository.query.CachingKeyValuePartTreeQuery,false,false,false,false,false,false,false,false
org.springframework.data.keyvalue.repository.query.KeyValuePartTreeQuery,false,false,true,false,false,false,true,false
org.springframework.data.keyvalue.repository.query.SpelQueryCreator,false,false,true,false,false,false,true,false
