class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.springframework.ws.soap.security.wss4j.support.CryptoFactoryBean,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.wss4j.callback.SpringSecurityPasswordValidationCallbackHandler,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.support.TrustManagersFactoryBean,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.support.KeyManagersFactoryBean,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.xwss.XwsSecurityInterceptor,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.wss4j.callback.SimplePasswordValidationCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.xwss.callback.SimpleUsernamePasswordCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.xwss.callback.DefaultTimestampValidator,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.xwss.callback.SpringUsernamePasswordCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.xwss.callback.SpringDigestPasswordValidationCallbackHandler,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.xwss.callback.SpringCertificateValidationCallbackHandler,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.xwss.callback.SpringPlainTextPasswordValidationCallbackHandler,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.xwss.callback.jaas.JaasCertificateValidationCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.xwss.callback.jaas.JaasPlainTextPasswordValidationCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.callback.CallbackHandlerChain,false,false,false,false,false,false,false,false
org.springframework.ws.soap.security.wss4j.support.CryptoFactoryBean,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.wss4j.callback.SpringSecurityPasswordValidationCallbackHandler,false,false,false,false,false,false,true,false
org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.UriMatcher,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.WebServiceMessageMatcherAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.MockWebServiceMessageSender,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.ResponseCreators,false,false,false,false,false,false,true,false
org.springframework.ws.test.client.ErrorResponseCreator,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.ExceptionResponseCreator,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.MockSenderConnection,false,false,false,false,false,false,false,false
org.springframework.ws.test.client.MockWebServiceServer,false,false,false,false,false,false,false,false
org.springframework.ws.test.support.MockStrategiesHelper,false,false,true,false,false,false,true,false
org.springframework.ws.test.support.matcher.XPathExpectationsHelper,false,false,false,false,false,false,true,false
org.springframework.ws.test.support.matcher.SoapEnvelopeDiffMatcher,false,false,false,false,false,false,true,false
