class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.google.common.truth.ComparableSubject,false,false,false,false,false,false,false,false
com.google.common.truth.PrimitiveFloatArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.MultisetSubject,false,false,false,false,false,false,false,false
com.google.common.truth.PrimitiveLongArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.ObjectArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.IntegerSubject,false,false,false,false,false,false,false,false
com.google.common.truth.ActualValueInference,false,false,true,false,false,false,true,true
com.google.common.truth.PrimitiveIntArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.IterableSubject,false,false,true,false,true,false,true,true
com.google.common.truth.ExpectFailure,false,false,false,false,false,false,false,false
com.google.common.truth.BigDecimalSubject,false,false,false,false,false,false,false,false
com.google.common.truth.TruthFailureSubject,false,false,true,false,false,false,false,false
com.google.common.truth.PrimitiveBooleanArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.StringSubject,false,false,false,false,false,false,false,false
com.google.common.truth.ClassSubject,false,false,false,false,false,false,false,false
com.google.common.truth.MultimapSubject,false,false,true,false,true,false,true,false
com.google.common.truth.PrimitiveCharArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.Expect,false,false,false,false,false,false,true,false
com.google.common.truth.GraphMatching,false,false,false,false,false,false,false,false
com.google.common.truth.ComparisonFailureWithFacts,false,false,false,false,false,false,true,false
com.google.common.truth.StackTraceCleaner,false,false,true,false,false,false,true,false
com.google.common.truth.MathUtil,false,false,false,false,false,false,false,false
com.google.common.truth.ThrowableSubject,false,false,false,false,false,false,false,false
com.google.common.truth.LongSubject,false,false,false,false,false,false,false,false
com.google.common.truth.Subject,false,false,true,false,true,false,true,true
com.google.common.truth.PrimitiveDoubleArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.StandardSubjectBuilder,false,false,false,false,false,false,false,false
com.google.common.truth.GuavaOptionalSubject,false,false,false,false,false,false,false,false
com.google.common.truth.PrimitiveByteArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.TableSubject,false,false,false,false,false,false,false,false
com.google.common.truth.Correspondence,false,false,false,false,false,false,true,false
com.google.common.truth.FloatSubject,false,false,false,false,false,false,false,false
com.google.common.truth.MapSubject,false,false,true,false,true,false,true,false
com.google.common.truth.DoubleSubject,false,false,false,false,false,false,false,false
com.google.common.truth.PrimitiveShortArraySubject,false,false,false,false,false,false,false,false
com.google.common.truth.BooleanSubject,false,false,false,false,false,false,false,false
com.google.common.truth.Fact,false,false,false,false,false,false,false,false
