class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.google.zxing.PlanarYUVLuminanceSource,false,false,false,false,false,false,false,false
com.google.zxing.RGBLuminanceSource,false,false,false,false,false,false,false,false
com.google.zxing.client.result.URIParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.TelParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.ProductParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.CalendarParsedResult,false,false,true,false,false,false,false,false
com.google.zxing.client.result.WifiParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.EmailAddressParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.VINParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.AddressBookParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.ISBNParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.GeoParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.client.result.ExpandedProductParsedResult,false,false,false,false,false,false,false,false
com.google.zxing.qrcode.QRCodeWriter,false,false,false,false,false,false,false,false
com.google.zxing.qrcode.encoder.MaskUtil,false,false,false,false,false,false,false,false
com.google.zxing.qrcode.encoder.QRCode,false,false,false,false,false,false,false,false
com.google.zxing.aztec.encoder.Encoder,false,false,true,false,false,true,false,false
com.google.zxing.qrcode.encoder.MatrixUtil,false,false,false,false,false,false,false,false
com.google.zxing.qrcode.decoder.Version,false,false,false,false,false,false,false,false
com.google.zxing.qrcode.decoder.FormatInformation,false,false,false,false,false,false,false,false
com.google.zxing.qrcode.decoder.DecodedBitStreamParser,false,false,true,false,false,false,true,false
com.google.zxing.datamatrix.DataMatrixWriter,false,false,false,false,false,false,true,false
com.google.zxing.datamatrix.encoder.SymbolInfo,false,false,false,false,false,false,false,false
com.google.zxing.datamatrix.encoder.ErrorCorrection,false,false,true,false,false,false,false,false
com.google.zxing.qrcode.decoder.DecodedBitStreamParser,false,false,true,false,false,false,true,false
com.google.zxing.pdf417.PDF417Writer,false,false,true,false,false,false,false,false
com.google.zxing.datamatrix.encoder.ErrorCorrection,false,false,true,false,false,false,false,false
com.google.zxing.oned.EAN13Writer,false,false,false,false,false,false,false,false
com.google.zxing.oned.EAN8Writer,false,false,false,false,false,false,false,false
com.google.zxing.oned.CodaBarWriter,false,false,false,false,false,false,false,false
com.google.zxing.oned.UPCAWriter,false,false,false,false,false,false,false,false
com.google.zxing.oned.Code39Writer,false,false,false,false,false,false,false,false
com.google.zxing.oned.Code93Reader,false,false,true,false,false,false,false,false
com.google.zxing.oned.ITFWriter,false,false,false,false,false,false,false,false
com.google.zxing.oned.Code128Writer,false,false,false,false,false,false,false,false
com.google.zxing.oned.Code93Writer,false,false,false,false,false,false,false,false
com.google.zxing.oned.UPCEWriter,false,false,false,false,false,false,false,false
com.google.zxing.common.BitMatrix,false,false,false,false,false,false,false,false
com.google.zxing.common.StringUtils,false,false,false,false,false,true,false,false
com.google.zxing.common.PerspectiveTransform,false,false,false,false,false,false,false,false
com.google.zxing.common.BitSource,false,false,false,false,false,false,false,false
com.google.zxing.common.BitArray,false,false,false,false,false,false,false,false
com.google.zxing.common.reedsolomon.GenericGFPoly,false,false,false,false,false,false,false,false
com.google.zxing.common.detector.MathUtils,false,false,false,false,false,false,false,false
com.google.zxing.client.j2se.ImageReader,false,false,false,false,false,false,false,false
com.google.zxing.client.j2se.MatrixToImageWriter,false,false,false,false,false,false,false,false
com.google.zxing.client.j2se.CommandLineRunner,false,false,true,false,false,false,true,false
com.google.zxing.client.j2se.DecodeWorker,false,false,true,false,false,false,true,false
com.google.zxing.client.j2se.CommandLineEncoder,false,false,false,false,false,false,false,false
com.google.zxing.web.DoSFilter,false,false,false,false,false,false,true,false
com.google.zxing.web.HTTPSFilter,false,false,false,false,false,false,false,false
com.google.zxing.web.OutputUtils,false,false,false,false,false,false,false,false
com.google.zxing.web.LRUMap,false,false,false,false,false,false,false,false
com.google.zxing.web.ChartServletRequestParameters,false,false,false,false,false,false,false,false
com.google.zxing.web.DoSTracker,false,false,true,false,false,false,false,false
com.google.zxing.web.WelcomeFilter,false,false,false,false,false,false,false,false
