,project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
0,raml-java-parser,,60639a3b22245d8bd5c79a2fcd09a56428612332,/home/dorma10/mutation-analysis/projects/raml-java-parser/src/test/java/org/raml/parser/rules/UriParametersRuleTestCase.java,org.raml.parser.rules.UriParametersRuleTestCase,/home/dorma10/mutation-analysis/projects/raml-java-parser/src/main/java/org/raml/parser/rule/UriParametersRule.java,org.raml.parser.rule.UriParametersRule,0.53125,128.0,0.7096774193548387,False,False,False,False,False,False,False,False,121,546.7955102907566,34,9,26,26,2,2,22,16,6,9,0.09523809523809523,5,0.375,0,0,0.0,8,2,0,2,17,160,737.2634550333054,96,6,83,83,0,0,78,78,0,0,-0.18181818181818185,0,0.0,0,0,0.0,13,0,0,0,26,False,False,False,False,False,False,False,False,0.6438987813889979,0.1824792245259652
1,raml-java-parser,,60639a3b22245d8bd5c79a2fcd09a56428612332,/home/dorma10/mutation-analysis/projects/raml-java-parser/src/test/java/org/raml/parser/rules/SchemaRuleTestCase.java,org.raml.parser.rules.SchemaRuleTestCase,/home/dorma10/mutation-analysis/projects/raml-java-parser/src/main/java/org/raml/parser/rule/SchemaRule.java,org.raml.parser.rule.SchemaRule,0.65625,320.0,0.7142857142857143,True,False,False,False,False,False,False,False,228,1220.1812815833318,58,32,48,48,3,3,37,29,8,12,0.08333333333333333,4,0.26666666666666666,0,0,0.0,10,3,0,3,25,250,838.3562250785674,156,12,135,135,0,0,210,210,0,0,-0.10526315789473684,0,0.0,0,0,0.0,21,0,0,0,21,False,False,False,False,False,True,False,True,0.6233260635694023,0.4745103095968564
2,raml-java-parser,,60639a3b22245d8bd5c79a2fcd09a56428612332,/home/dorma10/mutation-analysis/projects/raml-java-parser/src/test/java/org/raml/parser/loader/DefaultResourceLoaderTestCase.java,org.raml.parser.loader.DefaultResourceLoaderTestCase,/home/dorma10/mutation-analysis/projects/raml-java-parser/src/main/java/org/raml/parser/loader/DefaultResourceLoader.java,org.raml.parser.loader.DefaultResourceLoader,0.8780487804878049,41.0,1.0,True,False,False,True,False,False,False,False,36,91.58904115324115,3,1,1,1,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3,42,81.69858546749478,8,4,6,6,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,2,False,False,False,False,False,False,False,False,0.6443351209163666,0.6698170006275177
0,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/SimpleObjectPoolTestCase.java,io.undertow.util.SimpleObjectPoolTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/SimpleObjectPool.java,io.undertow.util.SimpleObjectPool,0.0,24.0,0.0,False,False,False,False,False,False,False,False,93,603.1056360638946,5,5,2,2,4,3,0,0,3,3,1.0,0,0.6666666666666666,0,0,0.0,3,4,0,4,5,74,283.1121962247399,15,5,12,12,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,1,0,4,False,False,False,False,False,False,False,False,0.5514685288071632,0.4113084673881531
1,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/SameSiteNoneIncompatibleClientCheckerTestCase.java,io.undertow.util.SameSiteNoneIncompatibleClientCheckerTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/SameSiteNoneIncompatibleClientChecker.java,io.undertow.util.SameSiteNoneIncompatibleClientChecker,0.699685535,636.0,0.901960784,False,False,False,False,False,False,False,False,157,1475.6112033207544,50,2,38,38,7,1,66,66,0,12,0.01818181818181818,1,0.08333333333333333,0,0,0.0,12,7,0,7,34,144,881.8532120550183,8,4,6,6,4,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,4,0,0,4,False,False,False,False,False,False,False,False,0.7488987743854523,0.33115099370479584
2,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/LocaleUtilsTestCase.java,io.undertow.util.LocaleUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/LocaleUtils.java,io.undertow.util.LocaleUtils,0.117647059,51.0,0.105263158,False,False,False,False,False,False,False,False,79,528.9441547035593,14,4,11,11,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,11,18,41.940251829755866,3,5,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,False,False,False,False,False,0.5970049401124319,0.7108088731765747
3,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/PathMatcherTestCase.java,io.undertow.util.PathMatcherTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/PathMatcher.java,io.undertow.util.PathMatcher,0.518624642,349.0,0.6987951809999999,False,True,False,False,False,False,False,False,249,1742.993955150385,58,7,44,44,5,5,56,21,35,36,0.2948717948717949,2,0.3428571428571429,0,0,0.0,14,5,0,5,41,138,697.0223295113409,27,4,23,23,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,10,False,False,False,False,False,False,False,False,0.7660555640856425,0.8683782666921616
4,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HeaderTokenParserTestCase.java,io.undertow.util.HeaderTokenParserTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HeaderTokenParser.java,io.undertow.util.HeaderTokenParser,0.662082515,509.0,0.836065574,False,False,False,False,False,False,False,False,143,836.6134780792595,14,3,12,12,6,3,0,0,1,1,0.0,0,0.5833333333333334,0,0,0.0,2,6,0,5,10,40,66.64409020350408,5,6,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,True,0.3936265781521797,0.10567409545183183
5,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HttpStringTestCase.java,io.undertow.util.HttpStringTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HttpString.java,io.undertow.util.HttpString,0.462925852,998.0,0.43697479,True,False,False,False,False,False,False,False,382,2600.88845547705,71,10,43,43,6,5,181,0,197,208,0.5156695156695157,4,0.17346938775510204,0,0,0.0,28,7,1,6,72,82,352.3102376991401,15,9,11,11,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,5,False,False,False,False,False,False,False,False,0.8560827502182552,0.6820644438266754
6,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HeaderMapTestCase.java,io.undertow.util.HeaderMapTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HeaderMap.java,io.undertow.util.HeaderMap,0.357334355,2611.0,0.472553699,True,True,False,False,False,False,False,False,874,3217.381917763437,155,6,99,99,6,4,1398,1256,142,265,0.1414141414141414,10,0.10714285714285714,0,0,0.0,56,6,0,3,189,100,485.66728846829636,41,10,37,37,1,1,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,1,0,1,5,False,False,False,True,False,False,False,False,0.6167407706712505,0.4800688121467829
