project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/ElementValueGenTestCase.java,org.apache.bcel.ElementValueGenTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/generic/ElementValueGen.java,org.apache.bcel.generic.ElementValueGen,0.3369272237196765,371.0,0.5777777777777777,False,True,False,False,False,False,False,False,194,998.4660165505493,14,10,6,6,15,2,23,18,5,6,-0.047619047619047616,0,0.14166666666666666,0,0,0.0,8,15,13,0,21,228,948.7525701742212,86,12,73,73,0,0,78,78,0,22,0.15151515151515152,0,0.0,0,0,0.0,13,0,0,0,29,True,False,False,False,False,False,False,False,0.7736495435237885,0.6293616489722178
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/LocalVariableTypeTableTestCase.java,org.apache.bcel.LocalVariableTypeTableTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/classfile/LocalVariableTypeTable.java,org.apache.bcel.classfile.LocalVariableTypeTable,0.01646090534979424,243.0,0.5526315789473685,False,False,False,False,False,False,False,False,150,682.8175102061092,26,4,15,15,1,1,19,0,36,37,0.6,2,0.8181818181818182,0,0,0.0,11,1,0,1,25,147,858.8661908677577,42,16,36,36,0,0,15,15,0,5,0.0,0,0.0,0,0,0.0,6,0,0,0,22,False,False,False,False,False,False,False,False,0.6575335751880299,0.5422564446926117
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/InstructionFinderTestCase.java,org.apache.bcel.InstructionFinderTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/util/InstructionFinder.java,org.apache.bcel.util.InstructionFinder,0.6288343558282209,326.0,0.9548872180451128,True,True,False,False,False,False,False,False,419,3660.5030185199125,50,12,38,38,6,5,53,40,13,23,0.21818181818181814,2,0.18055555555555555,0,0,0.0,12,6,0,6,49,62,319.86142855130083,13,6,12,12,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,6,False,False,False,False,False,True,False,True,0.7949015635710496,0.13614466786384585
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/generic/BranchHandleTestCase.java,org.apache.bcel.generic.BranchHandleTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/generic/BranchHandle.java,org.apache.bcel.generic.BranchHandle,0.234375,64.0,0.42857142857142855,True,True,False,False,False,False,False,False,111,655.5510109399289,16,0,7,7,1,1,8,0,28,28,0.7142857142857143,1,0.8888888888888888,0,0,0.0,9,1,0,1,15,54,104.73916850681243,14,2,10,10,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4,False,False,False,False,False,False,False,False,0.9025971028539871,0.6680966764688492
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/generic/MethodGenTestCase.java,org.apache.bcel.generic.MethodGenTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/generic/MethodGen.java,org.apache.bcel.generic.MethodGen,0.17062719127386053,2567.0,0.3277661795407098,False,True,False,False,False,False,False,False,1315,10274.057077144464,304,24,226,226,18,15,2760,2517,243,289,0.07245386192754613,4,0.06837606837606837,0,0,0.0,78,18,0,18,209,140,750.9201105459167,55,8,48,48,0,0,21,21,0,4,-0.13333333333333333,0,0.0,0,0,0.0,7,0,0,0,18,False,False,False,True,True,True,False,True,0.7626514244061636,0.6378904779752096
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/generic/InstructionHandleTestCase.java,org.apache.bcel.generic.InstructionHandleTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,0.1259259259259259,270.0,0.3043478260869565,True,True,False,False,False,False,False,False,315,2580.484508430015,46,6,20,20,4,4,275,225,50,53,0.09333333333333334,4,0.17307692307692307,0,0,0.0,26,6,0,5,57,63,155.5139969395735,16,2,11,11,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,5,False,False,False,False,False,False,False,False,0.8911283039129697,0.6925651073455811
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/generic/TypeTestCase.java,org.apache.bcel.generic.TypeTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/generic/Type.java,org.apache.bcel.generic.Type,0.024231127679403545,1073.0,0.2052980132450331,False,True,False,False,False,False,False,False,404,2925.9262381838894,89,5,64,64,19,7,220,140,80,108,0.3043478260869565,1,0.07400000000000001,0,0,0.0,25,20,17,1,79,33,53.87673327978359,4,1,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,True,False,False,False,False,False,False,False,0.7711089789867401,0.4976700842380524
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/classfile/UtilityTestCase.java,org.apache.bcel.classfile.UtilityTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/classfile/Utility.java,org.apache.bcel.classfile.Utility,0.22431034482758624,5800.0,0.272108843537415,False,True,False,False,True,False,False,False,1655,10366.739608012691,226,18,175,175,6,5,1254,1233,21,80,0.024489795918367342,10,0.026143790849673203,0,0,0.0,51,6,0,6,199,70,288.97254819710383,3,1,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,True,True,True,True,True,0.7357555746745894,0.31411442160606384
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/classfile/LocalVariableTestCase.java,org.apache.bcel.classfile.LocalVariableTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/classfile/LocalVariable.java,org.apache.bcel.classfile.LocalVariable,0.0,307.0,0.0,False,False,False,False,False,False,False,False,303,2119.8275894219432,43,5,19,19,7,2,204,132,72,81,0.2292490118577075,3,0.2380952380952381,0,0,0.0,24,7,0,7,46,33,94.40570415959496,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,False,False,False,False,False,0.8986623883247375,0.9251585006713868
commons-bcel,,a9c13ede0e565fae0593c1fde3b774d93abf3f71,/home/dorma10/mutation-analysis/projects/commons-bcel/src/test/java/org/apache/bcel/classfile/ConstantPoolTestCase.java,org.apache.bcel.classfile.ConstantPoolTestCase,/home/dorma10/mutation-analysis/projects/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantPool.java,org.apache.bcel.classfile.ConstantPool,0.14979195561719832,721.0,0.3228346456692913,True,True,False,False,False,False,False,False,376,2428.602852671159,56,4,40,40,1,1,75,30,45,55,0.3809523809523809,6,0.625,0,0,0.0,16,1,0,1,50,54,257.8685360727637,14,7,12,12,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,6,False,False,False,False,False,False,False,True,0.7733226316049695,0.5644417703151703
