project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java,org.apache.commons.codec.CharsetsTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/Charsets.java,org.apache.commons.codec.Charsets,1.0,4.0,0.8888888888888888,True,True,False,False,False,False,True,False,162,1224.9881138828305,5,2,3,3,6,1,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,6,6,0,7,76,168.5567241764719,23,4,16,16,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,8,False,False,False,False,False,False,False,False,0.8889446556568146,0.7516468678201947
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java,org.apache.commons.codec.StringEncoderComparatorTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java,org.apache.commons.codec.StringEncoderComparator,1.0,1.0,0.7857142857142857,False,False,False,False,False,False,False,False,90,772.9668483580608,5,1,2,2,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,7,75,455.5011764664969,12,8,9,9,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,8,False,False,False,False,False,False,False,False,0.783051073551178,0.5819777746995289
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/QCodecTest.java,org.apache.commons.codec.net.QCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/QCodec.java,org.apache.commons.codec.net.QCodec,0.8780487804878049,41.0,0.9326923076923076,True,True,False,False,False,False,False,False,357,2656.5513791291896,33,8,17,17,5,4,113,106,7,14,-0.009523809523809523,3,0.1375,0,0,0.0,16,5,0,5,67,208,1013.8450202124498,51,10,38,38,2,1,78,78,0,1,-0.16666666666666666,13,0.0,0,0,0.0,13,2,0,0,31,False,False,False,False,False,False,False,False,0.8833455033600329,0.7725731409513034
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/URLCodecTest.java,org.apache.commons.codec.net.URLCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/URLCodec.java,org.apache.commons.codec.net.URLCodec,0.9649122807017544,57.0,0.9886363636363636,True,True,False,False,False,False,False,False,373,2423.082440252508,40,11,26,26,4,3,86,81,5,20,0.08974358974358974,4,0.125,0,0,0.0,14,4,0,1,61,304,1239.8862514416958,82,9,64,64,2,1,153,153,0,15,-0.014705882352941175,18,0.0,0,0,0.0,18,2,0,0,44,False,False,False,False,False,True,False,False,0.9133258930274418,0.7656685511271158
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/UtilsTest.java,org.apache.commons.codec.net.UtilsTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/Utils.java,org.apache.commons.codec.net.Utils,0.0,4.0,0.16666666666666666,False,False,False,False,False,False,True,False,64,537.1301193782658,5,1,3,3,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,8,41,236.292431489862,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,False,0.9098466038703918,0.9810456037521362
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/RFC1522CodecTest.java,org.apache.commons.codec.net.RFC1522CodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/RFC1522Codec.java,org.apache.commons.codec.net.RFC1522Codec,0.5,18.0,0.55,True,True,False,False,False,False,False,False,185,1600.9010971317075,24,5,18,18,3,2,14,13,1,6,0.1,2,0.3333333333333333,0,0,0.0,6,3,0,0,25,85,374.32155120621684,9,5,6,6,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,7,False,False,False,False,False,False,False,False,0.8475761314233144,0.8486509621143341
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/QuotedPrintableCodecTest.java,org.apache.commons.codec.net.QuotedPrintableCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,org.apache.commons.codec.net.QuotedPrintableCodec,0.9433962264150944,106.0,0.9674796747967479,True,True,False,False,False,False,False,False,602,4285.817044723997,63,15,39,39,9,5,261,246,15,47,0.09486166007905138,2,0.0925925925925926,0,0,0.0,24,9,0,9,99,336,1715.293543737038,81,7,59,59,2,1,231,231,0,1,-0.09523809523809523,22,0.0,0,0,0.0,22,2,0,0,53,False,False,False,True,False,True,False,False,0.9097152873873712,0.7614639401435852
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/PercentCodecTest.java,org.apache.commons.codec.net.PercentCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/PercentCodec.java,org.apache.commons.codec.net.PercentCodec,0.9027777777777778,72.0,1.0,True,True,False,False,False,False,False,False,263,2482.0780654518103,42,6,27,27,4,4,84,63,21,32,0.1978021978021978,4,0.25,0,0,0.0,15,4,0,4,59,151,698.4052890517778,54,9,42,42,0,0,66,66,0,0,-0.2,0,0.0,0,0,0.0,12,0,0,0,27,False,False,False,False,False,False,False,False,0.8320848206679027,0.6499565169215202
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/BCodecTest.java,org.apache.commons.codec.net.BCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/BCodec.java,org.apache.commons.codec.net.BCodec,0.8620689655172413,29.0,0.8863636363636364,True,True,False,False,False,False,False,False,250,1568.6866627681675,31,8,17,17,1,1,88,85,3,10,-0.038461538461538464,11,0.21428571428571427,0,0,0.0,14,1,0,1,55,171,827.75846444409,40,8,29,29,3,2,55,55,0,1,-0.2,5,0.030303030303030307,0,0,0.0,11,3,0,1,28,False,False,False,False,False,False,False,False,0.9248933834689004,0.8117179599675265
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/language/DaitchMokotoffSoundexTest.java,org.apache.commons.codec.language.DaitchMokotoffSoundexTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java,org.apache.commons.codec.language.DaitchMokotoffSoundex,0.7608695652173914,46.0,0.946969696969697,False,True,False,False,False,False,False,True,552,4763.675467513196,60,14,50,50,9,5,44,43,1,7,-0.05555555555555555,1,0.08888888888888889,0,0,0.0,10,9,0,9,42,165,767.5458673432347,35,4,22,22,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,19,False,False,False,False,False,True,False,True,0.8249403406744418,0.9066705841284532
