project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,org.apache.commons.configuration2.TestPropertiesConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/PropertiesConfiguration.java,org.apache.commons.configuration2.PropertiesConfiguration,0.9456521739130436,92.0,0.9322033898305084,True,True,False,True,True,True,False,False,1929,14311.008257210926,101,33,70,70,18,8,451,437,14,30,0.0,1,0.03942652329749104,0,0,0.0,31,18,3,13,92,1738,10034.433735326746,572,60,474,474,9,4,2178,0,2575,2617,0.5412371134020618,10,0.1349206349206349,0,0,0.0,98,9,1,8,233,False,False,False,True,True,True,False,True,0.8897868124643962,0.7920233464873998
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestMapConfiguration.java,org.apache.commons.configuration2.TestMapConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/MapConfiguration.java,org.apache.commons.configuration2.MapConfiguration,0.8888888888888888,18.0,0.8048780487804879,True,True,False,False,False,False,False,False,287,2991.9930904854573,36,7,21,21,2,2,24,0,81,82,0.7472527472527473,7,0.5333333333333333,0,0,0.0,15,2,0,1,38,174,1014.0521971785176,58,11,48,48,3,1,35,25,10,13,0.1111111111111111,3,0.3333333333333333,0,0,0.0,10,3,0,3,16,False,False,False,False,False,False,False,False,0.8899084011713664,0.754993987083435
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestSystemConfiguration.java,org.apache.commons.configuration2.TestSystemConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/SystemConfiguration.java,org.apache.commons.configuration2.SystemConfiguration,0.875,8.0,0.9130434782608696,False,True,False,True,False,True,False,False,116,930.6024954015137,22,5,17,17,1,1,10,10,0,3,-0.16666666666666666,4,0.2,0,0,0.0,5,1,0,1,15,152,865.7630294991745,43,12,37,37,1,1,15,15,0,0,-0.5,5,0.16666666666666666,0,0,0.0,6,1,1,0,15,False,False,False,False,False,False,False,False,0.896174967288971,0.7890576422214508
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestConfigurationMap.java,org.apache.commons.configuration2.TestConfigurationMap,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/ConfigurationMap.java,org.apache.commons.configuration2.ConfigurationMap,0.4,5.0,0.8,False,True,False,False,False,False,False,False,214,1158.49392198151,10,5,5,5,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,1,13,92,397.15674720220335,8,5,5,5,3,3,0,0,3,3,1.0,0,0.7777777777777778,0,0,0.0,3,3,0,0,8,False,False,False,False,False,False,False,False,0.8972890786826611,0.8567802309989929
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestStrictConfigurationComparator.java,org.apache.commons.configuration2.TestStrictConfigurationComparator,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/StrictConfigurationComparator.java,org.apache.commons.configuration2.StrictConfigurationComparator,1.0,13.0,1.0,True,False,False,False,False,False,False,False,80,468.0609387029322,7,1,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7,94,323.9248040596676,9,3,7,7,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,0,2,False,False,False,False,False,False,False,False,0.9319476187229156,0.8558235466480255
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestINIConfiguration.java,org.apache.commons.configuration2.TestINIConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/INIConfiguration.java,org.apache.commons.configuration2.INIConfiguration,0.8095238095238095,147.0,0.9741379310344828,True,True,False,True,True,False,False,False,1146,9636.864392398333,152,22,123,123,8,1,403,400,3,28,0.0,4,0.04310344827586207,0,0,0.0,29,8,0,6,112,1342,7791.033130721934,408,35,332,332,9,2,2469,2088,381,460,0.13873873873873874,8,0.10087719298245612,0,0,0.0,76,9,1,8,185,False,False,False,True,True,True,False,True,0.8336880614883021,0.8274940363107584
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestXMLDocumentHelper.java,org.apache.commons.configuration2.TestXMLDocumentHelper,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/XMLDocumentHelper.java,org.apache.commons.configuration2.XMLDocumentHelper,1.0,23.0,0.9655172413793104,False,True,False,False,True,False,False,False,382,2928.814697540257,53,19,35,35,4,3,149,145,4,20,0.02205882352941177,5,0.1111111111111111,0,0,0.0,18,4,0,4,65,348,1912.690341038613,110,31,92,92,2,1,151,149,2,20,0.02205882352941177,16,0.1111111111111111,0,0,0.0,18,2,0,2,58,False,False,False,False,False,True,False,False,0.8840084870656332,0.835109680891037
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestXMLConfiguration.java,org.apache.commons.configuration2.TestXMLConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/XMLConfiguration.java,org.apache.commons.configuration2.XMLConfiguration,0.8582677165354331,127.0,0.9563492063492064,True,True,False,True,True,True,False,True,1418,11008.323029226021,198,47,159,159,16,6,719,697,22,53,0.02133712660028449,2,0.05128205128205128,0,0,0.0,39,16,0,14,128,1834,9797.470924942672,679,45,571,571,16,5,1514,0,4264,4322,0.7432551578204902,6,0.08854166666666667,0,0,0.0,108,16,1,9,231,False,False,False,True,True,True,False,True,0.8137469338435753,0.7630466014146805
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestBaseConfiguration.java,org.apache.commons.configuration2.TestBaseConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/BaseConfiguration.java,org.apache.commons.configuration2.BaseConfiguration,0.8333333333333334,12.0,0.8648648648648649,True,False,False,False,False,False,False,False,212,1573.5899400211965,28,7,18,18,1,1,9,0,36,37,0.7777777777777778,1,0.9,0,0,0.0,10,1,0,1,28,788,4507.095163385407,275,27,214,214,4,3,0,0,1830,1830,1.0,15,0.2581967213114754,0,0,0.0,61,4,0,0,81,False,False,False,False,False,False,False,False,0.8991674304008483,0.793046945003701
commons-configuration,,03baa3bfbe123972da39c23e52fcd2d458e805fc,/home/dorma10/mutation-analysis/projects/commons-configuration/src/test/java/org/apache/commons/configuration2/TestDatabaseConfiguration.java,org.apache.commons.configuration2.TestDatabaseConfiguration,/home/dorma10/mutation-analysis/projects/commons-configuration/src/main/java/org/apache/commons/configuration2/DatabaseConfiguration.java,org.apache.commons.configuration2.DatabaseConfiguration,0.6,35.0,0.8421052631578947,True,True,False,False,True,False,False,False,862,6229.668912024121,125,18,91,91,12,3,397,233,164,167,0.2537878787878788,2,0.14215686274509806,0,0,0.0,34,12,0,12,110,588,3016.101898022948,220,20,178,178,3,3,582,303,279,303,0.3195121951219512,16,0.2222222222222222,0,0,0.0,42,3,0,3,104,False,False,False,True,False,True,False,True,0.8608455854218181,0.7836107909679413
