project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/AsyncQueryRunnerTest.java,org.apache.commons.dbutils.AsyncQueryRunnerTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/AsyncQueryRunner.java,org.apache.commons.dbutils.AsyncQueryRunner,0.5980392156862745,102.0,0.8787878787878788,False,True,False,False,False,False,False,False,691,3560.0039193558787,107,8,66,66,2,2,54,0,766,766,0.9307692307692308,11,0.7439024390243902,0,0,0.0,41,2,0,2,149,513,1571.994482934836,231,23,189,189,8,8,487,113,374,392,0.4280487804878049,4,0.28273809523809523,0,0,0.0,42,8,0,0,98,False,False,False,True,False,False,False,False,0.8289673937127945,0.6821049217666898
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/ResultSetIteratorTest.java,org.apache.commons.dbutils.ResultSetIteratorTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/ResultSetIterator.java,org.apache.commons.dbutils.ResultSetIterator,0.5652173913043478,46.0,0.5909090909090909,True,True,False,False,False,False,False,False,141,1016.772638245096,16,3,8,8,2,2,7,0,21,24,0.8095238095238095,4,0.5625,0,0,0.0,8,2,0,2,25,81,299.22520735444266,16,5,13,13,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,5,False,False,False,False,False,False,False,False,0.9334662780165672,0.5724230806032816
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/QueryRunnerTest.java,org.apache.commons.dbutils.QueryRunnerTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/QueryRunner.java,org.apache.commons.dbutils.QueryRunner,0.5165165165165165,666.0,0.8604651162790697,True,True,False,False,False,False,False,False,950,4285.138000320033,135,9,94,94,0,0,820,820,0,90,0.0641025641025641,0,0.0,0,0,0.0,41,0,0,0,182,1054,3252.266933328325,407,30,332,332,11,11,1579,383,1196,1225,0.4261384672343577,5,0.2145454545454545,0,0,0.0,75,11,0,0,180,False,False,False,True,False,False,False,True,0.7534378956003887,0.6932143727662387
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/GenerousBeanProcessorTest.java,org.apache.commons.dbutils.GenerousBeanProcessorTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/GenerousBeanProcessor.java,org.apache.commons.dbutils.GenerousBeanProcessor,0.8776978417266187,139.0,1.0,True,False,False,False,False,False,True,False,73,433.1157099881149,10,4,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7,156,489.45325952827284,35,9,30,30,3,3,0,0,10,10,1.0,0,0.8666666666666667,0,0,0.0,5,3,0,0,11,False,False,False,False,False,False,False,False,0.8585867881774902,0.7613499462604523
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/BeanProcessorTest.java,org.apache.commons.dbutils.BeanProcessorTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/BeanProcessor.java,org.apache.commons.dbutils.BeanProcessor,0.6138433515482696,549.0,0.5703703703703704,True,True,False,False,False,False,False,False,540,4736.600201990929,73,17,58,58,5,5,103,101,2,19,0.054945054945054944,3,0.09333333333333334,0,0,0.0,15,5,0,4,77,189,588.8224764456124,38,7,33,33,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,1,13,False,False,False,False,False,True,False,True,0.7772167762120564,0.8200799794424147
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/QueryLoaderTest.java,org.apache.commons.dbutils.QueryLoaderTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/QueryLoader.java,org.apache.commons.dbutils.QueryLoader,0.8913043478260869,46.0,0.9565217391304348,True,True,False,False,False,False,False,False,143,1242.2933943993542,15,6,10,10,2,2,9,8,1,2,-0.3333333333333333,2,0.26666666666666666,0,0,0.0,5,3,0,3,16,56,260.7589890688906,16,2,14,14,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,5,False,False,False,False,False,False,False,False,0.9290276527404784,0.5168671011924744
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/OutParameterTest.java,org.apache.commons.dbutils.OutParameterTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/OutParameter.java,org.apache.commons.dbutils.OutParameter,0.4157303370786517,89.0,0.8695652173913043,True,True,False,False,False,False,False,False,142,1250.584776389637,13,2,4,4,3,3,9,0,27,27,0.6785714285714286,2,0.5925925925925926,0,0,0.0,9,3,0,3,25,78,194.39249617446686,24,12,20,20,4,3,0,0,6,6,1.0,0,0.8125,0,0,0.0,4,4,0,2,11,False,False,False,False,False,False,False,False,0.9325814048449198,0.6252501830458641
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/DbUtilsTest.java,org.apache.commons.dbutils.DbUtilsTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/DbUtils.java,org.apache.commons.dbutils.DbUtils,0.3245033112582781,151.0,0.6162790697674418,False,True,False,False,False,False,False,True,434,2160.9276817749505,49,14,30,30,0,0,171,171,0,29,0.0718954248366013,0,0.0,0,0,0.0,19,0,0,0,57,327,903.3566389007306,156,15,123,123,0,0,528,528,0,13,-0.038306451612903226,0,0.0,0,0,0.0,33,0,0,0,85,False,False,False,False,False,True,False,False,0.9062818023893568,0.7246921352214284
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/BasicRowProcessorTest.java,org.apache.commons.dbutils.BasicRowProcessorTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/BasicRowProcessor.java,org.apache.commons.dbutils.BasicRowProcessor,0.8175675675675675,148.0,0.6923076923076923,True,False,False,False,False,False,False,False,276,2507.5328203920217,21,8,13,13,2,1,25,22,3,4,-0.14285714285714285,3,0.20833333333333331,0,0,0.0,8,3,0,3,25,161,774.1697194288927,63,8,58,58,2,2,0,0,10,10,1.0,2,0.6,0,0,0.0,5,2,0,2,10,False,False,False,False,False,False,False,False,0.8537174718720573,0.5235241889953614
commons-dbutils,,9be04e5cc990deee3ba672aa8060c523db897b7a,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,org.apache.commons.dbutils.ProxyFactoryTest,/home/dorma10/mutation-analysis/projects/commons-dbutils/src/main/java/org/apache/commons/dbutils/ProxyFactory.java,org.apache.commons.dbutils.ProxyFactory,0.951219512195122,41.0,0.75,True,True,False,False,False,False,False,False,135,766.4033111853926,21,9,11,11,0,0,45,45,0,7,-0.05555555555555555,9,0.1,0,0,0.0,10,1,0,1,20,66,286.19948812158015,29,2,21,21,1,1,7,0,21,21,0.6666666666666666,1,0.875,0,0,0.0,8,1,0,1,10,False,False,False,False,False,False,False,False,0.8871578007936478,0.6691557094454765
