project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-numbers,commons-numbers-quaternion,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/QuaternionTest.java,org.apache.commons.numbers.quaternion.QuaternionTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/Quaternion.java,org.apache.commons.numbers.quaternion.Quaternion,0.9235897435897436,1950.0,0.9705882352941176,True,True,False,False,True,False,False,False,733,4731.255184979199,79,5,40,40,16,8,446,151,295,322,0.4039829302987198,1,0.1343101343101343,0,0,0.0,39,21,5,16,101,750,2763.104552953038,248,3,199,199,2,1,1120,1064,56,76,0.024822695035460998,43,0.1326530612244898,0,0,0.0,49,2,0,2,51,False,False,False,True,False,False,False,False,0.943346397905815,0.6898598442880475
commons-numbers,commons-numbers-quaternion,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/SlerpTest.java,org.apache.commons.numbers.quaternion.SlerpTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/Slerp.java,org.apache.commons.numbers.quaternion.Slerp,0.8869565217391304,115.0,1.0,True,False,False,False,False,False,False,False,143,1485.4679889432075,7,1,5,5,4,3,0,0,1,1,0.0,0,0.875,0,0,0.0,2,4,0,4,8,390,2013.0192167641055,96,3,78,78,3,1,132,111,21,45,0.2058823529411765,7,0.16666666666666666,0,0,0.0,18,3,0,3,32,False,False,False,False,False,False,False,False,0.8714159011840821,0.6552600322465878
commons-numbers,commons-numbers-core,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-core/src/test/java/org/apache/commons/numbers/core/PrecisionTest.java,org.apache.commons.numbers.core.PrecisionTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-core/src/main/java/org/apache/commons/numbers/core/Precision.java,org.apache.commons.numbers.core.Precision,0.6845386533665836,1604.0,0.8518518518518519,True,True,False,False,True,False,False,False,498,3248.3780750314777,53,2,34,34,10,3,171,171,0,66,0.3137254901960784,2,0.036842105263157884,0,0,0.0,19,10,2,8,64,436,2400.195189496203,68,3,53,53,0,0,105,105,0,0,-0.15384615384615385,0,0.0,0,0,0.0,15,0,0,0,25,False,False,False,False,False,False,False,False,0.9709586312896328,0.5751490084716352
commons-numbers,commons-numbers-core,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,org.apache.commons.numbers.core.ArithmeticUtilsTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-core/src/main/java/org/apache/commons/numbers/core/ArithmeticUtils.java,org.apache.commons.numbers.core.ArithmeticUtils,0.8149779735682819,2497.0,0.986842105263158,True,True,False,False,True,False,False,False,555,3532.5685787136244,34,2,19,19,3,1,95,85,10,14,0.0,6,0.24444444444444444,0,0,0.0,15,3,0,3,74,631,2878.556903906857,124,5,89,89,0,0,595,595,0,18,-0.0285204991087344,0,0.0,0,0,0.0,35,0,0,0,72,False,False,False,False,False,False,False,False,0.8188218101859093,0.7130981496402196
commons-numbers,commons-numbers-complex,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/ComplexTest.java,org.apache.commons.numbers.complex.ComplexTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org.apache.commons.numbers.complex.Complex,0.3134472750725573,12404.0,0.485207100591716,True,True,False,False,True,False,False,False,3685,27403.750968636312,266,4,179,179,38,4,2081,421,1660,1737,0.4517099863201095,2,0.047619047619047616,0,0,0.0,87,42,3,39,324,2184,9220.308761126695,774,11,640,640,21,3,8484,8057,427,487,0.040328092959671914,6,0.02914001421464108,0,0,0.0,134,21,0,21,199,False,False,False,True,True,False,True,True,0.8704039897050031,0.7049363623581716
commons-numbers,commons-numbers-primes,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-primes/src/test/java/org/apache/commons/numbers/primes/PrimesTest.java,org.apache.commons.numbers.primes.PrimesTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-primes/src/main/java/org/apache/commons/numbers/primes/Primes.java,org.apache.commons.numbers.primes.Primes,0.9342723004694836,426.0,0.9666666666666668,True,False,False,False,False,False,False,False,119,996.7863091092956,9,2,5,5,1,1,5,4,1,2,-0.3333333333333333,2,0.5,0,0,0.0,4,1,0,0,17,171,726.7404122584829,33,5,25,25,4,2,25,22,3,7,0.0,2,0.25,0,0,0.0,8,4,0,0,23,False,False,False,False,False,False,False,False,0.8898650109767914,0.6629789583384991
commons-numbers,commons-numbers-primes,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-primes/src/test/java/org/apache/commons/numbers/primes/SmallPrimesTest.java,org.apache.commons.numbers.primes.SmallPrimesTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-primes/src/main/java/org/apache/commons/numbers/primes/SmallPrimes.java,org.apache.commons.numbers.primes.SmallPrimes,0.7612826603325415,842.0,0.9204545454545454,True,False,False,False,False,False,False,False,290,2589.742822614593,16,8,11,11,3,3,9,8,1,3,-0.16666666666666666,2,0.26666666666666666,0,0,0.0,5,3,0,0,19,146,603.5913480722094,58,6,43,43,1,1,90,75,15,15,0.01098901098901099,9,0.4,0,0,0.0,15,1,0,1,20,False,False,False,False,False,False,False,False,0.8057924747467041,0.462029912074407
commons-numbers,commons-numbers-gamma,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/ErfTest.java,org.apache.commons.numbers.gamma.ErfTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-gamma/src/main/java/org/apache/commons/numbers/gamma/Erf.java,org.apache.commons.numbers.gamma.Erf,0.7874015748031497,127.0,0.6666666666666666,True,False,False,False,False,False,False,False,58,536.5770737426664,4,0,2,2,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,0,1,5,140,656.736794787227,28,2,21,21,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,10,False,False,False,False,False,False,False,False,0.9549727737903596,0.6171484036105019
commons-numbers,commons-numbers-gamma,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/GammaTest.java,org.apache.commons.numbers.gamma.GammaTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-gamma/src/main/java/org/apache/commons/numbers/gamma/Gamma.java,org.apache.commons.numbers.gamma.Gamma,0.8545454545454545,495.0,0.9230769230769232,True,False,False,False,True,False,False,False,114,840.2881928116648,9,0,7,7,2,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,2,0,2,7,554,710.2672625127775,15,2,12,12,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,8,False,False,False,False,False,False,False,False,0.8912209570407867,0.5380282004674276
commons-numbers,commons-numbers-gamma,3406c0980b4bc1071314bbb081dad2ef49cd68d3,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/InverseErfcTest.java,org.apache.commons.numbers.gamma.InverseErfcTest,/home/dorma10/mutation-analysis/projects/commons-numbers/commons-numbers-gamma/src/main/java/org/apache/commons/numbers/gamma/InverseErfc.java,org.apache.commons.numbers.gamma.InverseErfc,0.9047619047619048,21.0,0.3333333333333333,True,False,False,False,False,False,False,False,44,376.0384292633933,3,0,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3,48,205.1913201409309,13,2,10,10,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,4,False,False,False,False,False,False,False,False,0.9857448637485504,0.6091519494851431
