project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/TestObjectPool.java,org.apache.commons.pool2.TestObjectPool,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java,org.apache.commons.pool2.ObjectPool,0.0,26.0,0.0,True,True,False,False,False,False,False,True,204,2024.9793581365714,10,2,1,1,0,0,36,36,0,1,-0.25,0,0.0,0,0,0.0,9,0,0,0,31,438,1747.6233700971036,109,10,97,97,2,1,65,64,1,25,0.2545454545454545,10,0.16666666666666666,0,0,0.0,12,2,0,2,48,False,False,False,False,False,False,False,False,0.9545719822247823,0.4848117319246133
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,org.apache.commons.pool2.TestKeyedObjectPool,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java,org.apache.commons.pool2.KeyedObjectPool,0.0,52.0,0.0,True,True,False,False,False,False,False,True,294,2798.197012046154,18,4,5,5,0,0,78,78,0,2,-0.15151515151515152,0,0.0,0,0,0.0,13,0,0,0,50,802,3516.4525738094444,169,9,145,145,4,3,227,178,49,106,0.32806324110671936,6,0.19791666666666666,0,0,0.0,24,4,0,3,85,False,False,False,False,False,False,False,False,0.9120288812197171,0.7532116560184438
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/TestPoolUtils.java,org.apache.commons.pool2.TestPoolUtils,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils,0.7679738562091504,306.0,0.9850746268656716,True,True,False,False,True,False,False,False,1845,7807.239881464196,34,11,16,16,6,1,142,131,11,24,0.05147058823529412,3,0.12962962962962962,0,0,0.0,18,6,0,4,67,887,3754.2468464822937,195,23,167,167,3,1,375,372,3,52,0.07122507122507123,12,0.10714285714285714,0,0,0.0,28,3,0,3,98,False,False,False,True,True,True,False,False,0.8392905491463681,0.4439483627676964
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,org.apache.commons.pool2.TestBaseObjectPool,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java,org.apache.commons.pool2.BaseObjectPool,0.3333333333333333,48.0,0.5333333333333333,True,True,False,False,False,False,False,False,127,818.2833017878055,13,0,2,2,1,1,52,49,3,4,-0.13333333333333333,8,0.2727272727272727,0,0,0.0,11,1,0,1,24,294,1069.0339221656202,83,4,69,69,1,1,70,49,21,41,0.35897435897435903,7,0.5,0,0,0.0,14,1,0,1,53,False,False,False,False,False,False,False,False,0.936300055547194,0.8169126475558561
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestBaseGenericObjectPool.java,org.apache.commons.pool2.impl.TestBaseGenericObjectPool,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java,org.apache.commons.pool2.impl.BaseGenericObjectPool,0.15762004175365346,958.0,0.5448275862068965,True,True,False,False,False,False,False,False,1442,10735.709490556426,145,24,80,80,36,13,1998,1916,82,122,0.028769841269841268,1,0.0405982905982906,0,0,0.0,65,36,1,27,214,106,425.92492380543155,30,6,24,24,2,2,1,0,14,14,0.9,1,0.8333333333333334,0,0,0.0,6,2,0,0,13,False,False,False,True,True,True,False,True,0.8828926928023376,0.4975909714897474
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObjectInfo.java,org.apache.commons.pool2.impl.TestDefaultPooledObjectInfo,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObjectInfo.java,org.apache.commons.pool2.impl.DefaultPooledObjectInfo,0.7142857142857143,56.0,0.7391304347826086,True,True,False,False,True,False,False,False,110,530.7886225480237,34,4,22,22,1,1,0,0,66,66,1.0,0,1.0,0,0,0.0,12,1,0,1,27,128,409.9229393756874,47,5,43,43,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,10,False,False,False,False,False,False,False,False,0.7975734174251556,0.27488451707176864
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestEvictionConfig.java,org.apache.commons.pool2.impl.TestEvictionConfig,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionConfig.java,org.apache.commons.pool2.impl.EvictionConfig,0.6269841269841271,126.0,0.5714285714285714,True,True,False,False,False,False,False,False,115,775.9319827980977,7,0,2,2,3,2,3,0,7,7,0.5,1,0.6,0,0,0.0,5,3,0,3,14,43,107.70256925723541,5,2,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,False,0.9359642386436462,0.5895617008209229
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,org.apache.commons.pool2.impl.TestLinkedBlockingDeque,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/LinkedBlockingDeque.java,org.apache.commons.pool2.impl.LinkedBlockingDeque,0.5766299745977985,1181.0,0.7910447761194029,True,True,False,False,False,False,False,False,1412,7645.983238921148,200,9,139,139,8,5,1279,728,551,596,0.30282485875706217,7,0.17827868852459014,0,0,0.0,61,8,0,8,208,510,1653.3597369175445,236,13,195,195,4,2,0,0,820,820,1.0,3,0.7378048780487805,0,0,0.0,41,4,0,3,78,False,False,False,True,True,False,False,False,0.8707979555065567,0.6776950940853212
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestEvictionTimer.java,org.apache.commons.pool2.impl.TestEvictionTimer,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java,org.apache.commons.pool2.impl.EvictionTimer,0.9469026548672568,113.0,0.7894736842105263,True,True,False,False,False,False,False,False,221,2163.103348225046,25,9,19,19,2,2,9,3,6,6,0.1,3,0.5833333333333334,0,0,0.0,6,2,0,2,17,112,372.59949524445364,17,13,14,14,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,8,False,False,False,False,False,False,False,False,0.7368153035640717,0.5943126529455185
commons-pool,,3fb7df661d521d57297d6aafa2d2d57356ae4adf,/home/dorma10/mutation-analysis/projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,org.apache.commons.pool2.impl.TestDefaultPooledObject,/home/dorma10/mutation-analysis/projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObject.java,org.apache.commons.pool2.impl.DefaultPooledObject,0.037422037422037424,481.0,0.3295454545454545,False,False,False,False,False,False,False,False,300,2113.5499119596816,43,5,20,20,10,5,190,127,63,64,0.18181818181818185,2,0.15217391304347827,0,0,0.0,23,10,0,10,51,80,315.80633172036426,9,8,8,8,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4,False,False,False,False,False,False,False,False,0.8699312365573385,0.04617180675268173
