project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/StrLookupTest.java,org.apache.commons.text.StrLookupTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/StrLookup.java,org.apache.commons.text.StrLookup,1.0,4.0,1.0,True,False,False,False,False,False,True,False,213,1645.748668350398,5,4,0,0,2,1,10,10,0,0,-0.6666666666666666,4,0.2,0,0,0.0,5,2,0,2,10,134,674.4639542783464,45,8,37,37,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,10,False,False,False,False,False,False,False,False,0.8784622400999069,0.5942194350063801
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/StringTokenizerTest.java,org.apache.commons.text.StringTokenizerTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/StringTokenizer.java,org.apache.commons.text.StringTokenizer,0.9487179487179488,156.0,0.996,True,True,False,False,True,False,False,True,1175,6901.8490232488675,144,8,80,80,9,5,1906,1796,110,170,0.05478750640040963,6,0.05965909090909091,0,0,0.0,64,11,0,11,187,942,3506.0641191456707,458,13,389,389,2,1,2345,2344,1,9,-0.025899912203687446,68,0.021739130434782608,0,0,0.0,69,2,0,2,85,False,False,False,True,True,False,False,False,0.9044649717397988,0.6474425623166389
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/WordUtilsTest.java,org.apache.commons.text.WordUtilsTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/WordUtils.java,org.apache.commons.text.WordUtils,0.8427672955974843,159.0,0.9330143540669856,True,True,False,False,False,False,False,False,923,6535.911805689716,88,7,70,70,0,0,153,153,0,12,-0.036764705882352935,0,0.0,0,0,0.0,18,0,0,0,80,565,3338.8657159042987,144,7,112,112,0,0,496,496,0,0,-0.06666666666666668,0,0.0,0,0,0.0,32,0,0,0,34,False,False,False,False,False,False,False,True,0.8292047364844216,0.5684023309731856
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/ExtendedMessageFormatTest.java,org.apache.commons.text.ExtendedMessageFormatTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/ExtendedMessageFormat.java,org.apache.commons.text.ExtendedMessageFormat,0.84,100.0,0.9787234042553192,True,True,False,False,True,False,False,False,575,4111.230957323371,90,12,69,69,9,5,184,158,26,39,0.1,2,0.13756613756613756,0,0,0.0,21,9,0,9,82,579,3587.073233717479,115,20,89,89,1,1,304,283,21,39,0.04666666666666667,19,0.2692307692307692,0,0,0.0,26,1,0,1,51,False,False,False,True,False,True,False,True,0.7961069274516333,0.6127843650824883
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/StrSubstitutorTest.java,org.apache.commons.text.StrSubstitutorTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/StrSubstitutor.java,org.apache.commons.text.StrSubstitutor,0.9036144578313252,166.0,1.0,True,True,False,False,True,False,False,True,1275,7836.387266958308,182,7,125,125,12,4,1550,1504,46,205,0.09675324675324676,4,0.05701754385964913,0,0,0.0,57,12,4,8,174,799,4209.241121328924,220,14,165,165,1,1,1407,1329,78,108,0.03773584905660377,42,0.2363636363636364,0,0,0.0,55,1,0,1,65,False,False,False,True,True,False,True,True,0.8514771911135891,0.7223239572210746
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/RandomStringGeneratorTest.java,org.apache.commons.text.RandomStringGeneratorTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/RandomStringGenerator.java,org.apache.commons.text.RandomStringGenerator,0.7,30.0,0.9761904761904762,True,True,False,False,False,False,False,False,468,3847.572372072072,23,9,18,18,5,4,5,0,5,9,0.8333333333333334,0,0.48,0,0,0.0,5,5,0,5,22,285,1149.8801148958146,127,5,106,106,2,1,207,204,3,5,-0.07894736842105263,19,0.11904761904761905,0,0,0.0,21,2,0,2,41,False,False,False,False,False,False,False,False,0.7949645112861287,0.5398792212917691
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/FormattableUtilsTest.java,org.apache.commons.text.FormattableUtilsTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/FormattableUtils.java,org.apache.commons.text.FormattableUtils,0.8636363636363636,22.0,1.0,True,True,False,False,True,False,False,False,158,1409.2620528805078,15,4,9,9,1,1,15,15,0,7,0.2,5,0.16666666666666666,0,0,0.0,6,1,0,1,21,177,751.4096373960158,36,7,27,27,0,0,36,36,0,4,-0.14285714285714285,0,0.0,0,0,0.0,9,0,0,0,11,False,False,False,False,False,False,False,False,0.8243600974480311,0.4777592136947946
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/TextStringBuilder.java,org.apache.commons.text.TextStringBuilder,0.645083932853717,834.0,0.7658998646820027,True,True,False,True,True,False,False,True,3120,15933.492366068202,455,12,290,290,11,5,10268,7006,3262,4418,0.3182702379171031,15,0.08925619834710742,0,0,0.0,165,11,0,10,560,2280,10515.656570336603,631,25,511,511,1,1,7095,7050,45,166,0.006694203104970802,110,0.08333333333333333,0,0,0.0,120,1,0,0,153,False,False,False,True,True,True,False,True,0.8663215136205827,0.587206741054466
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/StrBuilderTest.java,org.apache.commons.text.StrBuilderTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/StrBuilder.java,org.apache.commons.text.StrBuilder,0.5744186046511628,860.0,0.7253613666228647,True,True,False,True,True,False,False,False,3065,14673.677741284502,427,10,278,278,6,4,7844,4662,3182,4163,0.3690935833792977,24,0.16778523489932887,0,0,0.0,149,6,0,4,521,2071,9491.308810695047,518,20,418,418,1,1,4905,4860,45,45,-0.011131725417439705,90,0.1,0,0,0.0,100,1,0,0,128,False,False,False,True,True,False,False,True,0.8682424771715198,0.6202620674728179
commons-text,,cb85bed468e99d34b88d0c81fe20eb3b1615660e,/home/dorma10/mutation-analysis/projects/commons-text/src/test/java/org/apache/commons/text/StrTokenizerTest.java,org.apache.commons.text.StrTokenizerTest,/home/dorma10/mutation-analysis/projects/commons-text/src/main/java/org/apache/commons/text/StrTokenizer.java,org.apache.commons.text.StrTokenizer,0.9487179487179488,156.0,0.9960317460317459,True,True,False,False,True,False,False,True,1129,6869.5792891587735,144,6,80,80,9,5,1906,1796,110,170,0.05478750640040963,6,0.05965909090909091,0,0,0.0,64,11,0,11,187,936,3561.502167903859,456,11,387,387,2,1,2345,2344,1,9,-0.025899912203687446,68,0.021739130434782608,0,0,0.0,69,2,0,2,85,False,False,False,True,True,False,False,False,0.9211100186221302,0.6575473126401936
