project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java,org.apache.commons.validator.CreditCardValidatorTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java,org.apache.commons.validator.CreditCardValidator,0.7984886649874056,397.0,1.0,True,True,False,False,False,False,False,False,260,2387.9271521761184,14,3,9,9,6,2,6,2,4,5,0.16666666666666666,0,0.36666666666666653,0,0,0.0,5,6,5,1,13,89,524.5387871969134,10,1,7,7,6,1,2,1,1,1,-1.0,0,0.5555555555555556,0,0,0.0,3,6,0,6,4,False,False,False,False,False,False,False,False,0.7900125324726105,0.8277218192815781
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/FieldTest.java,org.apache.commons.validator.FieldTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/Field.java,org.apache.commons.validator.Field,0.2335766423357664,1233.0,0.20350877192982456,False,True,False,False,False,False,False,False,957,6652.077312521687,196,14,147,147,18,7,1055,934,121,156,0.09574468085106384,2,0.07142857142857142,0,0,0.0,49,18,1,3,158,286,1358.843352907769,78,1,61,61,1,1,81,26,55,93,0.6416666666666667,6,0.6470588235294118,0,0,0.0,17,1,0,0,32,False,False,False,True,False,True,False,True,0.8564684397103836,0.8865456090253943
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/GenericValidatorTest.java,org.apache.commons.validator.GenericValidatorTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/GenericValidator.java,org.apache.commons.validator.GenericValidator,0.17618110236220472,1016.0,0.3043478260869565,False,True,False,False,False,False,False,False,435,2210.4356206394345,58,7,26,26,3,3,496,496,0,2,-0.06236559139784946,16,0.02083333333333333,0,0,0.0,32,3,0,3,134,77,338.1816226406151,9,1,6,6,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,4,False,False,False,False,False,False,False,False,0.9486765991896392,0.6981990536053976
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/VarTest.java,org.apache.commons.validator.VarTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java,org.apache.commons.validator.Var,0.27380952380952384,84.0,0.5,False,True,False,False,False,False,False,False,218,1217.9455841172796,17,1,3,3,9,3,69,47,22,23,0.1282051282051282,1,0.14285714285714285,0,0,0.0,14,9,3,6,26,109,712.1323952883757,20,3,16,16,2,1,6,6,0,0,-1.0,4,0.125,0,0,0.0,4,2,0,0,6,False,False,False,False,False,False,False,False,0.9715375006198884,0.850714311003685
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/ISBNValidatorTest.java,org.apache.commons.validator.ISBNValidatorTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/ISBNValidator.java,org.apache.commons.validator.ISBNValidator,1.0,5.0,1.0,True,False,False,False,False,False,False,False,56,502.4422077081488,4,0,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5,60,343.82471476368494,5,1,3,3,5,1,1,1,0,0,-2.0,0,0.5,0,0,0.0,2,5,0,5,3,False,False,False,False,False,False,False,False,0.9297769069671632,0.6346182227134705
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/GenericTypeValidatorTest.java,org.apache.commons.validator.GenericTypeValidatorTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/GenericTypeValidator.java,org.apache.commons.validator.GenericTypeValidator,0.502906976744186,688.0,0.6666666666666666,False,False,False,False,False,False,False,False,472,1987.6597776513327,91,10,76,76,2,2,104,103,1,1,-0.14285714285714285,14,0.06666666666666668,0,0,0.0,15,2,0,2,82,195,1113.7623489660043,53,6,46,46,2,1,21,21,0,2,-0.26666666666666666,7,0.07142857142857142,0,0,0.0,7,2,0,0,15,False,False,False,False,False,False,False,False,0.8026315887769063,0.8178603180817196
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/ValidatorResourcesTest.java,org.apache.commons.validator.ValidatorResourcesTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java,org.apache.commons.validator.ValidatorResources,0.09859154929577464,639.0,0.2073170731707317,False,False,False,False,False,False,False,False,662,5029.881845338351,151,16,124,124,10,6,336,321,15,45,0.05846153846153846,2,0.05555555555555555,0,0,0.0,27,10,0,5,88,52,188.0481462080847,3,2,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5,False,False,False,True,False,True,False,True,0.8243627371611418,0.915186494588852
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/ValidatorTest.java,org.apache.commons.validator.ValidatorTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/Validator.java,org.apache.commons.validator.Validator,0.3614457831325301,166.0,0.578125,True,True,False,False,False,False,False,False,391,2855.4346814791097,30,4,12,12,16,7,117,81,36,36,0.13970588235294118,1,0.1111111111111111,0,0,0.0,18,16,7,1,46,286,1635.2886845879043,77,8,69,69,0,0,28,28,0,3,-0.19047619047619047,0,0.0,0,0,0.0,8,0,0,0,32,False,False,False,False,False,False,False,False,0.9452236957020229,0.8121268649895986
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/ValidatorResultsTest.java,org.apache.commons.validator.ValidatorResultsTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResults.java,org.apache.commons.validator.ValidatorResults,0.25,80.0,0.3793103448275862,False,False,False,False,False,False,False,False,152,1145.503407923881,27,6,19,19,2,2,7,0,21,22,0.7142857142857143,5,0.4375,0,0,0.0,8,2,0,1,21,163,793.4387057329499,32,2,23,23,7,1,32,28,4,10,0.07142857142857142,1,0.2380952380952381,0,0,0.0,9,7,0,7,17,False,False,False,False,False,False,False,False,0.8980448544025421,0.8837880624665154
commons-validator,,f9bb21748a9f9c50fbc31862de25ed49433ecc88,/home/dorma10/mutation-analysis/projects/commons-validator/src/test/java/org/apache/commons/validator/routines/CreditCardValidatorTest.java,org.apache.commons.validator.routines.CreditCardValidatorTest,/home/dorma10/mutation-analysis/projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java,org.apache.commons.validator.CreditCardValidator,0.0,397.0,0.0,True,False,False,False,False,False,False,False,260,2387.9271521761184,14,3,9,9,6,2,6,2,4,5,0.16666666666666666,0,0.36666666666666653,0,0,0.0,5,6,5,1,13,650,3016.3071700825194,127,3,106,106,19,2,104,0,106,106,0.4526315789473685,0,0.3032581453634085,0,0,0.0,21,19,0,19,26,False,False,False,False,False,False,False,False,0.7900125324726105,0.6385155827516601
