project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/UndefinedEqualsTest.java,com.google.errorprone.bugpatterns.UndefinedEqualsTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/UndefinedEquals.java,com.google.errorprone.bugpatterns.UndefinedEquals,0.0,347.0,0.0,True,False,False,False,True,False,False,False,173,640.2091223387598,32,30,29,29,2,2,3,3,0,1,-1.0,2,0.3333333333333333,0,0,0.0,3,2,0,2,11,470,1094.311038798985,59,7,44,44,1,1,77,49,28,29,0.16483516483516486,7,0.5333333333333333,0,0,0.0,15,1,0,1,18,False,False,False,False,False,True,False,True,0.3070740823944409,0.9371158520380656
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/ProtoRedundantSetTest.java,com.google.errorprone.bugpatterns.ProtoRedundantSetTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/ProtoRedundantSet.java,com.google.errorprone.bugpatterns.ProtoRedundantSet,0.0,325.0,0.0,False,False,False,False,False,False,False,False,267,1257.1668015285295,68,24,60,60,3,2,28,28,0,11,0.19047619047619047,3,0.125,0,0,0.0,8,3,0,2,28,203,609.2793192761817,18,7,13,13,1,1,4,0,6,6,0.3333333333333333,1,0.8,0,0,0.0,5,1,0,1,5,False,False,False,False,False,True,False,True,0.6850629947755648,0.9617465615272522
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/SizeGreaterThanOrEqualsZeroTest.java,com.google.errorprone.bugpatterns.SizeGreaterThanOrEqualsZeroTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/SizeGreaterThanOrEqualsZero.java,com.google.errorprone.bugpatterns.SizeGreaterThanOrEqualsZero,0.0,367.0,0.0,False,False,False,False,False,False,False,False,295,1391.6107273422951,75,31,66,66,10,4,25,14,11,13,0.17857142857142858,0,0.17777777777777778,0,0,0.0,9,10,0,10,32,48,110.63482412027996,9,6,6,6,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,4,False,False,False,False,False,True,False,True,0.3632553666830063,0.7457628051439921
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/ProtoFieldNullComparisonTest.java,com.google.errorprone.bugpatterns.ProtoFieldNullComparisonTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/ProtoFieldNullComparison.java,com.google.errorprone.bugpatterns.ProtoFieldNullComparison,0.0,133.0,0.0,True,False,False,False,False,False,False,False,552,2616.3576956889897,128,50,105,105,18,7,252,251,1,10,-0.05194805194805195,1,0.026570048309178744,0,0,0.0,23,18,0,18,53,421,1485.3263707202136,59,6,41,41,1,1,0,0,153,153,1.0,0,1.0,0,0,0.0,18,1,0,1,31,False,False,False,True,False,True,False,True,0.5054897409346368,0.9155345989598168
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/ProtoTruthMixedDescriptorsTest.java,com.google.errorprone.bugpatterns.ProtoTruthMixedDescriptorsTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/ProtoTruthMixedDescriptors.java,com.google.errorprone.bugpatterns.ProtoTruthMixedDescriptors,0.0,182.0,0.0,True,False,False,False,False,False,False,False,142,680.1812163693793,31,24,28,28,4,2,3,3,0,1,-1.0,0,0.3333333333333333,0,0,0.0,3,4,0,4,11,116,316.53939409504443,12,5,8,8,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,4,False,False,False,False,False,True,False,True,0.3134480069080989,0.9543227553367616
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/time/ProtoTimestampGetSecondsGetNanoTest.java,com.google.errorprone.bugpatterns.time.ProtoTimestampGetSecondsGetNanoTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/time/ProtoTimestampGetSecondsGetNano.java,com.google.errorprone.bugpatterns.time.ProtoTimestampGetSecondsGetNano,0.0,30.0,0.0,False,False,False,False,False,False,False,False,62,417.46431716438406,4,11,3,3,2,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,2,0,2,3,347,778.6407837495326,54,5,36,36,1,1,0,0,153,153,1.0,0,1.0,0,0,0.0,18,1,0,1,23,False,False,False,False,False,True,False,False,0.6035307049751282,0.9081888066397772
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/time/ProtoDurationGetSecondsGetNanoTest.java,com.google.errorprone.bugpatterns.time.ProtoDurationGetSecondsGetNanoTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/time/ProtoDurationGetSecondsGetNano.java,com.google.errorprone.bugpatterns.time.ProtoDurationGetSecondsGetNano,0.0,30.0,0.0,False,False,False,False,False,False,False,False,62,411.91610431157227,4,11,3,3,2,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,2,0,2,3,397,878.1708233752574,63,5,42,42,1,1,0,0,210,210,1.0,0,1.0,0,0,0.0,21,1,0,1,28,False,False,False,False,False,True,False,False,0.6035307049751282,0.92316434496925
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/refaster/UWildcardTest.java,com.google.errorprone.refaster.UWildcardTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/refaster/UWildcard.java,com.google.errorprone.refaster.UWildcard,0.42,100.0,0.5555555555555556,False,False,False,False,False,False,False,False,82,407.0077068185907,21,11,15,15,1,1,14,13,1,6,0.1,4,0.3333333333333333,0,0,0.0,6,1,0,1,12,53,114.02294334900543,7,6,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,True,False,False,0.6165179759263992,0.6914633512496948
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/refaster/ChoiceTest.java,com.google.errorprone.refaster.ChoiceTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/refaster/Choice.java,com.google.errorprone.refaster.Choice,0.2898550724637681,138.0,0.6216216216216216,True,True,False,False,False,False,False,False,301,1712.6268125252432,129,12,89,89,1,1,780,780,0,139,0.1349527665317139,39,0.025,0,0,0.0,40,1,0,1,106,71,137.73008298253345,37,9,33,33,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,6,False,False,False,False,False,True,False,False,0.6409401714801788,0.5276824682950974
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/refaster/UAssignOpTest.java,com.google.errorprone.refaster.UAssignOpTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/refaster/UAssignOp.java,com.google.errorprone.refaster.UAssignOp,0.08,50.0,0.6923076923076923,False,False,False,False,False,False,False,False,89,365.15107105167124,23,8,16,16,1,1,20,19,1,8,0.13333333333333333,5,0.2857142857142857,0,0,0.0,7,1,0,1,13,50,96.552873734312,9,6,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.6835574592862811,0.4857428818941116
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/refaster/UTypeParameterTest.java,com.google.errorprone.refaster.UTypeParameterTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/refaster/UTypeParameter.java,com.google.errorprone.refaster.UTypeParameter,0.275,40.0,0.3076923076923077,False,True,False,False,False,False,False,False,83,367.2219682616477,27,8,18,18,0,0,36,36,0,7,-0.03571428571428571,0,0.0,0,0,0.0,9,0,0,0,17,45,96.552873734312,7,5,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.5932219061586592,0.7191794216632843
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/refaster/UPrimitiveTypeTreeTest.java,com.google.errorprone.refaster.UPrimitiveTypeTreeTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/refaster/UPrimitiveTypeTree.java,com.google.errorprone.refaster.UPrimitiveTypeTree,0.125,24.0,0.7058823529411765,False,False,False,False,False,False,False,False,75,357.5430649701538,16,6,9,9,0,0,21,21,0,4,-0.13333333333333333,0,0.0,0,0,0.0,7,10,10,0,14,53,96.552873734312,6,6,4,4,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.7260196975299291,0.4874440282583237
error-prone,core,1e2c8ac094d6d8b8c968f722d723800c5a79fb20,/home/dorma10/mutation-analysis/projects/error-prone/core/src/test/java/com/google/errorprone/refaster/UEnhancedForLoopTest.java,com.google.errorprone.refaster.UEnhancedForLoopTest,/home/dorma10/mutation-analysis/projects/error-prone/core/src/main/java/com/google/errorprone/refaster/UEnhancedForLoop.java,com.google.errorprone.refaster.UEnhancedForLoop,0.08823529411764706,34.0,0.14285714285714285,False,False,False,False,False,False,False,False,74,317.3821249681141,21,5,13,13,0,0,28,28,0,7,0.0,0,0.0,0,0,0.0,8,0,0,0,15,68,96.552873734312,9,5,7,7,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.7067459672689438,0.5713092088699341
