project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/losttests/LostTestAnalyserTest.java,org.pitest.highwheel.losttests.LostTestAnalyserTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/losttests/LostTestAnalyser.java,org.pitest.highwheel.losttests.LostTestAnalyser,0.7083333333333334,24.0,1.0,False,False,False,False,False,False,False,False,24,153.89349010569822,8,2,7,7,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,65,174.39073511250928,29,10,24,24,4,3,4,0,6,6,0.3333333333333333,0,0.8,0,0,0.0,5,4,0,4,10,False,False,False,False,False,False,False,False,0.5156416893005371,0.6596121847629547
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/losttests/TesteeGuesserTest.java,org.pitest.highwheel.losttests.TesteeGuesserTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/losttests/TesteeGuesser.java,org.pitest.highwheel.losttests.TesteeGuesser,0.8157894736842105,114.0,0.9166666666666666,False,False,False,False,False,False,False,False,56,290.26503401494494,23,3,18,18,1,1,7,4,3,6,0.3333333333333333,2,0.6,0,0,0.0,5,1,0,1,13,54,154.4720225971801,35,9,29,29,2,2,9,3,6,7,0.2,3,0.5833333333333334,0,0,0.0,6,2,0,2,9,False,False,False,False,False,False,False,False,0.6963020920753479,0.6330202221870422
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/cycles/PackageNameGraphGeneratorTest.java,org.pitest.highwheel.cycles.PackageNameGraphGeneratorTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/cycles/PackageNameGraphGenerator.java,org.pitest.highwheel.cycles.PackageNameGraphGenerator,0.7108433734939759,83.0,0.9583333333333334,True,False,False,False,False,False,False,False,56,288.9050380389821,15,6,12,12,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,11,67,189.53268377010517,43,8,37,37,0,0,15,15,0,5,0.0,0,0.0,0,0,0.0,6,0,0,0,7,False,False,False,False,False,False,False,False,0.3322621037562688,0.5333720048268636
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/cycles/PackageGraphGeneratorTest.java,org.pitest.highwheel.cycles.PackageGraphGeneratorTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/cycles/PackageGraphGenerator.java,org.pitest.highwheel.cycles.PackageGraphGenerator,0.9,10.0,0.8888888888888888,True,False,False,False,False,False,False,False,27,128.49368716645608,7,5,6,6,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,43,162.21551458803725,16,8,13,13,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,4,False,False,False,False,False,False,False,False,0.28085044026374817,0.4216992209355037
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/cycles/PackageDistanceAnalyserTest.java,org.pitest.highwheel.cycles.PackageDistanceAnalyserTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/cycles/PackageDistanceAnalyser.java,org.pitest.highwheel.cycles.PackageDistanceAnalyser,0.6875,32.0,1.0,True,False,False,False,False,False,False,False,40,210.28501251353543,11,6,8,8,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,6,73,258.23929869617575,31,8,25,25,1,1,5,0,10,12,0.7,1,0.8333333333333334,0,0,0.0,6,1,0,1,10,False,False,False,False,False,False,False,False,0.4958995779355367,0.5783465405305227
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/cycles/CycleAnalyserTest.java,org.pitest.highwheel.cycles.CycleAnalyserTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/cycles/CycleAnalyser.java,org.pitest.highwheel.cycles.CycleAnalyser,0.8153846153846154,130.0,0.9722222222222222,False,False,False,False,False,False,False,False,161,846.3600113377063,53,13,39,39,2,1,90,89,1,17,0.05128205128205128,13,0.10714285714285714,0,0,0.0,14,2,0,2,30,124,407.2314103790294,64,12,54,54,7,5,9,0,36,42,0.9166666666666666,0,0.5714285714285714,0,0,0.0,10,7,0,6,20,False,False,False,False,False,True,False,False,0.43279055372944897,0.5928545325994492
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/cycles/ClassDependencyGraphBuildingVisitorTest.java,org.pitest.highwheel.cycles.ClassDependencyGraphBuildingVisitorTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/cycles/ClassDependencyGraphBuildingVisitor.java,org.pitest.highwheel.cycles.ClassDependencyGraphBuildingVisitor,0.7916666666666666,24.0,0.8235294117647058,True,False,False,False,False,False,False,False,56,237.34323234072826,12,6,6,6,1,1,9,3,6,6,0.1,2,0.6666666666666666,0,0,0.0,6,1,0,1,8,99,320.25228478207913,54,12,44,44,2,2,30,15,15,33,0.6666666666666666,4,0.6,0,0,0.0,10,2,0,0,16,False,False,False,False,False,False,False,False,0.7751165131727854,0.6842548251152039
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/oracle/SimpleFlatFileOracleParserTest.java,org.pitest.highwheel.oracle.SimpleFlatFileOracleParserTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/oracle/SimpleFlatFileOracleParser.java,org.pitest.highwheel.oracle.SimpleFlatFileOracleParser,0.9310344827586208,58.0,1.0,False,False,False,False,False,False,False,False,66,402.77406144192366,26,10,22,22,1,1,5,4,1,2,-0.3333333333333333,2,0.5,0,0,0.0,4,1,0,1,11,80,329.5836866004329,38,10,29,29,0,0,36,36,0,13,0.17857142857142858,0,0.0,0,0,0.0,9,0,0,0,21,False,False,False,False,False,False,False,True,0.445015724748373,0.6946817967626784
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/util/StreamUtilTest.java,org.pitest.highwheel.util.StreamUtilTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/util/StreamUtil.java,org.pitest.highwheel.util.StreamUtil,0.8113207547169812,53.0,0.8888888888888888,True,True,False,False,True,False,False,False,47,267.97116291388454,15,9,11,11,0,0,6,6,0,3,0.0,0,0.0,0,0,0.0,4,0,0,0,12,52,204.8857032243287,18,7,13,13,0,0,10,10,0,2,-0.3333333333333333,0,0.0,0,0,0.0,5,0,0,0,10,False,False,False,False,False,False,False,False,0.7409185916185379,0.7628574967384338
highwheel,highwheel-core,e4257ebb9cad5bc799246c331cd8849c1bbbf717,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/test/java/org/pitest/highwheel/util/GlobToRegexTest.java,org.pitest.highwheel.util.GlobToRegexTest,/home/dorma10/mutation-analysis/projects/highwheel/highwheel-core/src/main/java/org/pitest/highwheel/util/GlobToRegex.java,org.pitest.highwheel.util.GlobToRegex,0.9333333333333332,75.0,0.9444444444444444,True,False,False,False,False,False,False,False,33,148.1937276609041,5,0,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,5,82,282.78012406400615,36,4,25,25,0,0,55,55,0,10,0.0,0,0.0,0,0,0.0,11,0,0,0,14,False,False,False,False,False,False,False,False,0.4389443397521973,0.8516034700653771
