project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/ObjectReaderTest.java,com.fasterxml.jackson.databind.ObjectReaderTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/ObjectReader.java,com.fasterxml.jackson.databind.ObjectReader,0.3421828908554572,339.0,0.4918032786885246,True,True,False,False,True,False,False,False,2483,12410.676847802317,597,18,442,442,14,13,8342,4749,3593,4305,0.3523469994058229,10,0.10783410138248847,0,0,0.0,155,14,0,2,573,527,2490.283052389363,238,14,207,207,1,1,114,0,351,353,0.7425287356321839,4,0.8709677419354839,0,0,0.0,31,1,0,0,78,False,False,False,True,True,True,False,True,0.7748117839136431,0.6488701277412474
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/ObjectWriterTest.java,com.fasterxml.jackson.databind.ObjectWriterTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java,com.fasterxml.jackson.databind.ObjectWriter,0.4785714285714286,140.0,0.645021645021645,True,True,False,False,True,False,False,False,1520,8429.260902751965,291,19,195,195,8,8,3018,1476,1542,1771,0.3753639417693169,11,0.15885416666666666,0,0,0.0,96,8,0,1,293,305,1506.5611604068,120,11,105,105,1,1,0,0,105,105,1.0,0,1.0,0,0,0.0,15,1,0,0,37,False,False,False,True,True,True,False,False,0.8166749829595742,0.6708220673931969
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/ObjectMapperTest.java,com.fasterxml.jackson.databind.ObjectMapperTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java,com.fasterxml.jackson.databind.ObjectMapper,0.1464968152866242,471.0,0.2421972534332085,True,True,False,False,True,False,False,False,4738,27865.314980235282,982,32,695,695,17,17,36208,31375,4833,5599,0.1303643724696356,16,0.0584136093461775,0,0,0.0,287,17,1,1,967,473,2118.3452037181437,162,16,138,138,1,1,261,246,15,15,-0.031620553359683785,18,0.25,0,0,0.0,24,1,0,1,43,False,True,False,True,True,True,False,True,0.7853572003669658,0.6844213574097074
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java,com.fasterxml.jackson.databind.ser.BeanSerializerModifierTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifier.java,com.fasterxml.jackson.databind.ser.BeanSerializerModifier,0.4545454545454545,11.0,0.5,False,False,False,False,False,False,True,False,187,2105.2368525333686,11,4,0,0,0,0,55,55,0,0,-0.2222222222222222,0,0.0,0,0,0.0,11,0,0,0,37,362,1682.2062857618787,58,16,45,45,0,0,78,78,0,0,-0.18181818181818185,0,0.0,0,0,0.0,13,0,0,0,37,False,False,False,False,False,False,False,False,0.6687055799094114,0.5516529125280869
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/ser/RawValueTest.java,com.fasterxml.jackson.databind.ser.RawValueTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/util/RawValue.java,com.fasterxml.jackson.databind.util.RawValue,0.15384615384615385,26.0,0.2368421052631579,True,False,False,False,False,False,False,False,124,1085.4684847568744,24,6,12,12,1,1,0,0,66,66,1.0,0,1.0,0,0,0.0,12,1,0,0,33,99,500.4538313579042,21,6,16,16,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,1,12,False,False,False,False,False,False,False,False,0.8225775361061096,0.7268127143383026
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/node/JsonNodeFactoryTest.java,com.fasterxml.jackson.databind.node.JsonNodeFactoryTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/node/JsonNodeFactory.java,com.fasterxml.jackson.databind.node.JsonNodeFactory,0.4318181818181818,44.0,0.3043478260869565,True,True,False,False,False,False,False,False,366,2622.7823574682025,65,4,36,36,2,2,405,404,1,9,-0.05026455026455026,7,0.027586206896551724,0,0,0.0,29,5,1,4,81,39,129.5246434060893,10,3,9,9,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,1,False,False,False,False,False,False,False,False,0.8984743541684644,0.19695979356765747
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/node/TextNodeTest.java,com.fasterxml.jackson.databind.node.TextNodeTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/node/TextNode.java,com.fasterxml.jackson.databind.node.TextNode,0.5263157894736842,38.0,0.5,True,True,False,False,False,False,False,False,176,1285.6210545369192,38,7,21,21,2,2,70,4,66,67,0.425,6,0.2549019607843137,0,0,0.0,17,3,0,1,44,34,139.83664470202234,15,0,14,14,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,False,0.8093641435398775,0.9003398418426514
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/node/POJONodeTest.java,com.fasterxml.jackson.databind.node.POJONodeTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/node/POJONode.java,com.fasterxml.jackson.databind.node.POJONode,0.075,40.0,0.1388888888888889,True,False,False,False,False,False,False,False,160,941.7782136248767,27,4,12,12,2,2,39,0,66,67,0.5824175824175825,9,0.4,0,0,0.0,15,2,0,1,41,55,336.4497326172989,8,7,7,7,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,0,2,False,False,False,False,False,False,False,False,0.8283546209335327,0.6662049293518066
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/node/ArrayNodeTest.java,com.fasterxml.jackson.databind.node.ArrayNodeTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/node/ArrayNode.java,com.fasterxml.jackson.databind.node.ArrayNode,0.3690476190476191,168.0,0.5990783410138248,True,True,False,False,False,False,False,False,881,3520.897368239505,231,14,157,157,2,2,2323,1945,378,491,0.15905631659056316,60,0.1891891891891892,0,0,0.0,74,2,0,2,226,365,1871.934549790098,164,12,151,151,0,0,78,78,0,0,-0.18181818181818185,0,0.0,0,0,0.0,13,0,0,0,26,False,False,False,True,False,True,False,False,0.8355410972962508,0.550477840579473
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/node/ObjectNodeTest.java,com.fasterxml.jackson.databind.node.ObjectNodeTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/node/ObjectNode.java,com.fasterxml.jackson.databind.node.ObjectNode,0.3636363636363637,132.0,0.3961352657004831,True,True,False,False,False,False,False,False,898,4246.039746320109,242,9,175,175,2,2,1545,879,666,834,0.35804195804195804,49,0.27611940298507465,0,0,0.0,67,2,0,1,213,469,2485.6722839484587,181,9,161,161,1,1,70,0,120,120,0.5906432748538012,4,0.8,0,0,0.0,20,1,0,1,46,False,False,False,True,False,False,False,True,0.8150861325548656,0.7177159935235977
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/seq/SequenceWriterTest.java,com.fasterxml.jackson.databind.seq.SequenceWriterTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/SequenceWriter.java,com.fasterxml.jackson.databind.SequenceWriter,0.5737704918032787,61.0,0.8727272727272727,True,True,False,False,True,False,False,False,331,2217.490698983802,56,8,42,42,11,7,52,13,39,45,0.41025641025641024,1,0.2792207792207792,0,0,0.0,14,11,0,0,60,238,1017.675719759324,72,11,65,65,2,2,11,1,10,10,0.26666666666666666,4,0.42857142857142855,0,0,0.0,7,2,0,2,16,False,False,False,False,False,False,False,False,0.6110029805983815,0.6993092553956168
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/jsontype/TypeDeserializerTest.java,com.fasterxml.jackson.databind.jsontype.TypeDeserializerTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/jsontype/TypeDeserializer.java,com.fasterxml.jackson.databind.jsontype.TypeDeserializer,0.9285714285714286,14.0,0.8823529411764706,True,True,False,False,False,False,False,False,179,1689.440528512692,19,7,8,8,0,0,55,55,0,1,-0.2,0,0.0,0,0,0.0,11,0,0,0,36,43,157.9872275118075,8,2,7,7,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,False,False,False,False,False,0.8263728997924111,0.22592753171920776
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java,com.fasterxml.jackson.databind.module.SimpleModuleTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/module/SimpleModule.java,com.fasterxml.jackson.databind.module.SimpleModule,0.3125,80.0,0.4230769230769231,True,True,False,False,False,False,False,False,548,3899.206783915729,78,11,46,46,14,13,445,394,51,65,0.07311827956989247,2,0.09598214285714286,0,0,0.0,32,14,0,1,86,377,2215.626297910118,81,11,69,69,1,1,63,60,3,3,-0.14545454545454545,9,0.25,0,0,0.0,12,1,0,0,26,False,False,False,True,False,True,False,True,0.7702890625223517,0.7026174262617574
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/util/ClassUtilTest.java,com.fasterxml.jackson.databind.util.ClassUtilTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/util/ClassUtil.java,com.fasterxml.jackson.databind.util.ClassUtil,0.5368421052631579,285.0,0.5747126436781609,True,True,False,False,False,False,False,False,1372,9919.365520279804,249,11,175,175,4,4,2701,2701,0,54,-0.007229832572298325,24,0.013513513513513514,0,0,0.0,74,4,0,4,260,313,1487.3497660628846,85,9,69,69,1,1,119,118,1,1,-0.13333333333333333,14,0.125,0,0,0.0,16,1,0,0,31,False,False,False,True,True,True,False,False,0.7277229071759126,0.7185742020606994
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/util/EnumValuesTest.java,com.fasterxml.jackson.databind.util.EnumValuesTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/util/EnumValues.java,com.fasterxml.jackson.databind.util.EnumValues,0.9090909090909092,22.0,0.9130434782608696,True,True,False,False,True,False,False,False,137,1105.5116354023055,39,4,28,28,5,5,46,37,9,17,0.15555555555555556,2,0.18181818181818185,0,0,0.0,11,5,0,5,32,67,279.8163117157726,33,5,28,28,3,3,3,0,7,9,0.8333333333333334,1,0.6,0,0,0.0,5,3,0,1,6,False,False,False,False,False,False,False,False,0.4691446233879436,0.483706995844841
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/util/JSONPObjectTest.java,com.fasterxml.jackson.databind.util.JSONPObjectTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/util/JSONPObject.java,com.fasterxml.jackson.databind.util.JSONPObject,0.3333333333333333,15.0,0.7037037037037037,False,False,False,False,False,False,False,False,106,747.9920350858987,16,4,9,9,3,3,14,7,7,8,0.13333333333333333,2,0.42857142857142855,0,0,0.0,7,3,0,0,14,37,306.38183020177684,15,3,12,12,2,2,0,0,3,3,1.0,0,1.0,0,0,0.0,3,2,0,2,10,False,False,False,False,False,False,False,False,0.7374431065150671,0.6630626320838928
jackson-databind,,49e1c0e457beeead0525eda4e8214be5bb880287,/home/dorma10/mutation-analysis/projects/jackson-databind/src/test/java/com/fasterxml/jackson/databind/util/BeanUtilTest.java,com.fasterxml.jackson.databind.util.BeanUtilTest,/home/dorma10/mutation-analysis/projects/jackson-databind/src/main/java/com/fasterxml/jackson/databind/util/BeanUtil.java,com.fasterxml.jackson.databind.util.BeanUtil,0.6410256410256411,78.0,0.7938144329896907,True,True,False,False,False,False,False,False,292,2013.9430864890328,64,6,53,53,0,0,55,55,0,12,0.04444444444444445,0,0.0,0,0,0.0,11,0,0,0,38,147,618.5500112969856,41,6,29,29,0,0,66,66,0,12,0.01818181818181818,0,0.0,0,0,0.0,12,0,0,0,29,False,False,False,False,False,False,False,False,0.776317146691409,0.7444429912350394
