project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/AttributeServiceTest.java,com.google.common.jimfs.AttributeServiceTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/AttributeService.java,com.google.common.jimfs.AttributeService,0.75,772.0,0.7682926829268293,True,True,False,True,False,False,False,False,440,2745.5222976532127,122,20,98,98,6,5,252,228,24,48,0.09881422924901186,4,0.11805555555555555,0,0,0.0,24,6,0,6,84,397,1107.9898995008452,161,15,136,136,1,1,47,0,253,253,0.8297101449275363,2,0.92,0,0,0.0,25,1,0,1,48,False,False,False,False,False,True,False,True,0.6070021076334847,0.5815575504302979
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/WindowsPathTypeTest.java,com.google.common.jimfs.WindowsPathTypeTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java,com.google.common.jimfs.WindowsPathType,0.7908256880733945,545.0,0.9852941176470588,True,True,False,False,True,False,False,False,221,1619.290564576008,51,5,43,43,4,1,28,28,0,5,-0.09523809523809523,2,0.1,0,0,0.0,8,5,0,4,32,224,770.67960904513,63,12,53,53,0,0,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,0,0,0,14,False,False,False,False,False,False,False,True,0.6740127690136433,0.4996727362275124
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/FileTest.java,com.google.common.jimfs.FileTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/File.java,com.google.common.jimfs.File,0.4232081911262799,293.0,0.4473684210526316,True,True,False,True,False,False,False,False,329,2109.1437460084976,69,9,33,33,6,3,576,522,54,58,0.03865546218487395,6,0.13425925925925927,0,0,0.0,36,6,0,6,73,116,310.2178094997422,55,6,48,48,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,7,False,False,False,False,False,False,False,False,0.915061538418134,0.6703168409211295
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/BasicAttributeProviderTest.java,com.google.common.jimfs.BasicAttributeProviderTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/BasicAttributeProvider.java,com.google.common.jimfs.BasicAttributeProvider,0.6120218579234973,183.0,0.90625,True,True,False,False,False,False,False,False,245,1014.9086852135131,24,8,16,16,1,1,28,28,0,0,-0.3333333333333333,7,0.125,0,0,0.0,8,1,0,1,22,153,454.6633766174337,48,11,40,40,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,16,False,False,False,False,False,False,False,False,0.7905441170389002,0.67930649779737
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/RegularFileTest.java,com.google.common.jimfs.RegularFileTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/RegularFile.java,com.google.common.jimfs.RegularFile,0.0,2589.0,0.0,False,True,False,False,False,False,False,False,692,4437.178517827588,135,15,92,92,7,6,622,341,281,333,0.33797909407665505,5,0.2059800664451827,0,0,0.0,43,7,0,7,123,907,3193.206777307634,8,21,7,7,4,3,0,0,0,0,1.0,0,1.0,0,0,0.0,1,4,3,1,5,False,False,False,True,False,True,False,False,0.8607475119967793,0.6591500288194364
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/PollingWatchServiceTest.java,com.google.common.jimfs.PollingWatchServiceTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/PollingWatchService.java,com.google.common.jimfs.PollingWatchService,0.5497382198952879,191.0,0.9807692307692308,True,True,False,False,False,False,False,False,260,1842.0451979580648,40,23,29,29,10,10,37,19,18,24,0.3111111111111111,1,0.19090909090909086,0,0,0.0,11,10,0,8,27,248,873.9925886832773,92,26,78,78,2,2,30,0,61,69,0.7179487179487181,5,0.6428571428571429,0,0,0.0,14,2,0,2,31,False,False,False,False,False,True,False,False,0.6805755816973172,0.5578530217920031
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/FileFactoryTest.java,com.google.common.jimfs.FileFactoryTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileFactory.java,com.google.common.jimfs.FileFactory,0.875,40.0,0.9333333333333332,True,True,False,True,False,False,False,False,140,724.9672102000658,22,5,12,12,4,4,44,43,1,6,-0.08333333333333333,3,0.125,0,0,0.0,10,4,0,4,21,74,234.73675815464418,29,5,25,25,1,1,3,0,3,5,0.6666666666666666,1,0.75,0,0,0.0,4,1,0,1,6,False,False,False,False,False,False,False,False,0.8748112320899963,0.6583516970276833
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/DirectoryTest.java,com.google.common.jimfs.DirectoryTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/Directory.java,com.google.common.jimfs.Directory,0.7181996086105675,511.0,0.9310344827586208,True,True,False,True,False,False,False,False,371,2445.906525232141,71,5,45,45,8,3,243,161,82,96,0.23666666666666664,3,0.16346153846153846,0,0,0.0,26,8,0,6,86,378,1348.2194732298547,184,16,159,159,3,1,99,0,201,216,0.6956521739130435,7,0.4,0,0,0.0,25,3,0,3,42,False,False,False,False,False,False,False,False,0.8699833659025339,0.6173010957241059
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/UnixAttributeProviderTest.java,com.google.common.jimfs.UnixAttributeProviderTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/UnixAttributeProvider.java,com.google.common.jimfs.UnixAttributeProvider,0.5842293906810035,279.0,0.7118644067796609,False,False,False,False,False,False,False,False,173,824.7502387715361,21,12,12,12,4,3,36,36,0,2,-0.21428571428571427,2,0.1111111111111111,0,0,0.0,9,4,0,4,25,94,308.04121644222175,19,10,15,15,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,6,False,False,False,False,False,True,False,False,0.691496902041965,0.6268966943025589
jimfs,jimfs,75eb99c42b00e70830dc53eb252dd03da48d0f67,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/test/java/com/google/common/jimfs/UnixPathTypeTest.java,com.google.common.jimfs.UnixPathTypeTest,/home/dorma10/mutation-analysis/projects/jimfs/jimfs/src/main/java/com/google/common/jimfs/UnixPathType.java,com.google.common.jimfs.UnixPathType,0.7682119205298014,151.0,0.9615384615384616,True,True,False,False,True,False,False,False,88,524.1392156957537,23,3,17,17,1,1,15,15,0,3,-0.2,6,0.0,0,0,0.0,6,1,0,0,16,110,388.97796431896757,37,12,32,32,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,6,False,False,False,False,False,False,False,False,0.6625109513600668,0.4976673245429993
