project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayDoubleCollection.java,org.joda.primitives.collection.impl.TestArrayDoubleCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayDoubleCollection.java,org.joda.primitives.collection.impl.ArrayDoubleCollection,0.7156862745098039,714.0,0.9166666666666666,True,True,False,False,False,False,False,False,401,2902.2768134591925,43,6,22,22,5,2,100,0,110,111,0.4789473684210526,4,0.2761904761904762,0,0,0.0,21,5,0,5,57,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.9015002065691454,0.630769268824504
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayBooleanCollection.java,org.joda.primitives.collection.impl.TestArrayBooleanCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayBooleanCollection.java,org.joda.primitives.collection.impl.ArrayBooleanCollection,0.6825174825174826,715.0,0.9166666666666666,True,True,False,False,False,False,False,False,401,2894.7773901686,43,6,22,22,5,2,100,0,110,111,0.4789473684210526,4,0.2761904761904762,0,0,0.0,21,5,0,5,57,186,724.3791633884332,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.9001501983609693,0.6218239206534165
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayCharCollection.java,org.joda.primitives.collection.impl.TestArrayCharCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayCharCollection.java,org.joda.primitives.collection.impl.ArrayCharCollection,0.725287356321839,870.0,0.923809523809524,True,True,False,False,False,False,False,False,427,3149.9939824250646,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.900185364484787,0.6282851764788995
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayByteCollection.java,org.joda.primitives.collection.impl.TestArrayByteCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayByteCollection.java,org.joda.primitives.collection.impl.ArrayByteCollection,0.7268571428571429,875.0,0.923809523809524,True,True,False,False,False,False,False,False,427,3149.9939824250646,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.9016845961411794,0.6348910595362003
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayFloatCollection.java,org.joda.primitives.collection.impl.TestArrayFloatCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayFloatCollection.java,org.joda.primitives.collection.impl.ArrayFloatCollection,0.7156862745098039,714.0,0.9166666666666666,True,True,False,False,False,False,False,False,401,2902.2768134591925,43,6,22,22,5,2,100,0,110,111,0.4789473684210526,4,0.2761904761904762,0,0,0.0,21,5,0,5,57,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.902678438301744,0.647913382603572
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayIntCollection.java,org.joda.primitives.collection.impl.TestArrayIntCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayIntCollection.java,org.joda.primitives.collection.impl.ArrayIntCollection,0.7244186046511628,860.0,0.923809523809524,True,True,False,False,False,False,False,False,427,3142.403635479462,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.902334572871526,0.6225332434360797
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayShortCollection.java,org.joda.primitives.collection.impl.TestArrayShortCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayShortCollection.java,org.joda.primitives.collection.impl.ArrayShortCollection,0.7268571428571429,875.0,0.923809523809524,True,True,False,False,False,False,False,False,427,3149.9939824250646,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.9001193503538768,0.633506715297699
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/collection/impl/TestArrayLongCollection.java,org.joda.primitives.collection.impl.TestArrayLongCollection,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/collection/impl/ArrayLongCollection.java,org.joda.primitives.collection.impl.ArrayLongCollection,0.7128603104212861,902.0,0.9166666666666666,True,True,False,False,False,False,False,False,431,3216.448840684756,45,6,23,23,5,2,105,0,126,127,0.5047619047619047,4,0.2818181818181818,0,0,0.0,22,5,0,5,62,185,710.3177846795018,54,8,41,41,0,0,78,78,0,8,-0.060606060606060615,0,0.0,0,0,0.0,13,0,0,0,25,False,False,False,False,False,False,False,False,0.9021636088689168,0.6320359385930575
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/list/impl/TestImmutableArrayBooleanList.java,org.joda.primitives.list.impl.TestImmutableArrayBooleanList,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/list/impl/ImmutableArrayBooleanList.java,org.joda.primitives.list.impl.ImmutableArrayBooleanList,0.8449612403100775,129.0,1.0,True,True,False,False,False,False,False,False,160,1300.1023744106246,13,2,4,4,1,1,23,10,13,14,0.21428571428571427,5,0.4444444444444444,0,0,0.0,9,2,0,2,26,168,705.838611219917,57,9,38,38,0,0,171,171,0,3,-0.09803921568627452,0,0.0,0,0,0.0,19,0,0,0,37,False,False,False,False,False,False,False,False,0.923188739352756,0.753905326128006
joda-primitives,,633d512728caa0bafd550810702899a2394c3c7b,/home/dorma10/mutation-analysis/projects/joda-primitives/src/test/java/org/joda/primitives/list/impl/TestArrayLongList.java,org.joda.primitives.list.impl.TestArrayLongList,/home/dorma10/mutation-analysis/projects/joda-primitives/src/main/java/org/joda/primitives/list/impl/ArrayLongList.java,org.joda.primitives.list.impl.ArrayLongList,0.7870036101083032,831.0,0.9895833333333334,True,True,False,False,False,False,False,False,351,2531.243235229128,46,2,25,25,5,2,86,0,124,124,0.5473684210526316,4,0.2761904761904762,0,0,0.0,21,5,0,5,62,183,726.3330353812407,56,9,42,42,0,0,91,91,0,7,-0.07692307692307693,0,0.0,0,0,0.0,14,0,0,0,28,False,False,False,False,False,False,False,False,0.9094270836739312,0.7031490259936878
